Distance (µm),Na Ox%,Mg Ox%,Al Ox%,Si Ox%,P Ox%,S Ox%,Cl Ox%,K Ox%,Ca Ox%,Ti Ox%,Mn Ox%,Fe Ox%,
0,-0.07619,43.88054,0.236922,38.48348,0.029338,-0.007244,0,-0.022985,0.28826,-0.011616,0.19325,12.15025,
0.499999999999998,-0.100275,44.47883,0.374337,38.68828,-0.039669,-0.007035,0,-0.035835,0.287604,-0.015633,0.231155,12.16136,
1,-0.111319,44.81888,0.329486,39.05393,0.025672,0.075636,0,-0.006277,0.25842,0.01759,0.21437,11.99341,
1.5,0.00522,45.14075,0.308815,39.33438,-0.012779,0.07306,0,0.011803,0.324356,-0.011488,0.184787,12.19754,
2,-0.025514,45.33058,0.306071,39.37967,0.005303,0.034721,0,-0.019618,0.337335,0.034004,0.123786,11.94311,
2.5,-0.089031,45.89063,0.297056,39.87902,-0.038474,-0.041332,0,-0.022879,0.322341,0.011704,0.160454,11.92418,
3,-0.009999,45.81119,0.291691,39.58564,0.006313,0.021643,0,0.021529,0.265657,0.019118,0.172492,11.93852,
3.5,-0.07244,45.9766,0.379162,39.92786,-0.011573,0.063553,0,-0.015238,0.269723,-0.021654,0.139536,12.03065,
4,-0.038227,45.83015,0.312216,39.64571,0.022149,0.082661,0,-0.015987,0.3776,-0.008506,0.172716,11.88447,
4.5,-0.01543,45.75979,0.445756,39.96823,-0.02903,0.021968,0,-0.014648,0.402223,0.089832,0.212691,12.03741,
5,0.048366,44.85729,0.793415,39.90933,0.040136,0.003258,0,0.03534,0.557848,0.077045,0.204725,12.02695,
5.5,0.19794,42.99653,1.714405,40.73536,-0.024593,0.062478,0,0.028546,1.082885,0.227917,0.224172,12.18881,
6,0.474797,38.38614,3.584332,41.842,0.042441,0.106495,0,0.073304,2.530577,0.544892,0.167777,12.86544,
6.5,1.446635,15.6726,9.845358,42.99295,0.134746,0.26913,0,0.195223,8.042708,1.783224,0.168237,9.410677,
7,1.989071,8.940442,12.20584,45.80961,0.122321,0.34779,0,0.232733,10.97831,2.474227,0.153807,7.413126,
7.5,2.181997,5.626175,13.48007,47.74078,0.276073,0.36391,0,0.271715,12.38797,2.813634,0.157355,6.66996,
8,2.354137,3.890997,14.33329,49.18959,0.130134,0.294202,0,0.280571,13.17808,2.994468,0.083996,6.432867,
8.5,2.291426,2.979468,14.60811,50.32127,0.215832,0.418475,0,0.310713,13.56322,3.116647,0.195448,6.438413,
9,2.334576,2.697028,15.10343,51.05737,0.185407,0.447291,0,0.23069,13.74103,3.136095,0.119422,6.526487,
9.5,2.412754,2.624079,15.07868,51.46395,0.226995,0.39931,0,0.219883,13.82404,3.097473,0.128138,6.351591,
10,2.389953,2.730854,15.22358,51.62013,0.209631,0.434087,0,0.24111,13.94135,2.995858,0.099249,6.568029,
10.5,2.306768,2.871809,15.06314,51.39086,0.217032,0.378592,0,0.263876,13.96307,3.120333,0.175433,6.614967,
11,2.163297,2.847152,14.92513,51.32949,0.255525,0.391201,0,0.260028,14.08553,3.157562,0.170242,6.642468,
11.5,2.364511,2.807519,15.05383,51.35508,0.230958,0.439197,0,0.262597,14.02669,3.13413,0.150643,6.632491,
12,2.150923,2.834815,14.97394,51.50562,0.262884,0.36945,0,0.247578,14.012,2.98806,0.130772,6.698796,
12.5,2.223165,2.972874,14.873,51.54245,0.208219,0.490407,0,0.22484,14.04098,3.145469,0.145894,6.733119,
13,2.231043,2.947475,14.91927,51.74391,0.234406,0.333371,0,0.301294,14.07876,3.019542,0.123835,6.838241,
13.5,2.346587,3.011669,15.07351,51.43894,0.199096,0.419834,0,0.252592,14.16805,3.100083,0.109171,6.830186,
14,2.264437,3.00075,15.10168,51.75519,0.160559,0.323128,0,0.252347,14.16662,3.022362,0.081564,6.878753,
14.5,2.371544,3.091046,15.11507,51.79418,0.252899,0.424526,0,0.274098,14.20825,3.030937,0.143484,6.925717,
15,2.300802,3.083407,15.00431,51.6559,0.202412,0.348707,0,0.265915,14.06202,3.049314,0.119945,6.681865,
15.5,2.490779,3.186671,15.12588,52.35609,0.183762,0.442693,0,0.223565,14.15064,2.873796,0.172781,6.843266,
16,2.59224,3.219962,15.51128,52.74269,0.256208,0.528085,0,0.321116,14.08919,2.938958,0.127213,6.937682,
16.5,2.563279,3.296033,15.50386,53.17532,0.163363,0.593609,0,0.204527,14.00052,3.124867,0.129164,6.861211,
17,2.725142,3.483658,15.89972,53.50664,0.219151,0.981663,0,0.26673,13.85734,3.021563,0.149384,6.859945,
17.5,2.926784,3.355679,16.13238,54.04298,0.311187,1.956198,0,0.215036,14.00397,3.031192,0.150899,7.330594,
18,2.809631,3.557125,15.99185,54.17918,0.19792,3.985203,0,0.230164,13.76212,3.024562,0.055145,8.337567,
18.5,2.667239,3.339269,15.68257,52.59418,0.249525,7.446482,0,0.233692,13.25313,2.919842,0.200085,10.2262,
19,2.612619,3.380332,15.36002,51.26361,0.186128,11.58866,0,0.18678,12.7494,2.750786,0.125719,13.05951,
19.5,2.516361,3.247531,15.01239,49.15454,0.167506,13.85269,0,0.255787,12.28388,2.694659,0.17542,15.39643,
20,2.380935,3.186923,14.45486,48.41394,0.186923,12.49897,0,0.21002,12.39142,2.650354,0.132192,14.92742,
20.5,2.413083,3.179018,14.83066,48.91983,0.141605,9.238122,0,0.216203,12.88646,2.780071,0.133101,12.58527,
21,2.219522,3.180124,14.71497,50.03101,0.23006,5.494794,0,0.234702,13.53428,2.861832,0.151312,9.90347,
21.5,1.844147,3.193268,14.80164,51.14224,0.314156,2.769419,0,0.237956,14.06387,2.863849,0.042665,8.301978,
22,1.361299,3.123711,15.13035,51.64496,0.139559,1.414894,0,0.220796,14.3735,3.053834,0.133938,7.56824,
22.5,0.938129,3.166588,15.25913,52.29002,0.11277,0.701461,0,0.241067,14.54057,3.077754,0.094483,7.10607,
23,0.657273,3.470462,15.40436,52.77979,0.243532,0.387441,0,0.228722,14.62474,2.981794,0.113302,7.152192,
23.5,0.469599,3.323023,15.78406,53.5025,0.243019,0.434623,0,0.277162,14.56589,3.114723,0.11942,7.058858,
24,0.348286,3.232751,15.3329,53.17862,0.162401,0.417694,0,0.226634,14.60399,3.144105,0.151633,7.026655,
