Distance (µm),Na Ox%,Mg Ox%,Al Ox%,Si Ox%,P Ox%,S Ox%,Cl Ox%,K Ox%,Ca Ox%,Ti Ox%,Mn Ox%,Fe Ox%,
27,2.481885,6.315588,12.55617,43.56025,0.342775,0.575777,0,1.04935,12.83335,2.5159,0.200508,9.785619,
27.5,2.718228,6.729366,12.43615,42.87872,0.235825,0.536039,0,1.019497,12.77971,2.491244,0.13335,9.76252,
28,2.543733,7.548126,11.8572,41.70728,0.279286,0.588326,0,1.055837,12.28208,2.592978,0.132537,9.453496,
28.5,2.325902,8.959148,10.71382,39.42965,0.319918,0.543643,0,1.112904,11.37514,2.425538,0.172729,9.325867,
29,1.625827,22.48858,7.882844,39.58689,0.266543,0.417907,0,0.960496,8.228609,1.693421,0.166995,11.19062,
29.5,0.75324,34.8114,4.046097,39.78275,0.041746,0.260771,0,0.47587,4.451443,0.873726,0.248362,11.99263,
30,0.327028,39.88509,2.232183,39.69904,0.089375,0.098487,0,0.272196,2.392179,0.403339,0.157573,13.03961,
30.5,0.128453,42.1884,1.017061,39.23552,-0.009389,-0.018727,0,0.114991,1.241997,0.162478,0.192898,13.63837,
31,0.009602,43.61423,0.602547,39.48262,0.00742,0.013594,0,0.011582,0.79376,0.081724,0.282631,14.12419,
31.5,-0.068336,44.37708,0.454442,39.36803,-0.019697,0.032489,0,0.028442,0.581486,0.076753,0.241015,14.06207,
32,-0.037754,44.36171,0.39989,39.45349,0.031417,-0.060857,0,0.020137,0.583286,0.044272,0.268652,14.09981,
32.5,-0.023183,44.31089,0.281851,39.4264,-0.007812,0.004327,0,-0.020011,0.505873,-0.00897,0.193715,13.83199,
33,-0.02093,44.41837,0.367134,39.21994,0.070234,0.018097,0,0.004846,0.592904,0.072168,0.199209,13.87006,
33.5,-0.048172,45.0279,0.303948,39.42374,-0.073266,0.049557,0,0.051371,0.534312,0.04569,0.154071,13.88232,
34,-0.043322,44.84533,0.376995,39.55524,-0.075102,-0.057868,0,0.008342,0.492127,0.074708,0.239742,13.57158,
