Distance (µm),Mg Ox%,Si Ox%,Ca Ox%,Mn Ox%,Fe Ox%,Ni Ox%,
188,48.1329,40.66036,0.234945,0.144891,11.2685,0.419894,
190,48.12116,40.54468,0.176245,0.241628,11.35276,0.484624,
192,48.09963,40.4306,0.235603,0.177623,11.43797,0.330901,
194,48.26982,40.70844,0.193805,0.237368,11.48337,0.410508,
196,48.254,40.47576,0.207118,0.211063,11.4833,0.311359,
198,48.23393,40.6241,0.21196,0.121942,11.43347,0.394289,
200,48.39983,40.46948,0.218686,0.253415,11.68798,0.36705,
202,48.05609,40.5078,0.171524,0.168635,11.3735,0.32801,
204,48.15824,40.30964,0.214533,0.152374,11.23394,0.367556,
206,48.1012,40.48877,0.184278,0.180156,11.35241,0.293701,
208,48.07984,40.48615,0.161121,0.203254,11.29905,0.454041,
210,48.09766,40.36202,0.210494,0.15269,11.26939,0.444335,
212,47.95106,40.49996,0.176257,0.124545,11.49111,0.379473,
214,48.11824,40.63388,0.195797,0.095555,11.22221,0.518433,
216,48.06744,40.12918,0.207985,0.116821,11.52305,0.369424,
218,48.42367,40.64212,0.191172,0.240225,11.46762,0.326109,
220,48.19641,40.74689,0.208041,0.139198,11.38043,0.324493,
222,48.22733,40.34886,0.177176,0.162254,11.19217,0.416899,
224,48.21201,40.42976,0.188853,0.13629,11.34227,0.447499,
226,48.17727,40.59559,0.210774,0.141257,11.29768,0.368111,
228,48.34235,40.48317,0.242203,0.223942,11.41214,0.402009,
230,48.44744,40.65664,0.175846,0.133918,11.58348,0.452243,
232,48.02081,40.7795,0.199974,0.152876,11.23533,0.503054,
234,48.23716,40.56508,0.226297,0.214067,11.53175,0.402731,
236,48.29368,40.39877,0.199525,0.225602,11.2988,0.443852,
238,48.24294,40.24431,0.186712,0.248427,11.34191,0.335611,
240,48.18902,40.32347,0.181786,0.184943,11.2937,0.338032,
242,48.18099,40.34313,0.185231,0.219258,11.28226,0.453972,
244,48.10977,40.35145,0.218752,0.160219,11.42787,0.463035,
246,48.04251,40.51781,0.214497,0.174502,11.26002,0.482077,
248,48.16488,40.41724,0.19265,0.118678,11.39349,0.448076,
250,47.56044,40.09737,0.198413,0.18451,11.19498,0.320908,
252,47.98412,40.27316,0.224603,0.138605,11.25491,0.439132,
254,48.14958,40.06892,0.201166,0.160281,11.26085,0.354441,
256,48.14545,40.02684,0.211496,0.243656,11.47751,0.39017,
258,48.00647,40.09473,0.220468,0.161955,11.06684,0.473463,
260,48.32059,40.24867,0.203362,0.16889,11.25563,0.438519,
262,48.00842,40.33503,0.232601,0.212376,11.41322,0.388904,
264,48.24428,40.19667,0.178783,0.146743,11.32947,0.402255,
266,48.14888,40.49722,0.184486,0.138459,11.32179,0.452411,
268,48.2719,40.27976,0.231473,0.217951,11.34673,0.47719,
270,47.95335,39.89865,0.206674,0.161266,11.15666,0.463495,
272,48.1427,40.42393,0.189102,0.170251,11.32416,0.381967,
274,48.1377,40.41564,0.230473,0.169296,11.21639,0.367579,
276,48.21989,40.24311,0.172814,0.146627,11.43876,0.413553,
278,48.04754,40.30316,0.184892,0.178112,11.36137,0.448623,
280,47.9998,40.26671,0.18724,0.092811,11.40602,0.431043,
282,48.0619,40.37584,0.226166,0.204912,11.18911,0.493775,
284,47.99614,40.10797,0.229495,0.131173,11.3042,0.26273,
286,48.17229,40.10799,0.194534,0.140619,11.52815,0.488867,
288,48.30842,40.15892,0.217582,0.187393,11.47635,0.441406,
290,48.2728,40.30472,0.194829,0.140199,11.38748,0.403736,
292,47.97392,40.09346,0.21611,0.105894,11.24612,0.368213,
294,48.03642,40.17627,0.211249,0.133546,11.29902,0.475178,
296,48.03037,40.04033,0.191275,0.129211,11.30408,0.331601,
298,47.9504,40.21433,0.217686,0.17731,11.31836,0.280322,
300,47.77968,40.41021,0.155829,0.171904,11.27869,0.398988,
302,48.1967,40.26651,0.203481,0.219787,11.25022,0.352774,
