Distance (µm),Mg Ox%,Al Ox%,Si Ox%,Ca Ox%,Ti Ox%,Cr Ox%,Mn Ox%,Fe Ox%,Ni Ox%,
30.5,43.60168,0.396217,39.76967,0.251153,0.000291,-0.032647,0.243727,17.67868,0.37834,
31,43.59468,0.320472,39.80402,0.274103,0.018736,0.054013,0.270502,17.72112,0.284796,
31.5,43.5323,0.268911,39.60213,0.223226,0.066028,0.024669,0.24006,17.65476,0.345457,
32,43.67781,0.336341,39.54687,0.236393,0.03705,0.028272,0.280802,17.83409,0.349926,
32.5,43.9077,0.348851,39.86914,0.201642,0.014893,0.030352,0.220054,17.75409,0.395929,
33,43.33928,0.387442,39.48704,0.224922,0.03463,-0.035772,0.248923,17.74888,0.313077,
33.5,43.59499,0.351116,39.43036,0.217105,-0.012901,0.048756,0.261972,17.78807,0.363276,
34,43.65005,0.315682,39.70248,0.194388,-0.020262,0.050304,0.247985,17.77911,0.379879,
34.5,43.40164,0.394373,39.58134,0.193299,-0.006387,0.096823,0.196447,17.50946,0.376055,
35,43.59726,0.32945,39.5622,0.265873,0.001122,0.011111,0.207982,17.62149,0.461694,
35.5,43.64288,0.342365,39.69405,0.223371,-0.027019,-0.032784,0.183231,17.85996,0.331176,
36,43.57497,0.365575,39.69266,0.266635,0.011046,0.069647,0.241267,17.65894,0.366048,
36.5,43.60851,0.359816,39.48039,0.211574,0.010179,0.033089,0.265825,17.49552,0.310777,
37,43.54327,0.411611,39.84262,0.262887,-0.062853,0.019543,0.232654,17.60947,0.294667,
37.5,43.35526,0.358831,39.74686,0.251207,0.054665,0.03215,0.248506,17.63678,0.361919,
38,43.66587,0.311655,39.84204,0.270434,0.056587,0.033243,0.280496,17.7928,0.406641,
38.5,43.90402,0.35503,39.52524,0.243341,0.025808,0.047148,0.260532,17.74059,0.37152,
39,43.43119,0.378901,39.65284,0.231204,0.055856,0.029819,0.234349,17.83557,0.387281,
39.5,43.70471,0.364814,39.69537,0.246204,0.054705,0.006185,0.254213,17.70832,0.361197,
40,43.72755,0.386103,39.75254,0.241363,-0.035277,0.026547,0.214708,17.9182,0.388086,
40.5,43.66309,0.336321,39.67863,0.208569,0.069733,0.074144,0.24865,17.76609,0.301286,
41,43.77864,0.365657,39.63166,0.261922,0.024276,0.008616,0.295309,17.75943,0.268638,
41.5,43.46427,0.381489,39.59879,0.219225,0.001314,0.070939,0.218442,17.78519,0.354851,
42,43.5781,0.357779,39.68192,0.201641,0.0207,0.048162,0.238443,17.47798,0.405973,
