Distance (µm),Mg Ox%,Al Ox%,Si Ox%,Ca Ox%,Fe Ox%,Ti Ox%,Cr Ox%,Mn Ox%,
0,29.12153,1.980062,54.5211,2.183327,11.07261,0.302633,0.555695,0.263044,
2.00000000000002,29.04215,1.85435,54.79992,2.133009,11.02501,0.352214,0.514423,0.278921,
3.99999999999997,29.10272,1.884858,54.66055,2.189814,11.14082,0.299638,0.525986,0.195618,
5.99999999999999,29.14221,1.926911,54.49081,2.263633,11.12913,0.356143,0.479772,0.211405,
8.00000000000001,29.10684,1.826604,54.84812,2.198596,10.99109,0.24386,0.532892,0.251998,
10,29.08266,1.902954,54.7961,2.136779,11.01892,0.332522,0.599139,0.130923,
12,29.2701,1.918347,54.52659,2.187405,11.02905,0.341333,0.493962,0.233209,
14,29.03576,2.000013,54.50116,2.280438,10.97796,0.386883,0.58294,0.234851,
16,29.08199,2.008712,54.59063,2.255612,10.98999,0.305064,0.585777,0.182241,
18,29.37475,1.537768,54.93745,2.133893,11.00557,0.255599,0.480252,0.274728,
20,29.34029,1.453776,54.94496,2.191071,10.98187,0.287902,0.487971,0.312154,
22,29.38507,1.486101,55.01391,2.212967,10.96112,0.248546,0.440855,0.251427,
24,29.40071,1.310348,55.21538,2.202297,10.98479,0.266701,0.438641,0.181132,
26,29.50728,1.498937,55.25501,2.173243,10.86729,0.164327,0.254803,0.279113,
28,29.4822,1.524827,54.82217,2.151451,11.17766,0.206942,0.387791,0.246969,
30,29.46331,1.521696,55.0209,2.14874,10.97701,0.253688,0.393986,0.220674,
32,29.47403,1.560898,55.01741,2.114706,10.91001,0.300922,0.334034,0.287995,
34,29.65162,1.43216,55.05833,2.167163,10.83511,0.174112,0.36716,0.314334,
36,29.49775,1.50753,54.9744,2.203272,10.9183,0.247645,0.404912,0.24619,
38,29.68736,1.495147,54.93467,2.142098,10.88877,0.266366,0.32674,0.25884,
40,29.43296,1.427713,55.14209,2.191091,10.95869,0.237874,0.412136,0.197451,
42,29.58626,1.438625,54.8873,2.200196,11.05562,0.232033,0.399086,0.200881,
44,29.50514,1.415616,55.02793,2.166205,10.95604,0.25663,0.388183,0.284271,
46,29.57505,1.586826,54.93497,2.165797,10.84893,0.277454,0.379692,0.231282,
48,29.55431,1.422627,55.1431,2.09586,10.91637,0.226295,0.403713,0.23772,
50,29.24808,1.511354,55.27856,2.1415,10.90386,0.280287,0.460523,0.175838,
52,29.62889,1.424732,55.15686,2.139114,10.79266,0.17475,0.417627,0.265377,
54,29.45468,1.42965,55.18867,2.161442,10.9738,0.157921,0.347282,0.286548,
56,29.46533,1.481232,54.98369,2.182915,10.93194,0.270111,0.456928,0.227853,
58,29.33956,1.563443,54.98122,2.228664,10.99434,0.249506,0.359618,0.283623,
60,29.35178,1.478716,55.36327,2.166163,10.82039,0.199343,0.419569,0.200773,
62,29.3925,1.483489,55.10799,2.174592,10.96411,0.258303,0.393309,0.225706,
64,29.62883,1.489336,54.78594,2.210822,10.99608,0.214616,0.465072,0.209297,
66,29.54488,1.588986,54.8722,2.204099,10.98301,0.202004,0.405126,0.199687,
68,29.49411,1.444648,55.09654,2.102191,11.02279,0.249964,0.367537,0.222223,
70,29.58293,1.491182,55.01463,2.164901,10.85584,0.215419,0.445191,0.229903,
72,29.67413,1.441245,54.91499,2.171759,10.97638,0.221558,0.342368,0.257581,
74,29.58497,1.453677,55.22484,2.226889,10.79914,0.142275,0.35665,0.211567,
76,29.46105,1.329172,55.21359,2.124488,10.97953,0.197045,0.383052,0.312071,
78,29.56879,1.327551,55.29269,2.14118,10.83399,0.2634,0.33121,0.241192,
80,29.56532,1.419493,55.22398,2.213359,10.84001,0.222372,0.287452,0.228012,
82,29.46916,1.355358,55.2295,2.176199,10.85322,0.262081,0.36167,0.292821,
84,29.44828,1.410377,55.10234,2.154554,10.99576,0.246197,0.306214,0.33628,
86,29.52529,1.466179,54.88605,2.205838,10.93839,0.271853,0.404964,0.301435,
88,29.3898,1.396397,55.18959,2.215672,10.98977,0.234346,0.347528,0.236891,
90,29.59906,1.421901,55.10067,2.178212,10.82178,0.263009,0.392046,0.223321,
92,29.51974,1.529938,55.11197,2.135324,10.86205,0.250449,0.306001,0.284536,
94,29.59509,1.464985,54.99452,2.195011,10.94,0.210859,0.315445,0.284088,
96,29.49069,1.423286,55.02048,2.185703,10.93851,0.286469,0.404555,0.250308,
98,29.34856,1.440718,55.44376,2.130558,10.90241,0.190164,0.3079,0.235925,
100,29.66625,1.374202,55.10873,2.13677,10.90525,0.220405,0.358254,0.230155,
102,29.66586,1.358737,55.06084,2.184618,10.97412,0.214137,0.333181,0.208487,
104,29.60779,1.487859,54.90958,2.116814,11.00036,0.234176,0.353781,0.289628,
106,29.67859,1.424772,55.07997,2.109515,10.92615,0.225981,0.305807,0.249211,
108,29.69817,1.367634,55.10251,2.123461,10.85857,0.270722,0.33977,0.239172,
110,29.56239,1.498999,55.0798,2.173422,10.88325,0.207352,0.374723,0.220066,
112,29.57091,1.42416,55.15107,2.128465,10.93729,0.143495,0.381561,0.263062,
114,29.60357,1.394636,54.99614,2.103713,10.94408,0.258565,0.454599,0.244696,
116,29.61229,1.454774,54.95889,2.234335,10.95345,0.246915,0.305817,0.233525,
118,29.61823,1.477525,55.01616,2.218628,10.7835,0.28489,0.389084,0.211991,
120,29.44524,1.441949,55.05945,2.177917,10.97309,0.263325,0.378804,0.260221,
122,29.42507,1.48688,55.03637,2.216161,11.01822,0.197557,0.394721,0.225028,
124,29.70655,1.455177,54.97034,2.157364,10.96144,0.192512,0.297081,0.259539,
126,29.6822,1.340285,55.14962,2.193285,10.82154,0.20272,0.338407,0.271949,
128,29.60515,1.385288,55.05222,2.152176,10.91816,0.216297,0.428738,0.241981,
130,29.59219,1.398426,55.16447,2.145431,10.82918,0.204101,0.385827,0.280382,
132,29.55084,1.435323,55.24757,2.143247,10.81317,0.234851,0.391746,0.183244,
134,29.58921,1.445248,55.04569,2.191734,10.92547,0.263828,0.348819,0.190009,
136,29.44459,1.539297,55.01821,2.168556,11.08458,0.229928,0.309296,0.20555,
138,29.66582,1.406669,54.98835,2.154521,10.93347,0.248999,0.374504,0.227682,
140,29.50872,1.400077,55.16467,2.145921,10.87809,0.292777,0.358973,0.250768,
142,29.52214,1.458945,55.05487,2.199048,10.92637,0.218467,0.398378,0.221777,
144,29.40041,1.445967,55.07901,2.170596,11.01525,0.29879,0.38396,0.206022,
146,29.38849,1.578493,55.02779,2.187405,10.97992,0.214202,0.385615,0.238082,
