Distance (µm),Mg Ox%,Al Ox%,Si Ox%,Ca Ox%,Fe Ox%,Ti Ox%,Cr Ox%,Mn Ox%,
148,29.47731,1.51072,54.76887,2.249557,11.1476,0.247334,0.364974,0.233612,
150,29.49007,1.487336,54.91843,2.214775,10.95528,0.246907,0.457123,0.230063,
152,29.53209,1.445723,55.02885,2.158862,10.87492,0.285387,0.393505,0.280654,
154,29.57029,1.517254,54.92604,2.151754,10.96193,0.220966,0.381075,0.2707,
156,29.59999,1.352772,55.25201,2.123451,10.83386,0.227663,0.385704,0.224536,
158,29.68994,1.459345,55.04865,2.176597,10.75475,0.232,0.35841,0.280305,
160,29.68143,1.351507,55.02284,2.158779,10.86225,0.242399,0.429113,0.251682,
162,29.72888,1.43471,55.04794,2.179536,10.67622,0.255335,0.366994,0.310393,
164,29.58051,1.55008,54.93573,2.138325,10.94047,0.254141,0.375508,0.225227,
166,29.65318,1.548498,54.97729,2.215077,10.70972,0.26094,0.406218,0.229077,
168,29.32087,1.787435,54.7937,2.193821,10.92758,0.257526,0.450623,0.268453,
170,29.29951,1.895875,54.69688,2.188469,10.8952,0.292027,0.438152,0.293894,
172,29.19934,1.918226,54.5242,2.201622,11.08246,0.283839,0.515762,0.27457,
174,29.40397,1.998431,54.32693,2.211952,11.03796,0.205628,0.526084,0.289049,
176,29.36448,1.854207,54.53555,2.208182,10.98394,0.280827,0.527515,0.245303,
178,29.32558,1.934475,54.71557,2.114686,10.97572,0.354703,0.403151,0.176115,
180,29.56484,1.89956,54.29525,2.165196,11.17096,0.295287,0.380618,0.228274,
182,29.3161,1.932364,54.4262,2.261526,11.09962,0.307468,0.446236,0.210472,
184,28.9302,2.027782,54.667,2.162247,11.05496,0.321876,0.616898,0.219035,
186,29.27375,1.985724,54.61292,2.239362,10.82679,0.325672,0.472011,0.263779,
188,29.49833,1.873683,54.27261,2.215072,11.0073,0.330665,0.540217,0.262123,
190,29.34414,2.06018,54.29709,2.199833,10.93397,0.300927,0.566763,0.297102,
192,29.25983,1.985844,54.66937,2.216891,10.96183,0.329307,0.385441,0.191467,
194,29.19001,2.088571,54.46803,2.136941,11.01756,0.354688,0.521583,0.222618,
196,29.26793,1.973813,54.48969,2.166911,10.91854,0.396489,0.495558,0.291081,
198,29.43249,1.987201,54.42974,2.217123,10.95478,0.245472,0.488693,0.244498,
200,29.37505,2.053843,54.53483,2.179626,10.93186,0.231274,0.493116,0.200409,
202,29.38995,2.067549,54.36698,2.155341,10.93389,0.369299,0.450947,0.266037,
204,29.25934,1.981462,54.57333,2.196265,10.89077,0.346411,0.496806,0.255611,
206,29.48779,2.073739,54.31036,2.166576,10.76514,0.347945,0.580742,0.267713,
208,29.41803,2.011693,54.25667,2.258894,11.03633,0.308128,0.448704,0.261527,
210,29.30354,2.021956,54.52045,2.264402,10.81829,0.305568,0.463754,0.302041,
212,29.16066,1.995175,54.59466,2.291137,10.9503,0.351361,0.401571,0.255129,
214,26.42484,3.682437,54.77308,3.423648,10.48209,0.533838,0.490579,0.189472,
216,8.1959,13.97965,53.81743,9.956746,11.83538,2.115497,0,0.099389,
218,6.818727,14.54411,54.01593,10.4067,11.79537,2.286109,0.00939,0.123674,
220,6.892032,14.53234,53.90165,10.54206,11.63329,2.28951,0.049781,0.15933,
222,6.924371,14.49492,54.05341,10.50589,11.62224,2.235251,0.027144,0.136777,
224,7.021983,14.45007,54.15081,10.48348,11.32744,2.262049,0.062651,0.241516,
