Distance (µm),Mg Ox%,Al Ox%,Si Ox%,Ca Ox%,Ti Ox%,Cr Ox%,Mn Ox%,Fe Ox%,
0,29.50882,1.970167,54.50765,2.092092,0.241431,0.546001,0.178196,10.95565,
0.500000000000005,29.46627,1.921161,54.47605,2.103522,0.348617,0.51855,0.272025,10.89382,
0.999999999999996,29.44854,2.00192,54.35928,2.134927,0.28122,0.528867,0.263215,10.98204,
1.5,29.42432,1.945001,54.67179,2.137179,0.329006,0.534849,0.235107,10.72273,
2.00000000000001,29.42022,1.996593,54.48316,2.126881,0.334144,0.506884,0.286005,10.8461,
2.5,29.25244,2.046537,54.42266,2.156117,0.308118,0.567434,0.291854,10.95485,
3,29.37712,1.936727,54.49348,2.148437,0.363737,0.552818,0.199829,10.92785,
3.49999999999999,29.41309,1.906015,54.76762,2.115494,0.355019,0.442827,0.212704,10.78724,
4,29.47418,1.886316,54.589,2.104287,0.257623,0.511022,0.250584,10.92699,
4.5,29.37149,1.921694,54.66452,2.093632,0.277644,0.545849,0.212631,10.91255,
4.99999999999999,29.27915,2.016057,54.83973,2.071684,0.291731,0.494594,0.221667,10.78541,
5.5,29.40579,2.010283,54.51507,2.111565,0.257284,0.500262,0.23297,10.96677,
6,29.57238,1.88435,54.62193,2.133693,0.312707,0.478848,0.217097,10.77899,
6.49999999999999,29.34288,1.850248,54.61753,2.156893,0.321349,0.532343,0.237267,10.94147,
7,29.39921,1.913472,54.58389,2.113385,0.310741,0.488696,0.250582,10.94003,
7.49999999999999,29.25554,1.834027,54.93356,2.105099,0.293797,0.480288,0.223693,10.87399,
7.99999999999999,29.43854,1.781539,54.87254,2.207007,0.291756,0.450619,0.202776,10.75523,
8.5,29.40834,1.815214,54.56985,2.121669,0.33843,0.560334,0.254998,10.93115,
9,29.44871,1.882279,54.58509,2.12233,0.230974,0.515295,0.181688,11.03363,
9.5,29.40376,1.861964,54.79,2.146506,0.318133,0.504161,0.218421,10.75705,
10,29.49942,1.75994,54.68075,2.150144,0.287239,0.431102,0.304802,10.88662,
10.5,29.40456,1.950798,54.81421,2.107037,0.263737,0.415775,0.264985,10.77892,
11,29.55174,1.713207,54.65504,2.135834,0.313543,0.491952,0.236201,10.90248,
11.5,29.40177,1.813222,54.91512,2.188242,0.222287,0.564607,0.244517,10.65022,
12,29.36768,1.852621,54.4242,2.089288,0.356701,0.518894,0.237945,11.15268,
12.5,29.41885,1.973602,54.69033,2.133945,0.321496,0.482165,0.304535,10.67507,
13,29.11991,1.850105,55.09897,2.115992,0.267508,0.520554,0.259233,10.76773,
13.5,29.48751,1.79393,54.60932,2.209808,0.310046,0.508931,0.228848,10.85161,
14,29.25973,1.848682,54.67302,2.178105,0.331878,0.505727,0.245787,10.95706,
14.5,29.37303,1.933486,54.74195,2.145976,0.288869,0.505996,0.205449,10.80525,
15,29.35399,1.906802,54.79785,2.167782,0.278229,0.469766,0.261317,10.76427,
15.5,29.28355,1.927121,54.56353,2.15444,0.354527,0.561723,0.231269,10.92383,
16,29.3113,2.067633,54.49312,2.245843,0.298019,0.481921,0.226022,10.87615,
16.5,29.19549,1.979571,54.49216,2.276874,0.318846,0.53634,0.184202,11.01652,
17,29.16189,2.087075,54.41722,2.265724,0.242007,0.457116,0.226126,11.14285,
17.5,29.14977,2.09429,54.46502,2.231251,0.339592,0.568716,0.253429,10.89793,
18,28.99349,2.041128,54.53886,2.235108,0.307117,0.476507,0.22509,11.18271,
18.5,29.05515,2.081815,54.55563,2.181805,0.324748,0.518386,0.316597,10.96588,
19,29.17255,2.131955,54.36139,2.277956,0.298412,0.452008,0.251161,11.05456,
19.5,29.15994,2.142617,54.2737,2.222589,0.261348,0.568972,0.230785,11.14004,
20,29.13016,2.043456,54.62934,2.206294,0.345225,0.545601,0.271403,10.82852,
20.5,29.25312,2.077845,54.34636,2.266135,0.319542,0.530652,0.203957,11.00239,
21,29.01271,2.10823,54.54724,2.18616,0.318167,0.525944,0.197397,11.10415,
21.5,29.25272,1.973625,54.57806,2.190672,0.255256,0.478631,0.19172,11.07932,
22,29.21814,1.882255,54.70108,2.206821,0.245562,0.530322,0.20556,11.01026,
22.5,29.37966,2.029664,54.50036,2.232211,0.366573,0.529139,0.218236,10.74417,
23,29.16496,1.98661,54.42628,2.315954,0.299348,0.515782,0.259137,11.03193,
23.5,29.11504,1.92649,54.64014,2.237674,0.383885,0.589486,0.229944,10.87733,
24,29.17538,1.995921,54.47982,2.186873,0.271938,0.52772,0.308601,11.05374,
24.5,29.14467,2.022202,54.49321,2.187178,0.336735,0.488929,0.326977,11.00009,
25,29.27254,2.04883,54.44764,2.203598,0.317422,0.500841,0.259083,10.95006,
25.5,29.1095,2.041377,54.61002,2.217012,0.309757,0.51623,0.188224,11.00788,
26,29.1552,2.079213,54.33272,2.225925,0.344129,0.593945,0.179047,11.08983,
26.5,29.35945,2.019218,54.44566,2.212976,0.34522,0.47977,0.181134,10.95658,
27,29.12403,2.030941,54.64188,2.232712,0.302243,0.451459,0.261537,10.95521,
27.5,29.49111,1.897517,54.60051,2.251582,0.275023,0.49594,0.198135,10.79018,
28,29.47281,1.849238,54.71587,2.123198,0.26005,0.495884,0.181027,10.90193,
28.5,29.40019,1.745768,54.91815,2.132228,0.233992,0.447107,0.270806,10.85175,
29,29.43191,1.811462,54.83742,2.192536,0.27961,0.452877,0.160553,10.83364,
29.5,29.17191,1.900733,55.07463,2.191099,0.301337,0.458284,0.178429,10.72357,
30,29.52737,1.820382,54.86599,2.042229,0.16915,0.466373,0.205187,10.90331,
30.5,29.42054,1.740839,54.72591,2.11271,0.294262,0.541543,0.219137,10.94505,
31,29.49082,1.832262,54.89428,2.167316,0.235237,0.458501,0.219962,10.70163,
31.5,29.48056,1.857785,54.64504,2.071117,0.298908,0.457074,0.247211,10.94231,
32,29.34048,1.846815,54.88404,2.170436,0.265407,0.514984,0.200849,10.77699,
32.5,29.41031,1.721703,54.97309,2.162515,0.265783,0.451657,0.198446,10.81649,
33,29.41858,1.774262,54.9895,2.096348,0.220757,0.4375,0.252665,10.81039,
33.5,29.37363,1.866205,54.88831,2.132461,0.244797,0.468544,0.275532,10.75054,
34,29.59482,1.762574,54.73725,2.121418,0.306745,0.4706,0.177752,10.82885,
34.5,29.54581,1.77722,54.70483,2.098602,0.305924,0.501017,0.210728,10.85587,
35,29.46663,1.793318,54.70596,2.078898,0.303865,0.462064,0.183633,11.00564,
35.5,29.36223,1.758948,54.77691,2.187901,0.291539,0.557969,0.24189,10.82261,
36,29.39102,1.903698,54.56025,2.151293,0.294617,0.47298,0.260436,10.96572,
36.5,29.25776,2.011606,54.55328,2.173227,0.347652,0.495063,0.244199,10.91722,
37,29.20423,2.066837,54.46503,2.250595,0.279156,0.469754,0.249565,11.01484,
37.5,29.09691,2.065551,54.56276,2.20035,0.314397,0.475112,0.338192,10.94673,
38,29.13898,2.036881,54.42117,2.174038,0.330782,0.547405,0.280725,11.07001,
38.5,29.18982,1.9775,54.71395,2.188783,0.284134,0.527816,0.228329,10.88967,
39,29.09175,1.980986,54.76193,2.159353,0.388687,0.435036,0.218089,10.96417,
39.5,29.06993,2.050159,54.4112,2.29938,0.317905,0.577342,0.225943,11.04813,
40,28.98862,2.078438,54.51273,2.212487,0.326425,0.492052,0.252144,11.1371,
40.5,29.17266,2.045709,54.50153,2.263093,0.259147,0.530027,0.280715,10.94711,
41,29.16201,1.951461,54.45713,2.330548,0.287535,0.602822,0.253698,10.9548,
41.5,29.02942,2.132585,54.5807,2.242942,0.32095,0.533432,0.193876,10.9661,
42,29.13474,2.079656,54.49178,2.302663,0.265119,0.501912,0.242105,10.98202,
42.5,29.06368,2.076286,54.44844,2.212224,0.369166,0.478933,0.281704,11.06957,
43,29.19544,1.985747,54.5474,2.255324,0.397696,0.527144,0.207971,10.88327,
43.5,29.05038,2.057824,54.53771,2.265661,0.294542,0.532245,0.289208,10.97242,
44,29.07565,2.065988,54.47709,2.156143,0.361755,0.484103,0.230416,11.14885,
44.5,29.06078,1.938097,54.73775,2.222729,0.373717,0.480942,0.251872,10.93411,
45,29.18864,2.008213,54.54063,2.343133,0.283267,0.459376,0.298208,10.87854,
45.5,29.17719,2.067679,54.4087,2.359708,0.363541,0.52933,0.217048,10.87681,
46,28.99312,2.06555,54.51199,2.300613,0.350431,0.508934,0.222305,11.04705,
46.5,29.0519,2.069131,54.39543,2.253182,0.302625,0.47848,0.242732,11.20652,
47,29.0837,2.121389,54.5341,2.264232,0.295395,0.518888,0.284705,10.8976,
47.5,29.21274,2.022645,54.29815,2.305294,0.386508,0.540661,0.186163,11.04785,
48,29.05024,2.202572,54.35134,2.256884,0.371261,0.52708,0.215039,11.02559,
48.5,29.29556,1.989983,54.62225,2.171098,0.273977,0.501123,0.223589,10.92243,
49,29.32418,2.055801,54.62247,2.116513,0.269617,0.466521,0.278364,10.86653,
49.5,29.37507,1.928644,54.62551,2.127986,0.276074,0.519242,0.233955,10.91352,
50,29.44487,1.96521,54.6451,2.138332,0.273897,0.507412,0.254549,10.77063,
50.5,29.31997,1.913463,54.70594,2.120497,0.332185,0.546025,0.28807,10.77385,
51,29.44952,1.956629,54.53399,2.141294,0.348236,0.474633,0.208089,10.8876,
51.5,29.39765,1.948996,54.35274,2.140606,0.420618,0.595324,0.268808,10.87527,
52,29.32039,1.954831,54.5769,2.147215,0.335843,0.550883,0.311141,10.80279,
52.5,29.46455,1.898898,54.69754,2.149076,0.326395,0.44594,0.200705,10.81691,
53,29.1677,2.030378,54.60487,2.190334,0.341634,0.623432,0.22396,10.8177,
53.5,29.25327,2.017212,54.63396,2.149296,0.374827,0.524955,0.270352,10.77614,
54,29.39681,2.12279,54.55093,2.138523,0.285541,0.44525,0.213714,10.84643,
54.5,29.28056,2.006435,54.61394,2.157947,0.309513,0.542387,0.19577,10.89346,
55,29.38771,1.996918,54.29485,2.176273,0.261469,0.507677,0.275131,11.09997,
55.5,29.21593,1.959669,54.62447,2.154496,0.287573,0.54815,0.226324,10.98338,
56,29.36489,2.123112,54.36475,2.150944,0.309185,0.553064,0.237961,10.8961,
56.5,29.22191,1.912503,54.57904,2.214377,0.28462,0.560333,0.319571,10.90764,
57,29.24426,1.944651,54.70093,2.146864,0.350566,0.515606,0.253253,10.84387,
57.5,29.39781,2.036017,54.29412,2.21508,0.250109,0.576971,0.262233,10.96766,
58,29.41289,2.015268,54.53093,2.274465,0.340171,0.514117,0.175002,10.73715,
