Distance (µm),Mg Ox%,Si Ox%,Ca Ox%,Mn Ox%,Fe Ox%,Ni Ox%,
0,10.4445,59.63044,14.05867,0.24307,15.56942,0.053905,
2,10.87176,56.90922,14.65974,0.344528,17.21475,0,
4,10.65393,57.39941,15.53146,0.169323,16.24588,0,
6,34.29225,47.78685,4.520492,0.297363,12.94386,0.159188,
8,44.40672,39.75625,0.325594,0.276602,14.91667,0.318171,
10,44.85962,39.46519,0.339097,0.216949,14.82986,0.289295,
12,44.93446,39.69407,0.279126,0.194851,14.60711,0.290403,
14,44.95559,39.64491,0.231456,0.253499,14.48303,0.431508,
16,45.01971,39.77991,0.256977,0.192013,14.45938,0.292004,
18,45.25572,39.61943,0.305914,0.204596,14.31002,0.304318,
20,45.2622,39.58404,0.24493,0.19872,14.43945,0.270671,
22,45.19131,39.75217,0.278499,0.197816,14.26442,0.315782,
24,45.45694,39.56322,0.227153,0.192397,14.25081,0.309466,
26,45.34148,39.66488,0.264871,0.165254,14.23569,0.327825,
28,45.48139,39.69622,0.21571,0.177087,14.11079,0.318807,
30,45.40486,39.71266,0.254202,0.170379,14.11928,0.338616,
32,45.50647,39.49513,0.223678,0.199018,14.19572,0.379977,
34,45.51025,39.61648,0.216366,0.218409,14.18882,0.249685,
36,45.38464,39.59937,0.274752,0.186556,14.27605,0.278623,
38,45.38211,39.67418,0.170923,0.258572,14.25739,0.256822,
40,45.57724,39.35191,0.26249,0.201969,14.17487,0.431523,
42,45.37884,39.72556,0.222146,0.202496,14.16342,0.307545,
44,45.3061,39.68338,0.241319,0.178257,14.2918,0.299143,
46,45.50903,39.5667,0.285119,0.208034,14.05751,0.373603,
48,45.42225,39.60962,0.242661,0.215698,14.21954,0.290237,
50,45.35102,39.5943,0.23575,0.194559,14.22093,0.403438,
52,45.43732,39.7415,0.161584,0.240892,14.18328,0.235418,
54,45.38705,39.7079,0.204091,0.216163,14.11205,0.372746,
56,45.44094,39.59175,0.196482,0.221471,14.14031,0.409046,
58,45.45441,39.6284,0.210086,0.227666,14.07216,0.407276,
60,45.3835,39.73442,0.235372,0.26647,14.08491,0.295329,
62,45.53367,39.47414,0.241989,0.179349,14.23075,0.340104,
64,45.46127,39.61158,0.219122,0.218062,14.23079,0.259168,
66,45.61924,39.56275,0.257143,0.159797,14.05255,0.348527,
68,45.48195,39.61787,0.232641,0.169989,14.1124,0.385153,
70,45.3082,39.60215,0.238865,0.231964,14.34036,0.278464,
72,45.16332,39.92523,0.220263,0.177508,14.16184,0.351837,
74,45.5073,39.56184,0.179262,0.223739,14.16992,0.35795,
76,45.51584,39.59341,0.165149,0.26203,14.08992,0.373653,
78,45.4994,39.55084,0.240621,0.171159,14.14737,0.390604,
80,45.37654,39.78801,0.239023,0.129371,14.05279,0.414269,
82,45.43829,39.74361,0.278068,0.18375,14.05845,0.29783,
84,45.53798,39.61459,0.206401,0.216949,14.06983,0.354258,
86,45.54195,39.6701,0.233753,0.181762,14.06205,0.310359,
88,45.6346,39.72676,0.239337,0.193984,13.91911,0.286198,
90,45.72369,39.57719,0.186003,0.199959,13.99047,0.32269,
92,45.47092,39.78834,0.194997,0.198768,14.04258,0.304383,
94,45.66599,39.67752,0.196613,0.241564,13.81524,0.403071,
96,45.75817,39.54185,0.203672,0.159134,13.89123,0.445948,
98,45.79373,39.7345,0.242987,0.133707,13.76375,0.331325,
100,45.91624,39.55462,0.238527,0.199007,13.62504,0.466574,
102,46.11945,39.72491,0.1923,0.251937,13.35716,0.354237,
104,46.25996,39.54512,0.216371,0.197913,13.32195,0.458686,
106,46.29505,39.70581,0.220102,0.229652,13.20623,0.343149,
108,46.18632,39.79607,0.240607,0.203602,13.24302,0.330379,
110,46.51243,39.68948,0.219639,0.180971,13.0764,0.321085,
112,46.47466,39.80593,0.203071,0.235535,12.88878,0.392024,
114,46.62418,39.63786,0.229284,0.129389,12.92629,0.452999,
116,46.6278,39.8684,0.190855,0.17799,12.73039,0.404552,
118,46.54897,39.81393,0.238856,0.175291,12.8274,0.395547,
120,46.84778,39.65775,0.21099,0.155841,12.68818,0.43946,
122,46.68003,39.9268,0.248844,0.183528,12.53748,0.423324,
124,46.86364,39.96776,0.21875,0.112912,12.38078,0.456164,
126,46.78159,40.11322,0.196743,0.201848,12.40408,0.302516,
128,46.87994,39.85958,0.206141,0.172857,12.50231,0.379163,
130,46.9934,39.7996,0.23793,0.233393,12.27275,0.462928,
132,47.12907,39.82307,0.228775,0.214703,12.22243,0.381966,
134,47.08652,39.88563,0.205076,0.19849,12.12796,0.496322,
136,47.25391,39.67331,0.225844,0.167717,12.25916,0.420064,
138,46.93474,40.09711,0.148344,0.19459,12.24965,0.375562,
140,47.17491,39.93765,0.219793,0.156767,12.09676,0.414112,
142,47.17542,39.84997,0.210741,0.190333,12.1867,0.386834,
144,47.09708,39.94863,0.176008,0.184917,12.20462,0.388753,
146,47.0449,40.06654,0.287924,0.150457,11.99153,0.458654,
