Distance (µm),Mg Ox%,Si Ox%,Ca Ox%,Mn Ox%,Fe Ox%,Ni Ox%,
0,40.36617,40.64654,1.378946,0.233401,17.15989,0.215061,
1.99999999999999,42.83132,39.00236,0.332129,0.233494,17.3472,0.253498,
3.99999999999999,42.78536,39.0518,0.282067,0.31845,17.30542,0.256897,
6,42.80552,39.18422,0.235008,0.215559,17.30794,0.251767,
8.00000000000001,42.8708,39.09085,0.265781,0.275315,17.3164,0.180842,
10,42.90423,39.19655,0.303206,0.199822,17.12615,0.270044,
12,43.06781,39.21027,0.275607,0.24013,17.01786,0.188313,
14,43.12238,39.05213,0.259011,0.281397,17.03555,0.24953,
16,42.97801,39.20051,0.226134,0.304956,17.18784,0.102544,
18,43.10968,39.16508,0.285647,0.217484,17.02991,0.192178,
20,43.03306,39.21756,0.299135,0.27648,16.94747,0.22629,
22,43.13288,39.08623,0.27608,0.281371,17.0529,0.170532,
24,43.09713,39.04932,0.238524,0.270128,17.14916,0.195738,
26,43.0909,39.08651,0.255291,0.262957,17.03809,0.266253,
28,43.05918,39.11471,0.235473,0.274193,17.04618,0.270268,
30,43.33253,38.99639,0.235986,0.335041,16.84508,0.254962,
32,43.10799,38.97165,0.287981,0.301151,17.03128,0.299961,
34,43.02747,39.2225,0.199155,0.319315,17.02689,0.204679,
36,43.16073,39.232,0.232922,0.280025,17.0068,0.087518,
38,43.03078,39.05766,0.216654,0.209741,17.35126,0.133899,
40,43.12147,39.27005,0.257092,0.2106,16.91261,0.228172,
42,43.29255,38.95659,0.222041,0.28104,16.99878,0.248991,
44,43.30941,39.07426,0.225111,0.248835,16.9062,0.236187,
46,43.04983,39.19134,0.228667,0.312524,17.0455,0.172143,
48,43.12876,39.04506,0.211148,0.275081,17.0657,0.274256,
50,43.08099,39.2055,0.242437,0.217424,17.03474,0.218908,
52,43.21167,39.00679,0.217119,0.257875,16.94122,0.365328,
54,43.18231,39.15904,0.272496,0.187342,16.99471,0.204102,
56,43.2664,38.97751,0.283924,0.204512,17.07704,0.190604,
58,43.34445,38.94368,0.252698,0.244656,17.01184,0.202673,
60,43.26858,39.16678,0.244333,0.229684,16.94942,0.141205,
62,43.31351,39.2017,0.210599,0.209848,16.88434,0.180003,
64,43.22984,39.26157,0.213598,0.219023,16.88117,0.19481,
66,43.1889,39.15915,0.225072,0.213992,16.93507,0.277798,
68,43.24054,39.01253,0.215728,0.238655,17.06646,0.226095,
70,43.16305,39.38016,0.212158,0.243369,16.81228,0.18899,
72,43.18587,39.14903,0.214971,0.196728,17.05396,0.19945,
74,43.18587,39.22439,0.203049,0.269279,16.932,0.185419,
76,43.07001,39.08477,0.181207,0.292284,17.02105,0.350673,
78,43.26357,39.06963,0.236438,0.228094,16.9421,0.26016,
80,43.21095,39.25071,0.209921,0.19434,16.96297,0.171118,
82,43.39832,39.12994,0.198303,0.252264,16.83118,0.18999,
84,43.39957,39.03933,0.226555,0.21326,16.82179,0.299489,
86,43.43201,38.96696,0.245266,0.254459,16.89451,0.206789,
88,43.08693,39.22779,0.220848,0.256932,16.99459,0.212914,
90,43.37868,38.99981,0.207852,0.259041,16.89695,0.257657,
92,43.41851,38.95965,0.25328,0.236126,16.92186,0.210583,
94,43.18532,39.25156,0.227814,0.311016,16.79907,0.225211,
96,43.30825,39.21737,0.235494,0.2397,16.78011,0.219081,
98,43.3456,39.17193,0.163446,0.240808,16.8563,0.221928,
100,43.32005,39.10902,0.233122,0.213235,16.96608,0.158497,
102,43.28018,39.05082,0.235955,0.218143,16.92072,0.294177,
104,43.30366,39.14357,0.202902,0.209004,16.91131,0.229564,
106,43.23615,39.10221,0.233741,0.219052,16.93419,0.274655,
108,43.20947,39.16131,0.206223,0.263491,16.98326,0.176251,
110,43.43108,39.0277,0.22488,0.161826,16.93494,0.219577,
112,43.27599,39.32497,0.216825,0.261528,16.81256,0.108121,
114,43.38551,39.04209,0.208091,0.247121,16.93975,0.177445,
116,43.18695,39.20187,0.223954,0.234763,16.86975,0.282705,
118,43.35184,39.2123,0.227341,0.202614,16.79595,0.209961,
120,43.17813,39.2822,0.214279,0.345006,16.77442,0.205965,
