Distance (µm),Mg Ox%,Si Ox%,Ca Ox%,Mn Ox%,Fe Ox%,Ni Ox%,
0,6.753949,49.42727,10.57545,0.117652,11.11902,0.013311,
1.99999999999998,15.32339,49.24196,7.714524,0.204344,11.87341,0.015028,
4,42.86361,40.63,0.556334,0.1831,18.09574,0.16407,
5.99999999999999,44.48421,40.82897,0.274004,0.342179,17.23457,0.15477,
8.00000000000001,44.40934,40.02096,0.29827,0.22678,16.98426,0.284129,
9.99999999999999,44.64291,40.15114,0.295541,0.275956,16.09705,0.177775,
12,45.05835,40.28193,0.264302,0.218445,15.57147,0.2793,
14,45.56993,40.55727,0.241367,0.181088,15.23844,0.255064,
16,46.27186,40.08762,0.251611,0.1529,14.77854,0.344261,
18,46.53035,40.72797,0.167064,0.266423,14.24107,0.438578,
20,46.91383,40.60281,0.205341,0.144724,13.95995,0.331643,
22,47.2211,40.66806,0.220118,0.193106,13.3976,0.398087,
24,47.14732,40.80245,0.184769,0.166713,13.10376,0.249401,
26,47.18907,40.78051,0.20569,0.26551,12.80023,0.35762,
28,47.57516,40.74645,0.239489,0.221101,12.87121,0.428478,
30,47.547,40.86233,0.222318,0.17336,12.3822,0.28173,
32,47.31306,40.65742,0.204915,0.161575,11.99264,0.36357,
34,50.22884,43.18102,0.227833,0.228108,12.0552,0.38011,
36,47.7986,40.63733,0.175727,0.118726,12.06203,0.322408,
38,47.92342,40.51697,0.217059,0.134546,11.91429,0.455584,
40,47.56212,40.33661,0.241435,0.164466,11.70842,0.286394,
42,47.68582,40.29727,0.236337,0.166322,11.60339,0.41839,
44,48.02007,40.45747,0.217472,0.165256,11.79152,0.402587,
46,47.95988,40.56145,0.170211,0.130287,11.84716,0.391928,
48,47.83172,40.78024,0.210187,0.138775,11.75191,0.454495,
50,47.86199,40.60396,0.143146,0.136771,11.45116,0.406045,
52,47.91562,40.64387,0.179814,0.223805,11.81353,0.398472,
54,48.28141,40.46056,0.202326,0.144244,11.69752,0.472886,
56,47.93135,40.4327,0.217902,0.107514,11.84395,0.481378,
58,48.08905,40.57144,0.232661,0.221476,11.6124,0.417297,
60,48.11188,40.60111,0.249794,0.16833,11.49178,0.498297,
62,47.91354,40.64102,0.206732,0.112485,11.52291,0.469803,
64,48.26087,40.41053,0.188691,0.148586,11.65028,0.470597,
66,47.82209,40.34053,0.238526,0.16835,11.32961,0.394385,
68,48.12254,40.67042,0.214863,0.130164,11.65111,0.458211,
70,48.1401,40.53527,0.230711,0.215228,11.47579,0.436348,
72,48.12742,40.82371,0.200683,0.19805,11.48911,0.458297,
74,48.12558,40.72591,0.240235,0.104764,11.47672,0.411609,
76,47.84752,40.5592,0.207498,0.179595,11.56046,0.377919,
78,48.08907,40.7272,0.238453,0.224207,11.44897,0.495673,
80,47.9481,40.47628,0.226604,0.136218,11.58282,0.315935,
82,48.03201,40.56005,0.277893,0.076955,11.55561,0.459181,
84,48.05689,40.57254,0.208312,0.2037,11.60406,0.394288,
86,48.15826,40.77313,0.259398,0.183612,11.64023,0.409421,
88,47.9697,40.42868,0.212639,0.145277,11.6024,0.339057,
90,47.92921,40.78599,0.221055,0.22644,11.4854,0.47915,
92,47.92901,40.4773,0.207274,0.215511,11.41562,0.423879,
94,47.87022,40.48006,0.233241,0.073755,11.44608,0.444842,
96,48.47992,40.77236,0.248996,0.166338,11.61326,0.413325,
98,48.10632,40.52994,0.220503,0.17083,11.68604,0.349179,
100,48.19206,40.72035,0.183944,0.175491,11.55009,0.342304,
102,48.21219,40.24047,0.219874,0.179585,11.59623,0.400074,
104,48.22856,40.43927,0.225046,0.184815,11.45511,0.465199,
106,48.20683,40.9588,0.249754,0.178894,11.49146,0.489505,
108,48.24504,40.46734,0.22397,0.21018,11.59025,0.400992,
110,48.30279,40.46002,0.206572,0.151654,11.56162,0.461932,
112,48.16546,40.63398,0.202785,0.155475,11.65622,0.47296,
114,48.09969,40.59536,0.226891,0.19278,11.45147,0.316026,
116,48.03518,40.32029,0.203242,0.083482,11.50678,0.410533,
118,47.87614,40.56169,0.217842,0.127841,11.42124,0.404725,
120,47.8835,40.76764,0.20665,0.153616,11.39585,0.370067,
122,48.21944,40.402,0.240222,0.201395,11.52407,0.445428,
124,48.2168,40.53746,0.228915,0.171411,11.54778,0.46818,
126,48.14257,41.54051,0.282991,0.248792,11.35395,0.487787,
128,47.89731,40.25645,0.244472,0.235943,11.56341,0.41389,
130,48.00978,40.76342,0.213712,0.202233,11.5424,0.358723,
132,47.90658,40.41608,0.201554,0.121762,11.50761,0.48602,
134,47.90926,40.77877,0.185803,0.200643,11.55194,0.416185,
136,48.14482,40.44824,0.199056,0.191748,11.54702,0.493887,
138,48.07737,40.42706,0.191364,0.062996,11.56394,0.454687,
140,48.08334,40.56708,0.234201,0.185112,11.62949,0.371631,
142,48.2478,40.60881,0.180391,0.227564,11.63611,0.386457,
144,47.98421,40.42157,0.215371,0.185087,11.47802,0.396117,
146,48.20294,40.48678,0.19285,0.171102,11.6655,0.420727,
148,48.11411,40.66208,0.225787,0.161057,11.674,0.475763,
150,48.17868,40.80482,0.151388,0.210364,11.71235,0.39404,
152,48.10613,40.7821,0.253747,0.146895,11.5848,0.43374,
154,48.19073,40.19019,0.256506,0.110033,11.71939,0.422141,
156,47.94255,40.37356,0.257579,0.15656,11.49769,0.440227,
158,48.04083,40.65822,0.228494,0.210768,11.58924,0.411732,
160,48.23428,40.48912,0.209206,0.218871,11.49027,0.50803,
162,47.84565,40.30675,0.218901,0.183244,11.54239,0.476392,
164,47.85294,40.58873,0.264375,0.190147,11.53354,0.336355,
166,48.04651,40.82663,0.229653,0.186726,11.58729,0.340596,
168,47.85234,40.50333,0.218761,0.164376,11.67585,0.350359,
170,48.09985,40.48561,0.292308,0.149426,11.48194,0.391005,
172,47.93773,40.55529,0.212073,0.227957,11.63375,0.398301,
174,48.17916,40.6302,0.192867,0.180611,11.64881,0.351831,
176,47.92429,40.41389,0.223345,0.130426,11.49675,0.333486,
178,48.05105,40.5386,0.193095,0.152035,11.68255,0.431323,
180,48.17926,40.43854,0.293269,0.214707,11.6067,0.496113,
182,47.95493,40.45104,0.202086,0.11629,11.59822,0.402623,
184,48.17465,40.64296,0.252022,0.157622,11.5452,0.429964,
186,48.04334,40.23467,0.213762,0.153852,11.62289,0.502965,
188,47.90229,40.44477,0.257097,0.169437,11.60391,0.400666,
190,47.40523,40.27495,0.188177,0.222045,11.67071,0.343207,
192,47.91298,40.52244,0.220561,0.105833,11.4876,0.473079,
194,48.10481,40.74969,0.214195,0.170888,11.78536,0.401893,
196,47.92294,40.66179,0.277882,0.207945,11.70774,0.30541,
198,47.95559,40.56386,0.201461,0.154262,11.60768,0.431012,
200,47.80728,40.38493,0.267767,0.153521,11.59369,0.264273,
202,47.96728,40.65852,0.220147,0.168657,11.80868,0.369596,
204,47.7476,40.2316,0.210375,0.227099,11.58582,0.403658,
206,47.94761,40.54374,0.191627,0.220024,11.77347,0.423947,
208,48.07786,40.30394,0.189463,0.116445,11.75763,0.555423,
210,48.12198,40.5526,0.211549,0.241114,11.67089,0.394188,
212,47.83867,40.33278,0.222233,0.185055,11.43097,0.385177,
214,47.80838,40.80184,0.246,0.180195,11.46542,0.358726,
216,47.73889,40.32831,0.196367,0.198778,11.62765,0.44574,
218,47.82919,40.45399,0.236025,0.155494,11.65007,0.412966,
220,47.43192,39.70959,0.243662,0.199691,11.91987,0.509106,
222,47.59587,39.84568,0.233518,0.1289,11.64831,0.411406,
224,47.48201,40.21487,0.227661,0.222587,11.54751,0.364364,
226,47.80246,40.52063,0.218485,0.163559,11.58063,0.477289,
228,47.96087,40.45422,0.221378,0.17309,11.64745,0.408214,
230,47.71365,40.40803,0.22811,0.199736,11.46779,0.365652,
232,47.7853,40.36578,0.189057,0.169099,11.55878,0.412441,
234,47.68138,41.53662,0.242175,0.195069,11.47288,0.363436,
236,47.71785,40.61444,0.232179,0.234223,11.65324,0.369286,
238,47.61889,40.58488,0.218219,0.208661,11.46407,0.402235,
