Distance (µm),Mg Ox%,Al Ox%,Si Ox%,Ca Ox%,Ti Ox%,Cr Ox%,Mn Ox%,Fe Ox%,
0,28.09221,1.714016,54.98013,2.365863,0.334539,0.257276,0.241492,13.27055,
2.00000000000002,28.18639,1.649369,55.05252,2.323563,0.415596,0.234102,0.331344,13.6577,
4,28.23465,1.707827,54.86193,2.389189,0.376935,0.19453,0.286524,13.47849,
6.00000000000001,28.22013,1.77052,55.24204,2.29942,0.374912,0.180009,0.296545,13.64498,
7.99999999999999,28.32307,1.733979,55.34056,2.417873,0.471609,0.217009,0.215899,13.51717,
10,28.18052,1.762355,55.09493,2.260456,0.366112,0.172047,0.350322,13.66394,
12,28.35963,1.690261,55.02171,2.369232,0.413979,0.174179,0.260981,13.7379,
14,28.18728,1.739204,54.88198,2.368935,0.423884,0.262431,0.285191,13.53233,
16,28.27343,1.76051,55.26134,2.388925,0.343942,0.220127,0.351419,13.60799,
18,28.14243,1.732574,55.4981,2.301817,0.460644,0.126908,0.269332,13.42071,
20,28.21559,1.694272,55.17417,2.238993,0.375064,0.150196,0.2966,13.5278,
22,27.85355,1.619887,55.24992,2.218535,0.356063,0.179141,0.319046,13.91444,
24,27.92079,1.608778,55.38858,2.195125,0.48091,0.143982,0.337411,14.15967,
26,27.65943,1.703679,54.71154,2.227324,0.366093,0.188367,0.262411,14.39996,
28,27.50766,1.579585,54.80756,2.16591,0.385124,0.148416,0.319567,15.01855,
30,27.44257,1.561275,54.90132,2.179682,0.384591,0.164713,0.246325,14.98765,
32,27.05547,1.686091,55.13723,2.165929,0.403016,0.169129,0.300576,15.06375,
34,27.16618,1.603429,55.0478,2.193684,0.405987,0.094181,0.315078,15.40488,
36,27.15885,1.559257,54.91391,2.205495,0.463219,0.076673,0.262768,15.16895,
38,27.44803,1.601876,55.27874,2.183259,0.455045,0.169642,0.354547,15.39487,
40,27.38806,1.647291,55.11124,2.270795,0.46726,0.102884,0.333019,15.01614,
42,27.79885,1.498432,55.06548,2.226982,0.465717,0.106865,0.260162,14.68092,
44,27.83837,1.663909,55.38094,2.239132,0.453165,0.100619,0.219653,14.17689,
46,28.58187,1.735792,55.81763,2.188648,0.491399,0.152884,0.267077,14.09649,
48,29.13821,1.705521,55.60979,2.241564,0.456283,0.128827,0.317779,13.31805,
50,29.30247,1.673996,55.59934,2.287719,0.22714,0.342224,0.320221,12.58538,
52,29.6612,1.838398,56.10975,2.362205,0.337384,0.414622,0.187297,11.95767,
54,29.8182,1.843108,55.83332,2.377627,0.297082,0.43859,0.300114,11.61562,
56,29.86077,1.819185,55.85263,2.291467,0.344808,0.454119,0.27272,11.24714,
58,30.21186,1.846046,55.86791,2.293278,0.363401,0.467769,0.27324,11.3627,
60,29.77864,1.957529,55.53835,2.329356,0.317579,0.430565,0.186222,11.24526,
62,30.12541,1.793194,55.96264,2.379042,0.396292,0.493213,0.242009,11.0332,
64,30.09396,1.939081,55.66048,2.300948,0.342108,0.511445,0.275731,11.15619,
66,30.07104,1.910413,55.82677,2.206024,0.282966,0.479926,0.252414,11.29523,
68,30.14272,1.994895,55.84751,2.24982,0.322698,0.482963,0.216214,11.31921,
70,30.14335,2.0261,56.1877,2.240117,0.333993,0.445456,0.242507,11.39151,
72,30.22582,2.032296,56.1594,2.287066,0.34455,0.481952,0.289146,11.10547,
74,29.96986,2.005128,55.72474,2.219444,0.309939,0.451824,0.267161,11.0471,
76,30.1772,2.0254,55.93992,2.29012,0.320442,0.566688,0.305526,11.19313,
78,30.06357,1.961649,55.93329,2.212119,0.340266,0.525774,0.255794,11.20333,
80,29.89651,2.245417,55.61547,2.190765,0.3185,0.612534,0.214285,11.38826,
82,29.54964,2.466458,55.04353,2.424011,0.352867,0.516213,0.212939,11.30257,
84,29.52109,2.64925,55.188,2.466975,0.345052,0.717335,0.273696,11.61426,
86,29.81921,2.290929,55.62207,2.325476,0.329543,0.456647,0.30856,11.46979,
88,30.02176,2.084314,55.97252,2.199102,0.328813,0.5381,0.268213,11.20885,
90,29.86822,2.397656,56.03835,2.341817,0.297226,0.490954,0.167174,11.30318,
92,29.65376,2.639193,55.52676,2.328601,0.289119,0.58105,0.280774,11.37341,
94,29.7007,2.383264,55.70729,2.403067,0.299404,0.541993,0.184002,11.38642,
96,30.01678,2.190948,55.85891,2.381381,0.350177,0.517676,0.296893,11.27995,
98,29.65896,2.433394,55.57873,2.456516,0.318655,0.448157,0.187068,11.53145,
100,29.58396,2.396552,55.78275,2.403293,0.34764,0.476267,0.268719,11.60935,
102,29.24698,2.68643,55.44745,2.500975,0.415075,0.413577,0.265257,11.94596,
104,29.44999,2.416794,55.8518,2.460348,0.372903,0.43794,0.250219,11.64618,
106,29.77239,2.464283,55.77184,2.453098,0.404336,0.560256,0.206438,11.46487,
108,29.1993,3.173316,55.50511,2.542699,0.371409,0.613987,0.284108,11.87169,
110,27.16342,5.572073,58.68318,3.627586,0.674574,0.473549,0.28985,11.89048,
112,7.44438,14.13541,52.97736,10.42686,2.184173,0.039288,0.140611,11.60905,
114,6.884866,14.28235,52.81758,10.52444,2.22183,-0.030358,0.191737,11.50195,
116,6.957076,14.17284,52.53106,10.38317,2.192755,0.044296,0.17311,11.3254,
118,7.012359,13.99396,52.37048,10.44131,2.125148,0.035166,0.161964,11.63756,
