Distance (µm),Mg Ox%,Al Ox%,Si Ox%,Ca Ox%,Ti Ox%,Cr Ox%,Mn Ox%,Fe Ox%,
0,46.63715,0.361886,39.84813,0.229424,0.002919,0.058594,0.241742,12.62015,
2.00000000000001,46.55331,0.349454,39.8002,0.189176,0,0.103637,0.167666,12.83656,
4.00000000000002,46.67588,0.367826,39.84444,0.188039,0,0.101489,0.193354,12.62895,
5.99999999999999,46.73392,0.354321,39.85437,0.225931,0,0.068674,0.187749,12.57504,
8,46.64666,0.281289,39.70681,0.22759,0,0.108293,0.170832,12.85852,
10,46.67414,0.326644,39.90686,0.164717,0,0.136288,0.14615,12.6452,
12,46.67794,0.25681,39.77783,0.192342,0,0.079363,0.217389,12.79833,
14,46.51395,0.31367,40.02611,0.213544,0.066838,0.095763,0.129153,12.64098,
16,46.68927,0.39798,39.76718,0.185645,0.010368,0.069749,0.175209,12.70461,
18,46.54485,0.359813,39.75537,0.207227,0,0.091882,0.226757,12.81411,
20,46.66196,0.421235,39.83301,0.219078,0,0.089887,0.211178,12.56365,
22,46.48712,0.309071,40.13929,0.181251,0,0.064501,0.117566,12.70121,
24,46.45233,0.335565,39.60694,0.194175,0,0.137234,0.227506,13.04624,
26,46.53704,0.374626,39.64607,0.216161,0,0.10826,0.224984,12.89287,
28,46.50668,0.340892,39.77977,0.163158,0.08501,0.172995,0.177257,12.77423,
30,46.43316,0.387739,39.84201,0.191019,0.023992,0.069197,0.212004,12.84088,
32,46.57446,0.382872,39.57849,0.203583,0.014165,0.092104,0.143707,13.01061,
34,46.33334,0.390665,39.93191,0.185905,0,0.138767,0.156817,12.8626,
36,46.31953,0.36403,39.78057,0.206064,0.107123,0.14148,0.174808,12.90639,
38,46.35242,0.361697,39.83295,0.188871,0.007166,0.081693,0.169999,13.0052,
40,46.34923,0.337928,39.81297,0.184264,0,0.194197,0.167568,12.95384,
42,46.3125,0.429083,39.83741,0.199177,0.019738,0.145899,0.194295,12.86189,
44,46.35217,0.269203,40.03519,0.190006,0.009897,0.08905,0.091322,12.96317,
46,46.43987,0.34467,39.84514,0.222659,0,0.073256,0.209962,12.86445,
48,46.39339,0.302358,39.95741,0.179769,0.052159,0.075971,0.153646,12.88529,
50,46.43318,0.380323,39.86506,0.179994,0,0.036099,0.154127,12.95122,
52,46.29847,0.333154,39.65835,0.22569,0,0.151521,0.203906,13.12892,
54,46.16537,0.406673,39.83492,0.219585,0,0.098554,0.232352,13.04255,
56,46.3105,0.345567,39.72914,0.22417,0.004448,0.147139,0.107869,13.13116,
58,46.31212,0.355169,39.61589,0.242371,0.004163,0.157835,0.148912,13.16355,
60,46.20764,0.251704,39.86106,0.237002,0,0.144674,0.20823,13.08968,
62,46.17411,0.338131,39.73812,0.215942,0.075586,0.051585,0.135023,13.2715,
64,46.21714,0.339596,39.95682,0.205818,0.010952,0.115772,0.191727,12.96218,
66,46.21872,0.309968,39.64699,0.226851,0,0.107807,0.200262,13.2894,
68,46.13858,0.368171,39.80932,0.179538,0,0.04808,0.163265,13.29304,
70,46.03081,0.362638,39.8041,0.212696,0.018805,0.029006,0.200721,13.34123,
72,46.06265,0.449026,39.70951,0.218434,0,0.112753,0.111102,13.33653,
74,46.21749,0.264909,39.72245,0.175034,0,0.04917,0.158461,13.41248,
76,46.30708,0.333693,39.7836,0.179853,0,0.026683,0.203539,13.16555,
78,46.12168,0.360401,39.77702,0.154529,0,0.126008,0.1566,13.30377,
80,46.10212,0.386443,39.62294,0.275214,0.048006,0.103938,0.172988,13.28835,
82,46.1194,0.371719,39.60717,0.207123,0.037138,0.113939,0.230677,13.31283,
84,46.29267,0.30798,39.73748,0.171335,0.002181,0.084116,0.162923,13.24131,
86,46.01262,0.349039,39.71066,0.226951,0.02879,0.051554,0.229626,13.39076,
88,46.02564,0.369313,39.87649,0.23273,0,0.067633,0.132267,13.29593,
90,46.16856,0.347689,39.53939,0.247628,0,0.06337,0.250457,13.38291,
92,45.99126,0.411287,39.85073,0.182615,0.001331,0.082634,0.189609,13.29052,
94,45.91348,0.440243,39.93451,0.231215,0.026579,0.0667,0.181364,13.20591,
96,46.12834,0.417161,39.67674,0.189461,0,0.077486,0.181272,13.32954,
98,46.13935,0.394552,39.67306,0.193774,0.009702,0.087017,0.176298,13.32623,
100,46.19914,0.374213,39.52652,0.210427,0,0.026977,0.279782,13.38293,
102,45.99113,0.349495,39.76785,0.190337,0.008015,0.082419,0.204249,13.40651,
104,46.03421,0.349365,39.73298,0.211267,0,0.02424,0.199421,13.44853,
106,46.11909,0.337928,39.6776,0.232334,0,0.076209,0.18345,13.37338,
108,46.00646,0.436238,39.77008,0.228005,0.033024,0.125147,0.168761,13.23229,
110,45.91635,0.349883,39.72757,0.224249,0.093543,0.103399,0.167653,13.41736,
112,46.27861,0.300939,39.6204,0.183431,0.007713,0.062523,0.250288,13.2961,
114,45.95615,0.373936,39.95029,0.215804,0,0.075232,0.197385,13.2312,
