Distance (µm),Ni Ox%,Mg Ox%,Si Ox%,Ca Ox%,Mn Ox%,Fe Ox%,
188,0.377385,47.23252,40.1692,0.187446,0.230299,13.03519,
190,0.327821,46.83172,40.40778,0.196262,0.172024,12.97838,
192,0.405419,47.22705,40.17765,0.171846,0.142558,12.89127,
194,0.371048,46.97705,40.5244,0.185941,0.121076,12.89482,
196,0.38069,46.97333,40.17695,0.228731,0.162718,12.85514,
198,0.301459,47.11175,40.2688,0.208301,0.165072,12.81454,
200,0.281306,47.10747,40.24168,0.222013,0.265852,12.7433,
202,0.314229,46.93454,40.52565,0.195687,0.235481,12.81286,
204,0.352754,47.30092,40.22206,0.194469,0.234167,12.80613,
206,0.357116,47.22436,40.22421,0.232586,0.107612,12.88394,
208,0.312855,46.99296,40.45315,0.224237,0.24258,12.76176,
210,0.402412,47.09602,40.40346,0.206795,0.211432,12.86965,
212,0.366921,47.17025,40.40564,0.208018,0.153301,12.7203,
214,0.270617,47.36727,40.50912,0.248808,0.211185,13.06246,
216,0.376291,47.40676,40.34866,0.206378,0.196384,12.76174,
218,0.373046,47.27032,40.38316,0.194469,0.218314,12.79836,
220,0.45927,47.48564,40.29061,0.220384,0.223409,12.91203,
222,0.345988,47.20514,40.41912,0.19377,0.188058,12.90969,
224,0.35772,47.33397,40.13139,0.250663,0.230533,12.86321,
226,0.354158,47.38896,40.39054,0.131342,0.240241,12.81132,
228,0.47526,47.2821,40.32384,0.191967,0.170741,12.56323,
230,0.406104,47.35102,40.33931,0.238554,0.150821,12.84961,
232,0.304324,47.29021,40.21183,0.227673,0.16051,12.90127,
234,0.379297,47.46293,40.41497,0.211559,0.232907,12.94949,
236,0.401072,47.29646,40.28383,0.176876,0.182772,12.69016,
238,0.373908,47.05693,40.1604,0.197664,0.176672,12.70591,
240,0.271784,47.27786,40.61914,0.177487,0.20637,12.96536,
242,0.237732,47.28148,40.09071,0.209606,0.184611,12.84292,
244,0.427925,47.11214,40.35991,0.216964,0.191676,13.00519,
246,0.353055,46.14193,40.33396,0.164806,0.191063,12.51771,
248,0.344527,47.428,40.5851,0.19689,0.224035,12.69506,
250,0.445413,47.525,40.38902,0.23306,0.200485,12.82209,
252,0.413656,47.51445,40.65489,0.256442,0.145345,12.85581,
