Distance (µm),Al Ox%,Mg Ox%,Si Ox%,Ca Ox%,Ti Ox%,Cr Ox%,Mn Ox%,Fe Ox%,
0,14.38195,6.703569,53.80009,11.00366,2.166796,0.063123,0.164391,11.71642,
2.00000000000003,14.79414,6.445733,53.39064,11.16294,2.343627,0.025651,0.165927,11.67135,
3.99999999999999,6.363841,22.0265,53.43744,5.538599,1.093716,0.210033,0.191719,11.13816,
6.00000000000002,1.910357,29.30474,54.71725,2.272121,0.290467,0.457342,0.259709,10.788,
7.99999999999998,1.81592,29.39076,55.03198,2.150009,0.244781,0.391786,0.217817,10.75696,
10,1.691228,29.42989,54.80057,2.270257,0.29899,0.516669,0.202322,10.79007,
12,1.579742,29.53224,55.08661,2.148818,0.280757,0.353675,0.22098,10.79719,
14,1.733159,29.50915,55.00223,2.215014,0.267326,0.439041,0.14792,10.68616,
16,1.692105,29.56777,54.96808,2.198999,0.266256,0.403613,0.270293,10.63287,
18,1.781113,29.40281,55.09884,2.161045,0.219443,0.397524,0.269456,10.66977,
20,1.73679,29.47347,55.10728,2.189601,0.226275,0.392623,0.147992,10.72597,
22,1.733992,29.4749,54.98527,2.153926,0.235682,0.395445,0.189502,10.83129,
24,1.576514,29.69225,54.94919,2.156124,0.290814,0.361775,0.18202,10.79131,
26,1.60883,29.53381,55.07546,2.177358,0.274712,0.405381,0.20734,10.71711,
28,1.58606,29.62668,55.16518,2.16922,0.206087,0.356322,0.209565,10.68088,
30,1.25201,29.74293,55.07441,2.125219,0.279501,0.415964,0.202224,10.90774,
32,1.357304,29.82694,55.17231,2.111956,0.166385,0.357185,0.182675,10.82526,
34,1.377382,29.66108,55.15239,2.223072,0.220663,0.335496,0.257148,10.77278,
36,1.450836,29.59758,55.10665,2.151056,0.217531,0.389676,0.259961,10.82672,
38,1.485078,29.59817,55.31009,2.114524,0.182071,0.377756,0.207606,10.72471,
40,1.501507,29.73799,54.93059,2.091125,0.292556,0.384035,0.274756,10.78745,
42,1.42167,29.61814,55.13417,2.095075,0.239197,0.323267,0.241643,10.92685,
44,1.498464,29.60427,55.21612,2.186859,0.190266,0.409698,0.211335,10.683,
46,1.405407,29.84049,55.06279,2.041349,0.245077,0.401621,0.228041,10.77524,
48,1.398401,29.64638,55.1934,2.174654,0.241972,0.336415,0.27943,10.72935,
50,1.453384,29.61437,55.2929,2.151714,0.145529,0.298079,0.237052,10.80698,
