Distance (µm),Mg Ox%,Si Ox%,Ca Ox%,Mn Ox%,Fe Ox%,Ni Ox%,Ti Ox%,K Ox%,Cr Ox%,
31,29.59761,54.44849,2.126836,0.199279,11.02495,0.05407,0.311702,-0.031013,0.570799,
31.5,29.88371,54.83751,2.170737,0.229997,10.92887,0.075889,0.260898,-0.021535,0.482595,
32,29.63216,54.619,2.194939,0.229848,10.88802,0.071248,0.343444,0.027604,0.523142,
32.5,29.35365,54.45732,2.156149,0.26889,10.95187,0.122868,0.342144,0.043736,0.47589,
33,29.60443,54.64435,2.18478,0.219948,11.13778,-0.034201,0.241847,0.014624,0.497346,
33.5,29.69501,54.67439,2.209034,0.241632,10.98663,0.132974,0.294091,-0.019465,0.448176,
34,29.57612,54.63522,2.149151,0.23255,10.88851,0.060085,0.333884,-0.040842,0.482273,
34.5,29.70892,54.69278,2.157376,0.23663,11.04444,0.02325,0.30959,0.017638,0.487227,
35,29.49069,54.52272,2.195596,0.200055,11.12564,0.021946,0.28625,-0.000378,0.451683,
35.5,29.52557,54.62988,2.124799,0.222572,11.21203,0.084562,0.297019,0.003461,0.47459,
36,29.66032,54.60923,2.184975,0.258195,11.04389,0.038761,0.270326,-0.018305,0.418431,
36.5,29.49749,54.61252,2.189759,0.310431,11.01156,0.093482,0.321344,-0.030662,0.513386,
37,29.55259,54.68059,2.144923,0.305587,11.05674,0.030679,0.252997,-0.010222,0.500513,
37.5,29.47985,54.67182,2.247724,0.237098,11.08075,-0.012029,0.254886,0.032704,0.545053,
38,29.54841,54.60815,2.197405,0.204414,11.22659,0.050961,0.358986,-0.011698,0.56321,
38.5,29.38726,54.72579,2.259459,0.158955,10.86204,0.106519,0.340782,-0.000593,0.57044,
39,29.40705,54.56353,2.235113,0.232135,11.09051,0.069102,0.351867,0.002992,0.52948,
39.5,29.71455,54.66514,2.235882,0.145887,11.14602,0.200792,0.306025,0.023933,0.632982,
40,29.5582,54.62147,2.214954,0.213708,11.11231,0.026927,0.261874,0.050953,0.425036,
40.5,29.44953,54.51263,2.230672,0.299056,11.15223,0.161253,0.282575,0.021652,0.492976,
41,29.57762,54.76638,2.320482,0.190835,10.91368,-0.021625,0.242436,0.000237,0.476692,
41.5,29.38542,54.95697,2.235734,0.296079,10.85526,0.07252,0.330342,0.012831,0.481434,
42,29.43758,54.56883,2.229621,0.253568,11.0198,0.072564,0.336955,0.01137,0.534921,
42.5,29.53998,54.34616,2.256798,0.249965,11.19889,0.059194,0.359522,-0.029409,0.576953,
43,29.5482,54.65667,2.205161,0.203277,11.26712,0.06018,0.296916,-0.011018,0.505327,
43.5,29.52582,54.62312,2.208113,0.245636,10.94583,0.060871,0.3682,-0.013705,0.515148,
44,29.67291,55.01475,2.265817,0.209387,11.30212,0.050993,0.331392,0.007896,0.556619,
44.5,29.64795,54.50999,2.242956,0.249011,11.05542,0.096674,0.346136,-0.032505,0.580982,
45,29.45651,54.8467,2.231578,0.21204,10.97604,0.031201,0.258807,-0.008751,0.435913,
45.5,29.4841,54.81305,2.293993,0.268037,11.04453,0.078738,0.283098,-0.027668,0.519099,
46,29.5513,54.77732,2.307339,0.229506,11.03308,0.047176,0.256268,0.023829,0.580834,
46.5,29.63434,54.59912,2.166052,0.249532,11.11973,0.137518,0.353218,-0.016938,0.433259,
47,29.62945,54.68432,2.253319,0.323594,10.86994,0.112969,0.195056,-0.00661,0.431433,
47.5,29.61462,54.50253,2.184965,0.324208,10.99252,0.014126,0.327953,-0.00699,0.497955,
48,29.29988,54.59533,2.288037,0.204751,10.96646,0.165897,0.38186,-0.039322,0.589554,
48.5,29.41683,54.71315,2.257952,0.279372,11.25925,0.041745,0.281771,0.004132,0.469046,
49,29.46145,54.80635,2.301282,0.122823,10.97912,0.081896,0.31403,-0.027998,0.497687,
49.5,29.20458,54.61349,2.3596,0.303688,10.9556,-0.005416,0.241623,-0.020756,0.431021,
50,29.49876,54.78101,2.277379,0.275412,11.0247,-0.000578,0.292415,0.004346,0.503196,
50.5,29.60169,54.57887,2.343858,0.228629,11.05746,-0.02062,0.32548,-0.008587,0.598273,
51,29.47065,54.58638,2.37558,0.308915,11.00242,0.063577,0.360752,-0.00807,0.428664,
51.5,29.53867,54.68036,2.383302,0.290355,11.00877,0.008923,0.238724,0.024625,0.588706,
52,29.2614,54.47684,2.319168,0.212815,11.13799,0.048977,0.319313,-0.024219,0.535501,
52.5,29.40187,54.07128,2.373269,0.304164,10.95761,0.049443,0.357127,0.033714,0.548867,
53,29.31506,54.42128,2.28615,0.285828,11.00411,0.1091,0.300339,0.002416,0.488969,
53.5,29.25315,54.38538,2.37687,0.289384,10.92481,-0.002797,0.357565,0.019758,0.43669,
54,29.48045,54.26441,2.32892,0.224372,11.31928,0.068195,0.309417,-0.019313,0.497974,
54.5,29.34646,54.52353,2.401472,0.245521,10.99476,0.047598,0.316342,0.027998,0.56823,
55,29.2849,54.59438,2.353745,0.196306,11.22812,0.103965,0.284106,-0.031554,0.544948,
55.5,29.42611,54.41812,2.414651,0.233541,11.11334,0.100747,0.379126,-0.005725,0.521155,
56,29.04027,54.46865,2.41239,0.271131,11.02529,0.065895,0.290496,0.002559,0.499033,
56.5,29.30926,54.65688,2.412916,0.228547,10.94511,0.032692,0.317001,0.00423,0.510223,
57,29.38281,54.63977,2.402858,0.258264,11.0336,0.019724,0.352171,-0.013784,0.537671,
57.5,29.3527,54.47502,2.320596,0.253799,11.1353,0.084547,0.273403,-0.007482,0.531221,
58,29.33581,54.50989,2.41106,0.215023,11.08145,0.146718,0.218206,0.013623,0.520374,
58.5,29.43996,54.4594,2.246851,0.220364,11.14231,0.041477,0.26164,-0.013442,0.475855,
59,29.29363,54.62989,2.380767,0.242906,11.14814,0.070081,0.317897,-0.033904,0.47718,
59.5,29.48079,54.81047,2.267843,0.197121,11.22692,0.166521,0.269538,0.01765,0.465723,
60,29.43184,54.62667,2.284289,0.26557,10.9331,0.020533,0.314133,0.016668,0.569996,
60.5,29.56828,54.68755,2.208548,0.284646,11.04436,0.07196,0.37041,0.031562,0.492264,
61,29.47182,54.44043,2.312396,0.241618,10.99931,0.002318,0.287276,0.020817,0.469371,
61.5,29.41778,55.04685,2.27777,0.256542,11.14257,0.12766,0.359005,-0.015393,0.528428,
62,29.4053,54.6711,2.317899,0.24146,11.01014,0.017966,0.229456,0.002228,0.462952,
62.5,29.39378,54.56458,2.315392,0.274232,11.02335,0.056815,0.361088,0.030158,0.489264,
63,29.44317,54.49877,2.216824,0.234624,11.1686,0.080344,0.283131,0.018844,0.470665,
63.5,29.39766,54.66109,2.310035,0.321381,10.97107,0.113845,0.306971,-0.008481,0.45636,
64,29.38758,54.51221,2.294533,0.245406,10.93053,0.065361,0.408382,-0.028066,0.484881,
64.5,29.36157,54.57584,2.277554,0.251395,10.88756,0.078035,0.317907,-0.025377,0.49183,
65,29.18769,54.38923,2.257158,0.234993,11.0827,0.018772,0.367821,0.010436,0.513687,
65.5,29.32289,54.35596,2.334432,0.175802,10.94739,0.059065,0.373782,-0.02114,0.431418,
66,29.37389,54.47058,2.314937,0.246006,11.09672,0.044349,0.277657,0.001046,0.447087,
66.5,29.39911,54.41849,2.280236,0.256632,11.01489,0.048485,0.307459,0.000998,0.491992,
67,29.47371,54.63277,2.346692,0.240255,11.15567,0.106174,0.302253,-0.026934,0.521953,
67.5,29.58582,54.63833,2.364427,0.224225,11.244,0.023388,0.377721,-0.031343,0.530471,
68,29.36322,54.2775,2.318956,0.182681,11.11782,0.05226,0.357039,-0.019032,0.513369,
68.5,29.43577,54.40089,2.350111,0.257566,11.08805,0.082815,0.254974,0.013937,0.498382,
69,29.48473,54.53324,2.38087,0.246143,11.12512,0.027469,0.291903,0.034698,0.564428,
69.5,29.2914,54.43106,2.373082,0.224935,11.11025,0.034762,0.304353,0.00205,0.515332,
70,29.37423,54.25097,2.356138,0.199827,11.09812,0.089847,0.28808,-0.005252,0.542663,
70.5,29.25566,54.36973,2.328638,0.253448,11.15157,0.030983,0.310565,0.015749,0.50391,
71,29.24854,54.60641,2.404901,0.277569,11.09452,0.014918,0.356298,-0.038271,0.518537,
71.5,29.56235,54.50364,2.306569,0.223702,11.11335,0.134761,0.341043,-0.016043,0.499884,
72,29.40436,54.56239,2.344166,0.197442,11.08871,0.135416,0.378255,0.038451,0.619468,
72.5,29.26638,54.37175,2.418113,0.211889,11.1735,0.077434,0.316876,0.022796,0.472572,
73,29.30331,54.72596,2.472086,0.27446,11.00992,0.12373,0.273204,0.018788,0.520224,
73.5,29.21847,54.58311,2.492834,0.246227,11.12776,0.089649,0.338377,0.017976,0.405852,
74,29.17217,54.43214,2.491867,0.278129,10.92186,0.106433,0.32765,-0.008242,0.545066,
