Distance (µm),Mg Ox%,Al Ox%,Si Ox%,Ca Ox%,Ti Ox%,Cr Ox%,Mn Ox%,Fe Ox%,
144,29.99959,1.523663,55.17551,1.896474,0.208381,0.38448,0.169585,10.64231,
146,29.95908,1.520363,55.14667,1.809198,0.188095,0.45325,0.245755,10.67759,
148,29.85277,1.373632,55.44742,1.870232,0.212598,0.423002,0.229413,10.59093,
150,29.97901,1.399914,55.22001,1.822703,0.207224,0.483313,0.256944,10.63089,
152,29.99138,1.351238,55.22614,1.820986,0.151375,0.401991,0.277245,10.77964,
154,29.79225,1.481015,55.1906,1.822178,0.202955,0.405386,0.246139,10.85948,
156,29.93487,1.414773,55.28226,1.858668,0.217162,0.333751,0.26147,10.69704,
158,29.74319,1.489645,55.28633,1.870574,0.198436,0.384781,0.172669,10.85436,
160,29.70862,1.466131,55.36091,1.875038,0.199687,0.356764,0.227455,10.80541,
162,29.90325,1.366265,55.22406,1.904518,0.244363,0.401913,0.163482,10.79215,
164,30.01939,1.438694,55.21377,1.858357,0.232577,0.417425,0.151781,10.66799,
166,29.86409,1.474428,55.26904,1.857733,0.15447,0.365613,0.233868,10.78077,
168,29.8795,1.400916,55.18545,1.881356,0.245014,0.35062,0.234861,10.82229,
170,29.85207,1.436149,55.18183,1.921437,0.182958,0.404525,0.282406,10.73862,
172,29.74008,1.381883,55.4255,1.891181,0.175899,0.373005,0.211024,10.80144,
174,29.7278,1.422326,55.30372,1.974246,0.134026,0.382028,0.200023,10.85581,
176,29.71796,1.510301,55.22401,1.944142,0.171444,0.317207,0.207945,10.90699,
178,29.65235,1.495967,55.07853,1.870202,0.208669,0.415811,0.18963,11.08886,
180,29.75587,1.441803,55.06961,1.98732,0.17365,0.383933,0.187717,11.00008,
182,29.62677,1.459452,55.08478,2.003975,0.270348,0.349216,0.225237,10.98022,
184,29.55405,1.56854,55.03369,2.034055,0.219447,0.386007,0.194094,11.01012,
186,29.59079,1.533103,55.28526,2.011449,0.244874,0.386968,0.240824,10.70674,
188,29.51299,1.625919,55.06931,2.034209,0.219817,0.320102,0.268913,10.94875,
190,29.5911,1.502859,54.95452,2.069007,0.293577,0.419635,0.252298,10.917,
192,29.59567,1.471281,55.18113,2.102764,0.208184,0.369581,0.23057,10.84082,
194,29.61017,1.328538,55.07698,2.063935,0.199343,0.318389,0.288209,11.11444,
196,29.67733,1.240067,55.2737,2.039311,0.248225,0.264583,0.227612,11.02917,
198,29.78664,1.25319,55.20539,2.024443,0.280009,0.274887,0.238669,10.93678,
200,29.60154,1.244215,55.17884,2.076686,0.197626,0.242149,0.318408,11.14053,
202,29.50965,1.289553,55.21324,2.118629,0.243271,0.299584,0.30755,11.01851,
204,29.55647,1.305025,55.09937,2.126454,0.208514,0.308068,0.267436,11.12865,
206,29.42388,1.482887,55.32526,2.111758,0.252725,0.317871,0.161353,10.92427,
208,29.46381,1.486835,55.06746,2.167731,0.269518,0.295121,0.253004,10.99653,
210,29.36898,1.545029,55.13978,2.12965,0.257824,0.239069,0.279067,11.0406,
212,29.36106,1.48149,54.94126,2.11963,0.243267,0.382856,0.281372,11.18906,
214,29.50336,1.58905,54.93954,2.091053,0.195265,0.375084,0.255266,11.05138,
216,29.26692,1.657331,54.82726,2.083103,0.267687,0.380011,0.16335,11.35433,
218,29.08014,1.761128,54.85969,2.130003,0.336909,0.410923,0.263037,11.15817,
220,29.03713,1.809007,54.64353,2.156693,0.382287,0.376798,0.196303,11.39826,
222,29.13972,1.744314,54.62804,2.108908,0.379554,0.475409,0.223885,11.30017,
224,29.37268,1.474981,55.19877,2.16765,0.231513,0.274386,0.22535,11.05467,
226,29.38701,1.347475,54.94456,2.098606,0.221447,0.293504,0.299407,11.40798,
228,29.36257,1.395322,55.08996,2.122286,0.237155,0.343038,0.206237,11.24344,
230,29.31548,1.402747,55.20775,2.074972,0.22736,0.357473,0.238813,11.1754,
232,29.32364,1.315472,55.24982,2.202989,0.210963,0.276761,0.178434,11.24194,
234,29.45397,1.340873,55.13646,2.001847,0.260721,0.363527,0.196834,11.24577,
236,29.18517,1.313112,55.26849,2.171515,0.164271,0.323163,0.262886,11.31138,
238,29.21024,1.375566,55.25213,2.088605,0.23497,0.365427,0.275352,11.19771,
240,29.22936,1.494432,54.90323,2.142694,0.272939,0.289353,0.307596,11.36039,
242,29.11019,1.530746,55.08725,2.117364,0.26022,0.308509,0.238754,11.34698,
244,29.28098,1.524158,55.13154,2.055837,0.232919,0.353021,0.232257,11.18928,
246,29.22886,1.525229,54.70504,2.150003,0.302811,0.414646,0.238625,11.43478,
248,29.1249,1.684726,54.71271,2.127362,0.276866,0.313616,0.25463,11.50521,
250,29.06159,1.622038,54.79043,2.171465,0.239142,0.368342,0.225786,11.52121,
252,29.14092,1.534447,54.75212,2.161386,0.258818,0.396658,0.244009,11.51165,
254,28.94842,1.570995,55.0474,2.225657,0.261243,0.30489,0.251685,11.38971,
256,29.07988,1.676167,54.70636,2.211666,0.236559,0.354524,0.185554,11.54929,
258,28.94824,1.723282,54.63895,2.159626,0.192675,0.366957,0.271478,11.69879,
260,28.77785,1.691245,54.6757,2.184798,0.305204,0.365275,0.254121,11.7458,
262,28.89299,1.766937,54.53173,2.238925,0.327475,0.33154,0.236332,11.67407,
264,28.69994,1.82489,54.88054,2.169661,0.355393,0.421458,0.225925,11.42218,
266,28.67465,1.753984,54.83419,2.241396,0.288118,0.397795,0.15982,11.65005,
268,28.89678,1.749505,54.61803,2.19868,0.272847,0.341804,0.251543,11.67081,
270,28.8331,1.816675,54.56071,2.251186,0.336596,0.368512,0.237959,11.59526,
272,28.86676,1.750658,54.93623,2.181845,0.260623,0.306037,0.230786,11.46706,
274,28.14943,2.023028,55.52327,2.295827,0.333115,0.270524,0.237867,11.16695,
276,10.90857,12.68407,54.79218,8.307905,1.682114,0.15567,0.215625,11.25386,
278,6.628438,14.93681,54.08218,10.54878,2.237449,0.007599,0.165657,11.39308,
280,6.727347,14.93923,53.65444,10.69791,2.236455,0.05028,0.194297,11.50004,
282,6.671341,14.9181,53.91489,10.68377,2.186193,0,0.143016,11.48267,
