Distance (µm),Mg Ox%,Al Ox%,Si Ox%,Ca Ox%,Ti Ox%,Cr Ox%,Mn Ox%,Fe Ox%,
0,6.863355,14.10087,52.99185,10.32464,2.306349,0.025923,0.264444,11.5638,
2.00000000000002,6.739746,13.77938,52.90993,10.15822,2.227216,0.05022,0.192283,11.43236,
3.99999999999999,6.962599,13.52719,52.94785,10.14952,2.308666,0.007694,0.203169,12.20757,
6.00000000000001,6.575486,13.7865,52.54747,10.08846,2.31833,0.038589,0.185681,11.87519,
7.99999999999998,7.569232,13.82559,53.26315,9.903583,2.204343,0.049726,0.148037,11.206,
10,26.42917,3.56638,57.34187,5.702349,0.5512,0.422188,0.264236,11.32568,
12,29.50576,2.366835,56.18221,2.945728,0.378399,0.511536,0.286182,11.27098,
14,28.9282,2.395563,56.00781,3.024505,0.447676,0.348111,0.317022,12.07855,
16,28.49697,2.731366,55.38202,3.143523,0.38647,0.362356,0.266098,11.73541,
18,28.76077,2.538422,55.73893,3.087191,0.373603,0.536229,0.194777,11.68676,
20,28.4612,2.793698,55.18355,3.28453,0.452641,0.513993,0.281059,11.68099,
22,29.02527,2.428652,55.60495,2.839239,0.366109,0.564512,0.209657,11.29014,
24,29.8444,2.163067,56.037,2.421621,0.324041,0.551986,0.216995,11.08804,
26,29.89202,2.080142,56.00598,2.146696,0.37846,0.488903,0.281645,11.08165,
28,30.00978,2.030062,56.18284,2.270824,0.332915,0.467216,0.283419,11.20775,
30,29.9737,2.046206,55.93124,2.255671,0.303293,0.539514,0.21519,11.02571,
32,29.85852,2.194125,56.08356,2.238301,0.309938,0.527989,0.216057,11.16591,
34,30.04943,2.068635,55.94689,2.279152,0.315073,0.546345,0.280338,11.19148,
36,30.15951,1.983243,56.13625,2.249391,0.327852,0.502167,0.230823,11.35417,
38,29.72383,2.050174,56.06398,2.234376,0.31672,0.585588,0.314542,11.11889,
40,29.56836,2.232543,55.78878,2.479405,0.306247,0.520642,0.241965,11.08477,
42,29.7394,2.116593,55.67286,2.513798,0.361777,0.550208,0.310655,11.30303,
44,29.82796,2.153971,56.02359,2.458351,0.34437,0.562887,0.301907,10.95619,
46,29.4614,2.220747,55.39252,2.583224,0.366216,0.614994,0.270833,11.0825,
48,29.73086,2.034178,55.92113,2.31715,0.266469,0.554717,0.159892,10.95543,
50,29.85761,1.825156,55.95115,2.164858,0.373059,0.508213,0.288095,10.96353,
52,29.80296,1.93968,55.8739,2.180247,0.319927,0.515286,0.267978,10.92767,
54,30.06514,1.87406,56.02037,2.183798,0.282052,0.552774,0.364508,11.22054,
56,29.97835,1.982221,56.07963,2.237763,0.293862,0.558776,0.225851,11.006,
58,29.96732,2.068366,55.99004,2.225309,0.235225,0.560132,0.270461,11.26349,
60,29.92165,1.91059,55.84421,2.175264,0.238835,0.523222,0.228067,11.11278,
62,29.69621,1.920267,55.87851,2.212415,0.355852,0.538482,0.282462,11.10363,
64,29.72351,2.097084,56.07978,2.195202,0.344732,0.537741,0.32324,11.05286,
66,29.8637,2.01623,55.6685,2.237863,0.252037,0.458569,0.211757,11.10371,
68,29.59182,2.030401,55.8078,2.188099,0.281846,0.55169,0.291843,11.05127,
70,29.64293,2.171227,55.40941,2.228067,0.232016,0.528395,0.246078,11.03393,
72,29.65952,2.220299,55.52828,2.2572,0.345144,0.541535,0.225632,11.15431,
74,29.57435,2.130959,55.74955,2.228553,0.367886,0.552582,0.256668,11.0382,
76,29.44704,2.178414,55.52095,2.217139,0.299716,0.491568,0.263047,10.97445,
78,29.67219,2.225042,55.64876,2.214238,0.383519,0.56693,0.23838,11.27968,
80,29.61445,2.118966,55.7104,2.148257,0.3841,0.491335,0.224797,11.13913,
82,29.54144,2.204338,55.21175,2.19064,0.294573,0.542467,0.217645,11.19382,
84,29.63532,2.147373,55.50489,2.264033,0.32139,0.55602,0.225085,10.99137,
86,29.80358,2.142054,55.60101,2.291619,0.293838,0.539993,0.243444,11.13677,
88,29.61346,2.082377,55.59814,2.177245,0.310313,0.543898,0.210154,11.13508,
90,29.70888,2.123846,55.84199,2.240494,0.326717,0.529408,0.201355,11.16933,
92,29.72843,2.148995,55.7145,2.241067,0.355902,0.604669,0.18446,11.07972,
94,29.63147,2.091094,55.67776,2.172379,0.315173,0.564847,0.263292,10.9497,
96,29.78382,2.134479,55.70756,2.176983,0.226648,0.650798,0.226013,11.01474,
98,29.6774,2.122633,55.52665,2.173059,0.294352,0.558644,0.185649,11.08094,
100,29.82135,2.077528,55.89448,2.248838,0.267158,0.492355,0.221838,11.1606,
102,29.54737,2.069176,55.24554,2.1072,0.254452,0.575949,0.228088,11.10971,
104,29.55146,2.062127,55.50129,2.235435,0.315345,0.556359,0.251238,11.03791,
106,29.62057,2.135671,55.55001,2.109006,0.320844,0.64183,0.276321,11.18213,
108,29.64778,2.33257,55.72209,2.182987,0.337205,0.619973,0.253253,10.97266,
110,29.39614,2.260925,55.20436,2.128602,0.33051,0.584681,0.233656,10.98532,
112,29.75954,2.142244,55.69269,2.108747,0.302888,0.566555,0.235931,11.19159,
114,29.77625,2.111914,55.60953,2.223947,0.341715,0.595054,0.214291,10.98478,
116,29.59635,2.144283,55.38654,2.06567,0.29005,0.551291,0.284979,11.07885,
118,29.77075,2.179894,55.65947,2.145029,0.330496,0.610619,0.220995,11.11918,
