Distance (µm),Mg Ox%,Si Ox%,Ca Ox%,Mn Ox%,Fe Ox%,Ni Ox%,
0,48.12226,40.35519,0.204665,0.116323,11.7233,0.392719,
2.00000000000003,48.41755,40.57637,0.294312,0.133816,11.64369,0.422884,
4,48.27304,40.5891,0.286532,0.152793,11.56011,0.422044,
6.00000000000003,48.32387,40.60732,0.23368,0.269375,11.81197,0.302764,
7.99999999999999,48.20955,40.59155,0.231926,0.107154,11.8763,0.483,
10,48.32992,40.40442,0.190605,0.117654,11.91652,0.425109,
12,48.10257,40.74898,0.236365,0.179684,11.70731,0.443448,
14,48.25514,40.51533,0.219762,0.133451,11.76813,0.439894,
16,48.15007,40.7021,0.196676,0.21345,11.75724,0.488693,
18,48.18845,40.84335,0.197981,0.16912,11.6787,0.410862,
20,48.09835,40.49113,0.202416,0.110456,11.81443,0.354915,
22,48.32832,40.63043,0.238661,0.164654,11.99325,0.461167,
24,48.09494,40.46943,0.25635,0.164534,11.80211,0.434597,
26,48.00264,40.58224,0.200369,0.178818,11.74555,0.433224,
28,48.20917,40.5843,0.229507,0.164898,11.9955,0.310626,
30,48.22961,40.40444,0.189184,0.203859,11.73353,0.467288,
32,48.15443,40.26918,0.262247,0.238373,11.81259,0.40693,
34,48.32237,40.50691,0.250101,0.192663,11.94584,0.485319,
36,47.91678,40.43568,0.231662,0.14685,11.71067,0.396237,
38,48.097,40.35567,0.221616,0.14485,11.93532,0.454979,
40,48.19949,40.51357,0.234089,0.161357,11.86948,0.454245,
42,48.29298,40.37331,0.18744,0.196523,12.01822,0.420587,
44,48.10296,40.43417,0.225224,0.231172,11.91128,0.408546,
46,48.15756,40.38089,0.202358,0.158356,11.8059,0.498921,
48,48.12252,40.52881,0.232208,0.152028,12.02832,0.402415,
50,47.90774,40.64597,0.205738,0.216989,11.92848,0.432493,
52,48.3695,40.47795,0.240678,0.240244,12.22971,0.486969,
54,47.82277,40.45405,0.189473,0.159754,11.71745,0.414944,
56,47.91264,40.18421,0.214004,0.138596,12.00869,0.441659,
58,48.11061,40.62077,0.203428,0.098381,11.94935,0.387771,
