Distance (µm),Mg Ox%,Si Ox%,Ca Ox%,Mn Ox%,Fe Ox%,Ni Ox%,Al Ox%,Ti Ox%,K Ox%,
14.5,43.3261,39.46838,0.24825,0.291044,16.64912,0.229725,0.63116,0.009688,0.017105,
15,43.29313,39.14322,0.25503,0.281494,16.60654,0.204577,0.522625,0.044015,0.012892,
15.5,43.29645,39.13621,0.254106,0.19424,16.8646,0.26149,0.56217,0.010027,0.006648,
16,43.49166,39.30033,0.25654,0.234048,16.69065,0.208663,0.512529,-0.016508,0.030933,
16.5,43.3265,39.17046,0.190332,0.208769,16.71794,0.232482,0.639191,-0.046988,0.024501,
17,43.58189,39.26055,0.25721,0.247708,16.4343,0.327092,0.554074,-0.07673,0.002725,
17.5,43.4505,39.31173,0.26854,0.254399,16.43095,0.287077,0.597277,0.006874,0.00506,
18,43.64663,39.06692,0.306695,0.229147,16.39614,0.16001,0.588012,0.018189,-0.017253,
18.5,43.32456,39.1611,0.219408,0.196557,16.53392,0.139768,0.507316,-0.01108,-0.013165,
19,43.83701,39.16249,0.220746,0.263045,16.64176,0.228202,0.487433,-0.02318,0.00554,
19.5,43.62432,38.919,0.235164,0.190904,16.49457,0.304531,0.620819,0.052083,0.014544,
20,43.62301,39.32901,0.206325,0.266125,16.58363,0.27826,0.578492,0.052935,-0.011967,
20.5,43.81372,39.37778,0.24831,0.265216,16.35683,0.265605,0.506763,0.010285,0.025052,
21,43.47564,39.27575,0.269334,0.197126,16.52815,0.231798,0.557566,0.027271,0.045855,
21.5,43.73386,39.37178,0.275783,0.298251,16.25171,0.21358,0.585657,0.069418,0.00892,
22,43.8231,39.27807,0.214217,0.18829,16.34998,0.171514,0.608084,0.049132,0.051454,
22.5,43.87063,39.29566,0.235822,0.268753,16.46438,0.217585,0.464996,-0.043416,0.008266,
23,43.85375,39.19954,0.195064,0.29403,16.14188,0.322749,0.540967,0.029905,0.001759,
23.5,43.79859,39.15957,0.255526,0.207261,16.28376,0.235941,0.596451,0.023996,0.015803,
24,43.52888,39.39599,0.209531,0.152282,16.15972,0.267207,0.485588,0.011281,0.009324,
24.5,43.99897,39.35904,0.248417,0.204597,16.40854,0.242825,0.516849,0.010891,0.013395,
25,43.67144,39.3247,0.198275,0.253534,16.19173,0.239747,0.615459,0.088604,0.071649,
25.5,44.02767,39.25222,0.233129,0.27599,16.58836,0.256668,0.495979,0.044559,0.001173,
26,43.7956,39.46732,0.241315,0.219454,16.09954,0.288375,0.599685,0.040401,-0.016278,
26.5,43.62326,39.29742,0.20898,0.184803,16.26771,0.230643,0.543335,0.033085,-0.01432,
27,43.99472,39.30135,0.235726,0.162845,16.30507,0.30477,0.512009,-0.019743,-0.006526,
27.5,43.57836,38.92556,0.204506,0.317384,16.11757,0.237109,0.553946,0.009216,0.02553,
28,43.95986,38.90221,0.222198,0.171727,16.1732,0.352868,0.622837,0.042774,0.007006,
28.5,43.78287,39.19017,0.20357,0.203405,16.42944,0.300794,0.627917,0.036695,-0.019416,
29,43.63433,39.33983,0.239234,0.268978,16.09532,0.225794,0.510176,0.040807,0.00395,
29.5,43.86091,39.31357,0.21118,0.220838,16.27081,0.220673,0.504253,0.029987,0.025605,
30,43.99212,39.12117,0.223022,0.31533,16.20204,0.228431,0.5025,0.042199,-0.018771,
30.5,43.90855,39.10063,0.206963,0.240444,16.18024,0.341357,0.545642,0.037363,0.002961,
31,43.85558,38.88611,0.240633,0.250116,16.29756,0.172031,0.570853,0.053604,0.010253,
31.5,43.7069,39.13356,0.216605,0.216637,16.01568,0.313379,0.620823,0.022531,0.020252,
32,43.75092,39.2505,0.237945,0.19428,16.07287,0.247091,0.515409,0.046809,0.002824,
32.5,44.0023,39.20671,0.215953,0.209201,16.33286,0.276733,0.573484,0.049281,0.01712,
33,43.98486,38.97551,0.178729,0.294333,16.13581,0.282914,0.478665,0.059201,0.002978,
33.5,44.10212,39.2508,0.201292,0.279645,16.01437,0.301443,0.523965,0.062816,0.009377,
34,43.89172,39.31365,0.194726,0.28433,16.02321,0.289249,0.579733,-0.015066,0.006069,
34.5,43.9268,39.37469,0.217488,0.147614,16.11729,0.203177,0.565027,-0.021578,-0.042699,
35,44.25183,39.09463,0.205627,0.230158,16.18546,0.308256,0.602295,0.074342,-0.000498,
35.5,43.81322,39.04825,0.280355,0.246687,16.17716,0.251956,0.617733,0.07,0.023361,
36,43.65705,39.21434,0.212067,0.269196,15.88481,0.230188,0.605668,0.008506,0.007793,
36.5,43.94667,39.31385,0.204965,0.295486,16.23763,0.247212,0.521828,-0.005982,-0.032436,
37,43.98724,39.26783,0.199909,0.221305,16.11523,0.17776,0.534349,0.045684,0.005611,
37.5,44.24336,39.31541,0.21344,0.204982,16.12389,0.313463,0.603399,-0.031786,0.003781,
38,43.75227,39.13406,0.206518,0.242656,16.18926,0.283485,0.515816,0.002038,0.025382,
38.5,43.90382,39.45923,0.249575,0.273555,15.94714,0.316757,0.542021,-0.010907,-0.011517,
39,43.86776,39.24427,0.250281,0.25777,16.07802,0.247089,0.528525,0.085712,0.010189,
39.5,43.86183,39.33532,0.230988,0.247437,15.87138,0.211333,0.438467,0.005904,0.005203,
40,44.00392,39.22125,0.228599,0.200886,16.04757,0.208906,0.545381,-0.012274,-0.008514,
40.5,43.84958,39.23,0.186456,0.249906,16.08339,0.224316,0.517049,0.00963,0.008679,
41,44.03878,39.14663,0.229724,0.184511,16.18578,0.287985,0.493733,-0.014171,0.011615,
41.5,44.296,39.51813,0.240042,0.281854,16.03769,0.217969,0.529747,0.041936,-0.00296,
42,44.01957,39.42234,0.224622,0.241339,16.08368,0.247521,0.590153,0.055235,0.025899,
42.5,44.10759,39.17403,0.237879,0.171969,16.08521,0.308643,0.596177,-0.025508,-0.014666,
43,43.93602,39.26018,0.221182,0.215491,15.80739,0.304122,0.540235,-0.02403,-0.014259,
43.5,44.00948,39.19305,0.243394,0.278581,16.32933,0.154331,0.535156,0.006745,0.012512,
44,43.96033,39.16711,0.215708,0.208931,15.903,0.155459,0.603133,0.045163,0.00524,
44.5,43.64022,39.08189,0.258405,0.230202,15.65691,0.253878,0.566457,0.03559,0.002497,
45,44.12631,39.12333,0.17762,0.294956,16.13349,0.140588,0.511855,0.042946,0.015268,
45.5,43.91588,39.10416,0.213742,0.141308,15.9412,0.250096,0.537376,-0.02967,0.010806,
46,44.01555,39.3079,0.175494,0.180972,15.98226,0.259267,0.548156,0.05398,-0.018203,
46.5,43.75163,39.27227,0.223621,0.238421,15.77811,0.296024,0.457435,0.025343,0.025812,
47,44.03354,39.20872,0.21266,0.251074,15.82927,0.225691,0.463121,-0.001096,0.026562,
47.5,43.98094,39.35367,0.262775,0.233028,15.96494,0.276944,0.565354,-0.002437,0.014624,
48,43.76206,39.23154,0.191462,0.230041,15.81938,0.199048,0.551784,0.100766,-0.038169,
48.5,43.90029,39.14632,0.201293,0.207617,16.09945,0.330752,0.528158,0.057229,0.02666,
49,44.03228,39.33302,0.274062,0.251855,16.01986,0.280831,0.622913,-0.039939,-0.003779,
49.5,43.96468,39.28344,0.255353,0.271111,16.17847,0.282888,0.562361,0.042164,-0.006906,
50,44.01932,39.24561,0.219429,0.285301,15.88387,0.285681,0.501662,0.064413,-0.019397,
50.5,43.99247,39.15896,0.219705,0.173527,15.84106,0.27409,0.507212,-0.000927,0.006058,
51,44.12698,39.36619,0.213857,0.196048,15.73427,0.293004,0.521854,0.007784,-0.007574,
51.5,43.73986,38.97374,0.18472,0.216301,15.9659,0.246067,0.574903,0.070483,0.01368,
52,44.00061,39.04873,0.246732,0.29147,15.79729,0.196631,0.562954,-0.034725,-0.012066,
52.5,44.09084,39.27774,0.219291,0.241183,15.88055,0.329993,0.593554,0.046687,0.029914,
53,44.10373,39.16093,0.222938,0.260741,16.02068,0.118985,0.629108,-0.082522,0.009483,
53.5,44.14531,39.05798,0.27269,0.220873,15.79578,0.316107,0.460493,0.036398,0.01353,
54,44.09436,39.379,0.178653,0.21335,15.9586,0.281552,0.493283,0.001191,-0.021483,
54.5,43.94064,39.32681,0.20999,0.205754,15.74768,0.31747,0.538341,0.030929,0.002061,
55,44.01107,39.44515,0.219592,0.258554,15.84628,0.328167,0.471501,0.003451,-0.039096,
55.5,43.74402,39.14691,0.217812,0.252198,15.6385,0.220898,0.534668,0.007238,-0.038325,
56,44.02449,39.22886,0.222086,0.18322,16.08688,0.236217,0.561452,0.047883,0.027797,
56.5,44.01128,39.54952,0.197274,0.159349,15.79206,0.330865,0.512322,0.048328,0.028092,
57,43.91969,39.18287,0.2044,0.27969,15.76919,0.186976,0.565462,0.076572,-0.006887,
57.5,43.9413,39.27356,0.226201,0.289905,15.96078,0.24347,0.561011,0.035473,-0.033442,
58,43.83771,38.90399,0.235861,0.178211,15.90051,0.153298,0.452674,0.020858,-0.003762,
58.5,44.09616,39.44334,0.223805,0.25718,15.81282,0.250097,0.511276,0.027306,-0.037169,
59,43.97713,39.17827,0.266212,0.230081,15.84598,0.202574,0.574091,-0.033079,-0.015323,
59.5,43.98159,39.00877,0.219644,0.254221,15.94743,0.231792,0.561571,0.071237,-0.002075,
60,44.37444,39.28012,0.237686,0.166803,16.10582,0.240136,0.566957,0.024786,0.030857,
60.5,44.08995,39.59595,0.184773,0.233868,15.79148,0.340814,0.563626,0.052863,-0.022266,
61,44.17717,39.29307,0.220226,0.310767,15.79337,0.358786,0.464759,-0.05458,-0.010162,
61.5,44.09949,39.34332,0.224524,0.259542,15.75454,0.332746,0.538913,0.015087,-0.023937,
62,44.08375,39.1966,0.242348,0.256526,15.89546,0.263876,0.618247,0.016734,0.006668,
62.5,44.15567,38.83006,0.224881,0.224111,15.80381,0.321841,0.575317,0.073223,0.032488,
63,43.8637,39.05923,0.184879,0.201341,15.87298,0.236645,0.631883,0.043951,-0.034316,
63.5,43.96798,39.09395,0.250663,0.198913,15.67229,0.328361,0.586924,0.024511,-0.013261,
64,44.05157,39.22418,0.241615,0.177988,16.14424,0.26105,0.622865,-0.0109,0.014188,
64.5,44.11291,39.15353,0.212684,0.194022,15.93911,0.261664,0.55538,0.009172,-0.025218,
65,44.22598,39.04723,0.158993,0.243533,15.74572,0.225773,0.545743,-0.026826,0.016297,
65.5,44.34007,39.37451,0.218824,0.220984,15.81454,0.257804,0.557858,-0.002548,-0.010326,
66,44.1509,39.21625,0.19564,0.1796,15.74748,0.271622,0.486752,-0.04212,0.012464,
66.5,44.43972,39.25356,0.2024,0.236142,15.90105,0.316738,0.537511,-0.058714,0.000722,
67,43.94163,39.31111,0.175206,0.200351,15.77879,0.242563,0.580595,0.047089,-0.004989,
67.5,44.20459,39.41894,0.198187,0.288922,15.74429,0.262482,0.599003,-0.016539,-0.007786,
68,44.18321,39.21287,0.223315,0.290528,15.90682,0.249015,0.555033,-0.007545,-0.028663,
68.5,44.02871,39.36193,0.243899,0.193631,15.91543,0.254404,0.59134,0.006781,0.011785,
69,44.06087,39.26731,0.227693,0.226824,15.76669,0.265047,0.546687,0.016619,-0.003953,
69.5,44.15738,39.34075,0.237127,0.170705,15.75034,0.231768,0.53206,0.056808,-0.001637,
70,44.04824,39.24137,0.26386,0.251755,15.83411,0.310154,0.578344,0.003459,-0.027208,
70.5,44.32974,39.31802,0.212964,0.223028,15.92329,0.168368,0.564342,-0.015552,-0.025856,
71,44.28423,39.09837,0.194785,0.215408,15.91009,0.307589,0.643635,0.022446,-0.001918,
71.5,44.14382,39.3013,0.222821,0.205524,15.84903,0.396822,0.556186,-0.040154,-0.007409,
72,43.87754,39.16668,0.209949,0.226432,15.84004,0.25843,0.504301,0.021273,0.007807,
72.5,43.79222,39.25458,0.206072,0.149728,15.80898,0.245028,0.514967,-0.037691,-0.023496,
73,43.99858,39.20677,0.227752,0.158578,15.80845,0.276202,0.507726,0.051618,-0.016715,
73.5,44.11163,39.18503,0.241338,0.145639,15.84809,0.211278,0.594117,0.003798,0.025707,
74,44.04124,39.31842,0.211995,0.237235,15.66592,0.219438,0.518189,0.025448,-0.016657,
74.5,43.94511,39.05482,0.272655,0.313122,15.84007,0.200508,0.530606,0.000739,-0.009013,
75,43.9699,39.33133,0.221175,0.294261,15.90103,0.216437,0.485531,-0.045258,0.015887,
75.5,44.03513,39.51631,0.191692,0.128987,15.67141,0.336995,0.548264,0.054449,-0.000022,
76,44.21159,39.18024,0.238559,0.270741,15.68863,0.247031,0.662333,0.026008,0.024203,
76.5,43.90136,39.27934,0.214585,0.216696,15.76676,0.27634,0.597668,-0.000702,-0.018943,
77,44.15195,39.27877,0.221541,0.152599,15.66797,0.301523,0.541896,0.004273,-0.014871,
77.5,44.04405,39.15169,0.206921,0.302767,15.81031,0.183898,0.599789,-0.028205,0.009524,
78,43.98198,39.34791,0.19725,0.251431,15.97695,0.207804,0.520124,0.052363,-0.019045,
78.5,44.28554,39.07341,0.235931,0.212944,15.80249,0.205127,0.500603,0.001867,0.009043,
