Distance (µm),Mg Ox%,Si Ox%,Ca Ox%,Mn Ox%,Fe Ox%,Ni Ox%,
0,41.04582,37.9652,0.358974,0.322536,17.91944,0.252323,
1.99999999999997,41.25321,38.208,0.264594,0.220843,17.56975,0.242303,
4,42.06958,38.11305,0.296213,0.237938,17.24729,0.186136,
5.99999999999997,42.44918,38.27755,0.305646,0.253962,16.48851,0.145863,
7.99999999999999,42.68991,38.46999,0.295922,0.232853,16.17053,0.252043,
9.99999999999996,43.55402,38.75921,0.239768,0.229575,15.86466,0.250575,
12,43.68615,38.67479,0.243189,0.209116,15.44048,0.306177,
14,44.30069,38.82765,0.203633,0.326863,14.91736,0.274017,
16,44.37657,38.91307,0.265252,0.193114,14.34015,0.354726,
18,44.84138,38.9155,0.210251,0.222414,14.22403,0.304483,
20,45.06738,39.11666,0.243982,0.228446,13.86302,0.383596,
22,45.25824,39.10593,0.261141,0.215196,13.87537,0.242883,
24,45.53415,39.34533,0.226562,0.222233,13.52098,0.326582,
26,45.42524,39.39171,0.221367,0.178312,13.36232,0.352265,
28,45.63865,39.52434,0.190411,0.202142,13.18754,0.332368,
30,45.88727,39.43611,0.220655,0.212708,13.13269,0.322942,
32,45.72683,39.31247,0.220252,0.233658,13.16793,0.315786,
34,45.94559,39.25664,0.20912,0.145409,13.35382,0.289682,
36,45.70918,39.28474,0.240675,0.211368,13.08463,0.274224,
38,45.97057,39.36509,0.275261,0.211274,13.26197,0.376341,
40,45.86664,39.64621,0.199073,0.200053,13.01165,0.378197,
42,46.13897,39.49017,0.178624,0.237912,13.0889,0.300488,
44,45.94805,39.51381,0.198633,0.16727,12.98913,0.384078,
46,46.04302,39.43614,0.189013,0.18973,13.04345,0.406247,
48,45.95217,39.52456,0.192179,0.200979,13.12018,0.34221,
50,46.25636,39.4659,0.244325,0.275371,13.1784,0.36865,
52,46.27508,39.53315,0.256475,0.138532,12.91585,0.361746,
54,45.96332,39.52217,0.193604,0.154521,12.78919,0.352843,
56,46.07543,39.40649,0.216534,0.138908,13.01752,0.355771,
58,46.11929,39.36354,0.217025,0.215096,13.12574,0.415547,
60,46.02047,39.65066,0.212569,0.204909,13.08265,0.370626,
62,46.16056,39.52824,0.17895,0.181708,13.15907,0.285033,
64,46.30148,39.56574,0.201664,0.172298,12.94675,0.388052,
66,46.16004,39.39133,0.211927,0.159995,13.20351,0.344518,
68,46.25967,39.47134,0.229512,0.191288,13.18748,0.239193,
70,46.14148,39.63905,0.215528,0.291261,12.98218,0.335895,
72,46.36812,39.65722,0.225539,0.187741,13.05039,0.464083,
74,46.3076,39.68594,0.247448,0.202177,13.10724,0.395861,
76,46.1307,39.3073,0.189088,0.194079,13.09149,0.315029,
78,46.21738,39.54718,0.255762,0.166603,12.9644,0.308035,
80,46.45119,39.69136,0.191553,0.189607,13.15183,0.435148,
82,45.91306,39.68195,0.185655,0.226545,13.03355,0.288974,
84,46.18834,39.46917,0.159085,0.227816,13.22249,0.257823,
86,46.28416,39.82467,0.217905,0.281373,13.11803,0.348503,
88,46.28256,39.87936,0.227358,0.178515,13.20492,0.379767,
90,46.27308,39.63823,0.221522,0.114438,13.10629,0.274098,
92,46.47227,39.82466,0.251598,0.188403,13.21318,0.442126,
94,46.3332,39.5887,0.201768,0.21139,12.96058,0.344668,
96,46.35674,39.86677,0.235851,0.196148,13.07097,0.317214,
98,46.52316,39.84971,0.234209,0.161994,13.15118,0.346191,
100,46.32994,39.91082,0.241729,0.202949,13.15258,0.344656,
102,46.43295,39.8425,0.249893,0.120589,13.19647,0.317376,
104,46.51307,39.80764,0.19976,0.174074,13.24303,0.302886,
106,46.47181,39.80599,0.165994,0.210717,12.89286,0.362088,
108,46.61329,39.69392,0.24872,0.123203,13.09492,0.424008,
110,46.2705,40.0523,0.18303,0.084883,13.00343,0.413714,
112,46.23928,39.84572,0.19437,0.17897,13.27773,0.262811,
114,46.37717,39.92763,0.211075,0.162467,13.12997,0.487102,
116,46.66745,39.7321,0.171808,0.198231,13.10077,0.382062,
118,46.78701,40.05446,0.232147,0.222245,13.28281,0.427828,
