Distance (µm),Mg Ox%,Si Ox%,Ca Ox%,Mn Ox%,Fe Ox%,Ni Ox%,
188,45.68308,39.91648,0.25593,0.27944,15.041,0.310773,
190,45.47063,40.17663,0.236309,0.181431,14.78952,0.30582,
192,45.45209,40.24561,0.253637,0.246173,14.88765,0.269155,
194,45.55587,39.49323,0.256132,0.220679,14.91932,0.330965,
196,45.34148,39.85468,0.229888,0.217819,14.6739,0.275705,
198,45.64727,40.1547,0.246968,0.258185,14.82712,0.262615,
200,45.40574,40.11673,0.22294,0.179077,14.69976,0.394813,
202,45.64993,39.74774,0.254434,0.184747,14.81528,0.354759,
204,45.57727,39.57804,0.238125,0.241707,14.58834,0.338007,
206,45.54351,39.86776,0.275565,0.21476,14.93102,0.343698,
208,45.24915,39.8961,0.283522,0.185213,14.63149,0.389395,
210,45.54937,40.28574,0.290548,0.201099,14.8604,0.299942,
212,45.05136,39.69259,0.261632,0.240725,14.82651,0.345892,
214,44.9343,39.54091,0.242951,0.213948,14.90877,0.194598,
216,45.60068,39.57784,0.255333,0.315141,14.80616,0.280391,
218,45.32435,40.07318,0.221697,0.195885,14.87926,0.241563,
220,45.27665,39.4273,0.288818,0.174057,14.90092,0.310406,
222,45.61607,39.71893,0.261722,0.190239,15.06582,0.332277,
224,45.44025,39.86175,0.249361,0.265209,14.84416,0.257286,
226,45.36308,39.84734,0.237612,0.18786,14.59324,0.238588,
228,45.25829,39.77495,0.255875,0.190334,14.72964,0.281478,
230,45.27865,40.12754,0.238734,0.248038,14.60104,0.385748,
232,45.5014,39.84439,0.216887,0.182592,14.90008,0.297581,
234,45.24166,39.80899,0.219009,0.223396,14.80567,0.31177,
236,45.67624,40.00466,0.244835,0.221553,14.85028,0.384036,
238,45.41345,39.91638,0.254774,0.212947,14.95323,0.358346,
240,44.88285,39.67938,0.239571,0.245908,14.65008,0.217663,
242,45.18317,39.77515,0.2356,0.176618,14.77226,0.27861,
244,45.29274,39.35482,0.207202,0.156612,14.8238,0.244947,
246,45.2803,39.68497,0.249765,0.155956,14.7183,0.363052,
248,45.37177,39.8264,0.241312,0.207779,14.82456,0.285713,
