Distance (µm),Mg Ox%,Al Ox%,Si Ox%,Ca Ox%,Ti Ox%,Cr Ox%,Mn Ox%,Fe Ox%,
0,30.05717,1.982136,56.67221,2.308433,0.348005,0.426899,0.180212,11.67665,
2.99999999999998,30.02357,1.882674,56.50032,2.33659,0.342139,0.346171,0.283751,12.03196,
6.00000000000001,30.12833,1.967531,56.69437,2.348465,0.291788,0.474783,0.296421,11.79187,
8.99999999999999,29.88893,1.871686,56.62755,2.434298,0.30495,0.354711,0.223415,11.89242,
12,29.98391,1.837496,56.78829,2.369881,0.323408,0.382458,0.280423,11.78661,
15,30.06164,1.645268,56.98459,2.360667,0.278741,0.338584,0.312207,11.94351,
18,29.69951,1.82902,56.16269,2.372238,0.31173,0.438232,0.211141,12.09375,
21,29.77325,1.780948,56.50002,2.349127,0.31293,0.303397,0.321931,12.28841,
24,29.703,1.806491,56.38754,2.392975,0.334693,0.346791,0.224935,12.28838,
27,29.78987,1.779964,56.38557,2.351353,0.371851,0.337617,0.376456,12.23344,
30,29.65102,1.66953,56.35166,2.297354,0.339553,0.366836,0.289437,12.12017,
33,29.46305,1.79349,56.54023,2.296051,0.288765,0.316259,0.260056,12.22637,
36,29.42637,1.916208,56.20167,2.31668,0.354042,0.440957,0.270155,12.33274,
39,29.55647,1.985862,56.34212,2.32848,0.342675,0.407952,0.259412,12.20654,
42,29.97233,1.513863,56.92434,2.317802,0.228325,0.256755,0.261351,11.98879,
45,29.56919,1.635634,56.50953,2.323049,0.269397,0.327261,0.282528,12.17624,
48,29.78434,1.728758,56.55054,2.267127,0.28398,0.344982,0.188766,12.14433,
51,30.01876,1.612031,56.48467,2.339465,0.238319,0.327642,0.27771,11.90016,
54,29.87526,1.610906,56.46375,2.201894,0.229394,0.445029,0.280595,11.66364,
57,30.03792,1.598594,56.76682,2.28821,0.245308,0.330744,0.307978,12.1106,
60,30.15483,1.502577,56.57429,2.305705,0.249396,0.362948,0.176399,11.93205,
63,30.04159,1.513443,56.4715,2.205418,0.288207,0.326385,0.293693,11.83786,
66,30.23688,1.576256,56.66799,2.178963,0.280323,0.355086,0.267775,11.86691,
69,30.27279,1.486395,56.74185,2.245388,0.217036,0.371606,0.236955,11.88898,
72,30.10293,1.478173,56.7308,2.287944,0.217622,0.283819,0.219626,11.70239,
75,30.17102,1.492528,56.68281,2.260903,0.301452,0.340647,0.27472,11.81043,
78,30.26842,1.483009,56.66945,2.2631,0.21112,0.352444,0.255805,11.7232,
81,30.116,1.496869,56.45936,2.256498,0.266839,0.380528,0.245351,11.51175,
84,30.22231,1.545494,56.40758,2.241826,0.314007,0.309751,0.294893,11.6422,
87,30.19476,1.381318,56.80534,2.250047,0.225518,0.406657,0.23046,11.6991,
90,30.4607,1.528827,56.79548,2.258384,0.290695,0.302523,0.270659,11.3814,
93,30.33665,1.65756,56.73627,2.245738,0.263647,0.31111,0.321501,11.62416,
96,29.96368,1.633978,56.39627,2.243429,0.2197,0.375606,0.196616,11.44945,
99,30.32995,1.389731,56.93061,2.239934,0.177993,0.381917,0.206842,11.34323,
102,30.15369,1.485591,56.74899,2.205573,0.216106,0.367437,0.30101,11.45722,
105,30.15616,1.673519,56.40825,2.257285,0.246873,0.398001,0.208328,11.54567,
108,30.1796,1.565075,56.68766,2.233112,0.244296,0.323135,0.252605,11.34721,
111,29.98901,1.587399,56.70749,2.270505,0.308952,0.358133,0.186124,11.22833,
114,29.82118,1.785054,56.23314,2.304954,0.274503,0.377971,0.279531,11.26051,
117,29.94241,1.656897,56.72528,2.309702,0.303077,0.375057,0.238777,11.32543,
120,29.75193,1.918224,56.02724,2.26804,0.234151,0.408377,0.290059,11.3421,
123,29.92071,1.668011,56.46175,2.255312,0.238354,0.329325,0.240007,11.21348,
126,29.74603,1.705558,56.39479,2.327683,0.308224,0.319174,0.201904,11.14694,
129,30.04613,1.653733,56.21061,2.274019,0.212801,0.329377,0.282638,11.38167,
132,24.37549,5.361234,55.61629,4.053532,0.659642,0.337017,0.244723,11.65573,
