Distance (µm),Mg Ox%,Si Ox%,Ca Ox%,Ti Ox%,Cr Ox%,Mn Ox%,Fe Ox%,
0,7.292141,48.05598,10.37514,2.150594,-0.005614,0.228675,10.72171,
2,7.228241,47.81698,10.47733,2.088334,0.025011,0.194964,10.53646,
4.00000000000001,7.037995,47.8378,10.43144,2.219163,-0.057241,0.138756,10.84573,
5.99999999999999,6.758311,47.88803,10.47539,2.248027,0.067407,0.178135,10.77878,
8,6.502403,47.70882,10.3569,2.288033,0.060456,0.061574,10.29002,
10,10.91009,47.0781,7.363357,1.782221,0.181497,0.188067,9.905037,
12,29.45397,54.00033,2.374607,0.362555,0.486216,0.16831,10.56856,
14,29.7766,54.40344,2.295788,0.278327,0.521141,0.262436,10.77252,
16,29.67973,54.30545,2.224928,0.223534,0.431029,0.24726,10.54684,
18,29.63522,54.45722,2.278259,0.305456,0.373479,0.293002,10.73368,
20,29.69633,54.42598,2.222938,0.367401,0.373942,0.236346,11.01136,
22,29.54032,54.3701,2.255354,0.302643,0.398997,0.233982,10.72018,
24,29.79888,54.51336,2.117817,0.321738,0.466722,0.249283,10.70104,
26,29.70777,54.36322,2.135286,0.436793,0.411174,0.24409,11.07671,
28,29.96375,54.51414,2.072325,0.409045,0.40927,0.213259,10.97805,
30,29.63277,54.09746,2.079674,0.449365,0.392815,0.213439,10.79703,
32,29.8714,54.38628,2.131712,0.528173,0.375922,0.170926,10.88374,
34,29.77794,54.49484,2.022753,0.469723,0.318724,0.23434,11.06881,
36,29.89897,54.44287,2.079653,0.543877,0.34828,0.232588,10.95826,
38,29.72893,54.69789,2.006188,0.53265,0.357526,0.164455,10.9879,
40,30.07465,54.42882,1.981881,0.45223,0.310888,0.19249,10.96092,
42,29.87096,54.52288,2.036206,0.474417,0.352099,0.223029,10.9721,
44,29.79209,54.80654,1.887951,0.497401,0.39158,0.238352,10.95186,
46,29.81601,54.62785,1.89083,0.507203,0.25546,0.229147,11.10177,
48,29.93101,54.61041,1.988838,0.521391,0.320185,0.209383,11.15147,
50,30.06807,54.35299,1.971302,0.462088,0.320469,0.244979,11.10337,
52,30.16778,54.51765,1.899509,0.536289,0.373587,0.289405,11.28765,
54,29.95046,54.56379,1.965407,0.478559,0.395722,0.193674,11.19722,
56,30.0077,54.5614,1.975435,0.465224,0.319272,0.226622,11.14422,
58,29.79467,54.65695,1.976079,0.511655,0.314229,0.212451,11.26433,
60,29.93643,54.79451,1.887002,0.451672,0.264173,0.248005,11.42799,
62,29.97704,54.60009,1.940936,0.518365,0.283932,0.22803,11.27776,
64,29.88576,54.80074,1.923508,0.504778,0.278986,0.296291,11.05925,
66,29.82741,54.57877,1.878619,0.522937,0.296865,0.291844,11.31784,
68,29.84332,54.84489,1.934792,0.461366,0.327703,0.245916,11.26415,
70,29.79294,54.85515,1.944097,0.52732,0.385566,0.251564,11.23745,
72,30.00534,54.82848,1.892146,0.522615,0.355576,0.236701,11.21301,
74,29.8877,54.7355,1.982252,0.483471,0.277776,0.265849,11.30212,
76,29.87724,54.77627,1.95772,0.504934,0.272964,0.298922,11.41348,
78,29.85544,54.7961,1.963115,0.499306,0.338007,0.216649,11.24579,
80,29.6495,54.79131,1.909311,0.447644,0.352488,0.198927,11.34871,
82,29.9819,54.76643,1.939417,0.507462,0.309627,0.228102,11.52059,
84,29.77156,54.74263,1.975062,0.436836,0.387916,0.202771,11.22929,
86,29.81581,54.63568,1.940765,0.38985,0.369341,0.180967,11.47428,
88,29.83116,54.7448,1.911818,0.434506,0.342006,0.25239,11.29232,
90,29.75427,54.50986,1.972044,0.460872,0.341519,0.249849,11.28682,
92,29.6068,54.599,1.882352,0.440569,0.28093,0.265058,11.34884,
94,29.7301,54.53159,1.996323,0.403045,0.26834,0.23459,11.36524,
96,29.73882,54.70656,1.930023,0.466604,0.278535,0.23884,11.58646,
98,29.78579,54.74051,1.886764,0.515666,0.315421,0.205601,11.36306,
100,29.83901,54.76406,1.899922,0.490768,0.323048,0.23382,11.4482,
102,29.74825,54.82652,1.961602,0.488827,0.334032,0.237906,11.59023,
104,29.77013,54.75877,1.891296,0.438119,0.341173,0.262657,11.46207,
106,29.81464,54.67335,1.951976,0.453111,0.346785,0.231836,11.39527,
108,29.93984,54.90388,1.838399,0.383663,0.335929,0.277145,11.38855,
110,29.902,54.92722,1.912423,0.47651,0.352938,0.156453,11.47739,
112,29.7311,54.5982,1.958978,0.450835,0.355103,0.196513,11.41268,
114,29.59412,54.88087,1.917591,0.4429,0.41192,0.239479,11.42839,
116,29.58527,55.00501,1.936376,0.389356,0.2772,0.230833,11.56876,
118,29.83782,54.82262,1.985732,0.458241,0.369953,0.190083,11.58463,
120,29.48947,54.8008,1.943291,0.473062,0.402112,0.2813,11.56822,
122,29.87025,54.95874,1.953673,0.360636,0.375643,0.24745,11.65596,
124,29.6645,54.72029,1.921087,0.363051,0.286397,0.279912,11.61372,
126,29.86373,54.72419,1.870864,0.409055,0.319318,0.161177,11.66519,
128,29.54985,54.6904,1.995669,0.383161,0.322658,0.20822,11.59895,
130,29.63733,55.0487,1.883239,0.400902,0.443694,0.1953,11.64311,
132,29.641,54.81126,1.911769,0.395919,0.374897,0.240915,11.57761,
134,29.79917,54.73321,1.955617,0.508044,0.386058,0.185323,11.63647,
136,29.77862,55.04136,1.883152,0.461139,0.374855,0.208056,11.58253,
138,29.70062,54.70614,1.936845,0.432977,0.462351,0.213886,11.76247,
140,29.53876,54.58391,1.87129,0.394477,0.343853,0.224134,11.52923,
142,29.69126,54.86883,1.888094,0.418611,0.418286,0.304275,11.62756,
144,29.78054,54.60754,1.905795,0.365072,0.43608,0.19416,11.8369,
146,29.77474,54.72001,1.892349,0.404294,0.362735,0.277718,11.8268,
148,29.74141,54.46364,1.808196,0.454126,0.488975,0.269508,11.58635,
150,29.69675,54.63999,1.889958,0.439397,0.458011,0.27001,11.64968,
152,29.75908,54.72235,1.828242,0.423169,0.404208,0.289533,11.62209,
154,29.75395,54.60234,1.840253,0.418477,0.384037,0.268145,11.77957,
156,29.72436,55.06731,1.735165,0.412512,0.420493,0.268584,11.60409,
158,29.77973,54.9971,1.736444,0.404241,0.438745,0.265058,11.8,
160,30.00784,55.04204,1.746657,0.502201,0.392193,0.283072,11.88676,
162,29.90517,54.93002,1.7869,0.487241,0.381048,0.182348,11.8031,
164,29.88718,54.97986,1.689135,0.611601,0.437897,0.12991,11.57602,
166,29.74912,54.58156,1.678682,0.452125,0.392411,0.237014,11.62065,
168,29.99524,55.01491,1.640071,0.494354,0.383162,0.225858,11.72072,
170,30.04934,55.00125,1.68973,0.551796,0.437193,0.220473,11.67761,
172,29.82985,54.98266,1.621629,0.537064,0.379572,0.269791,11.62843,
174,30.0872,54.87392,1.62902,0.531914,0.340295,0.328038,11.77165,
176,30.01537,54.83621,1.634407,0.466705,0.373339,0.285288,11.79423,
178,30.04579,55.03875,1.629699,0.569174,0.393103,0.274692,11.7415,
180,30.03738,54.76563,1.618504,0.522612,0.321986,0.32512,11.74944,
182,29.95521,54.99275,1.68875,0.475059,0.35408,0.222589,11.67173,
184,30.17386,55.16319,1.700691,0.554214,0.439164,0.275845,11.7828,
186,29.995,54.82159,1.647996,0.594177,0.326532,0.267629,11.84231,
188,30.14278,55.04478,1.720922,0.484723,0.389664,0.216887,11.64316,
190,30.07916,55.11066,1.742216,0.492336,0.447776,0.26238,11.97182,
192,29.83191,54.97847,1.776741,0.439267,0.394858,0.280491,11.58185,
194,29.91891,55.08061,1.795185,0.482365,0.367359,0.305841,11.75641,
196,29.96472,54.9718,1.831429,0.430275,0.437159,0.303064,11.65649,
198,29.59961,54.8714,1.891992,0.435559,0.462738,0.27586,11.57077,
200,29.82575,54.94742,1.906397,0.325946,0.456047,0.264366,11.74282,
202,29.55959,54.86684,1.910567,0.400561,0.467203,0.235046,11.79313,
204,29.7213,55.2963,1.972001,0.318351,0.361344,0.27383,11.70616,
206,29.84492,55.0046,2.001138,0.347689,0.368357,0.253995,11.47681,
208,29.6544,54.71807,2.018044,0.417996,0.480026,0.180744,11.58445,
210,29.6866,54.61698,1.972699,0.431767,0.460347,0.16775,11.67329,
212,29.52613,55.02049,2.036204,0.326459,0.48307,0.235391,11.45598,
214,29.52353,54.969,2.076239,0.376871,0.395215,0.316652,11.71405,
216,29.53922,54.74778,2.016614,0.409112,0.420422,0.275478,11.58937,
218,29.79334,55.23895,2.092908,0.388271,0.435419,0.21946,11.6756,
220,29.66791,55.05507,2.044327,0.32764,0.415066,0.206012,11.67511,
