Distance (µm),Mg Ox%,Si Ox%,Ca Ox%,Mn Ox%,Fe Ox%,Ni Ox%,Ti Ox%,Cr Ox%,
71,29.23557,53.60641,2.142824,0.32031,10.93509,0.147924,0.269317,0.524974,
72,29.29372,53.95255,2.235351,0.27015,11.22122,0.03563,0.367219,0.514899,
73,29.31959,53.96564,2.26706,0.364101,11.02261,0.10291,0.365973,0.523856,
74,29.28253,53.74469,2.205219,0.21953,11.11787,0.037054,0.315255,0.581453,
75,29.25162,54.10397,2.283004,0.222526,11.10173,0.109031,0.343038,0.536618,
76,29.12475,53.86536,2.22744,0.263815,11.19739,0.025663,0.353434,0.564412,
77,29.15171,54.00507,2.283317,0.236838,11.11544,0.196547,0.347982,0.515168,
78,29.15385,53.65294,2.223028,0.218537,11.03583,0.147051,0.288503,0.564664,
79,29.16423,53.77294,2.240985,0.238174,10.99727,0.077375,0.293662,0.584187,
80,29.45588,53.79016,2.228621,0.223059,11.04771,0.067621,0.328758,0.491849,
81,29.16013,53.83305,2.199256,0.238077,10.95914,0.085754,0.352045,0.551509,
82,29.51522,54.06091,2.251449,0.230783,11.08367,0.133809,0.338935,0.574941,
82.9999999999999,29.33631,53.96733,2.170672,0.248185,11.14357,0.082051,0.299205,0.528977,
84,29.29812,54.12965,2.261664,0.319281,11.10564,0.031798,0.24978,0.608506,
85,29.33229,54.08038,2.156422,0.283819,11.07227,0.029789,0.338763,0.625633,
86,29.26374,53.93512,2.331671,0.246487,11.08852,0.076851,0.266481,0.511413,
87,29.35312,54.01347,2.196495,0.233366,10.96929,0.103224,0.270098,0.502415,
88,29.14885,53.86787,2.1924,0.20784,11.16196,-0.041753,0.341687,0.496872,
89,29.40837,54.12938,2.294025,0.207378,11.07707,0.082592,0.266656,0.556944,
90,29.22385,54.88154,2.251249,0.266808,10.82897,0.043269,0.380724,0.521004,
91,29.45249,53.86474,2.229882,0.281867,11.09992,0.087992,0.364258,0.549912,
92,29.28761,54.11975,2.23779,0.1952,10.91509,0.061276,0.305783,0.524377,
93,29.27106,54.02818,2.245327,0.247318,11.06218,-0.042411,0.400404,0.474825,
94,29.28098,54.07153,2.248313,0.256431,11.0358,0.124778,0.374016,0.488678,
95,29.31408,54.33222,2.176982,0.235757,11.3148,0.074769,0.34969,0.475826,
96,29.3445,54.1817,2.258093,0.317583,11.19193,0.073723,0.381855,0.472376,
97,29.22476,53.85115,2.238884,0.285353,11.04222,-0.017596,0.387692,0.467326,
98,29.41574,54.22927,2.237275,0.31029,11.11311,0.063949,0.358773,0.548041,
99,29.34635,54.12603,2.221567,0.182216,11.01124,0.00581,0.259581,0.561205,
100,29.23248,54.22884,2.213485,0.251168,11.08749,0.080337,0.262089,0.536313,
101,29.38501,54.13646,2.283266,0.194716,11.23619,0.032667,0.316351,0.561555,
102,29.56929,54.02118,2.248086,0.243082,11.0923,0.090883,0.341064,0.459216,
103,29.35417,54.12918,2.270639,0.200189,11.28918,0.032432,0.316079,0.488382,
104,29.15202,53.99553,2.299744,0.199053,11.24712,0.048498,0.221474,0.551041,
105,29.29094,54.07685,2.182924,0.176293,11.07937,-0.002382,0.347128,0.559368,
106,29.3732,54.3492,2.227357,0.219601,11.14482,0.004867,0.346006,0.597944,
107,29.33002,54.04606,2.285939,0.285212,11.15996,0.166099,0.31611,0.545329,
108,29.48797,53.97236,2.241418,0.25751,11.16234,0.063699,0.338371,0.418516,
109,29.41346,54.01917,2.227812,0.263347,11.13853,0.129753,0.421936,0.451011,
110,29.31716,54.24367,2.209627,0.27649,11.22148,0.090785,0.299285,0.513414,
111,29.39344,54.40842,2.242557,0.241831,11.23317,0.064078,0.312124,0.486161,
112,29.3807,54.29025,2.272741,0.191381,11.11856,0.105335,0.307597,0.605726,
113,29.49242,53.99581,2.271675,0.235432,11.05283,0.203241,0.214077,0.46138,
