Distance (µm),Mg Ox%,Si Ox%,Ca Ox%,Ti Ox%,Cr Ox%,Mn Ox%,Fe Ox%,
162,45.63004,39.36928,0.232816,-0.038841,0.060541,0.207952,12.35233,
164,46.14748,39.47316,0.217907,0.018473,0.120374,0.201642,12.3298,
166,46.12965,39.06533,0.211835,0.025004,0.12708,0.192004,12.3012,
168,45.98407,39.19444,0.211662,-0.037387,0.008375,0.186691,12.40946,
170,45.947,39.29595,0.199448,-0.032865,0.049029,0.158852,12.37663,
172,46.37223,39.15248,0.197933,0.013628,0.076693,0.19156,12.5157,
174,46.03237,39.5234,0.19064,0.040156,0.116367,0.134627,12.27498,
176,46.31546,39.46866,0.258684,0.011223,0.071155,0.191738,12.45559,
178,45.88919,39.37626,0.249462,0.038899,0.089962,0.138278,12.29154,
180,45.8071,39.34782,0.259523,-0.005092,0.041517,0.181079,12.31939,
182,46.10466,39.32962,0.21404,-0.011364,0.123697,0.193219,12.26807,
184,46.15978,39.43486,0.246082,0.036779,0.059573,0.188643,12.19116,
186,45.82696,39.30772,0.224812,-0.063429,0.086226,0.164453,12.3262,
188,46.30839,39.40112,0.145384,0.038342,0.083897,0.142015,12.38488,
190,46.47735,39.77084,0.224709,0.006877,0.100352,0.107392,12.34831,
192,45.98304,39.58358,0.219073,0.028013,0.108676,0.204855,12.38519,
194,46.16925,39.35114,0.21568,0.036093,0.126669,0.131862,12.46475,
196,46.28596,39.27238,0.194442,0.084234,0.078158,0.183209,12.43656,
198,46.30054,39.46203,0.212972,0.019286,0.071204,0.158781,12.45759,
200,46.27359,39.57804,0.191759,-0.033626,0.038798,0.23536,12.4023,
202,46.39786,39.44023,0.232875,0.033364,0.08314,0.176158,12.50872,
204,46.13313,39.60583,0.252485,0.070767,0.144201,0.152083,12.37555,
206,46.04472,39.25504,0.236399,0.022271,0.058067,0.203838,12.3125,
208,46.49161,39.481,0.199534,0.038501,0.125023,0.113453,12.40502,
210,46.41006,39.35926,0.189866,0.026021,0.037552,0.17588,12.44717,
212,46.21634,39.58174,0.204987,0.103152,0.033411,0.251593,12.34575,
214,46.47987,39.85892,0.228629,0.020827,0.039039,0.077328,12.39011,
216,46.16875,39.61372,0.211101,0.053931,0.104261,0.271481,12.36199,
218,46.31861,39.58352,0.212196,-0.047628,0.051112,0.232811,12.4388,
220,46.14312,39.38242,0.249726,-0.016778,0.055229,0.173299,12.33796,
222,46.23144,39.56295,0.156242,-0.008779,0.082822,0.284143,12.4075,
224,46.28414,39.6475,0.209089,0.059248,0.11587,0.141783,12.41598,
226,46.15804,39.43291,0.201802,0.03214,0.038261,0.199731,12.34284,
228,46.49532,39.5097,0.187467,-0.024489,0.111512,0.129704,12.49265,
230,46.60893,39.50079,0.204541,0.020126,0.098527,0.172134,12.58325,
232,46.50961,39.30786,0.256871,0.004508,0.117308,0.141853,12.44188,
234,46.35749,39.75616,0.221519,0.005006,0.050796,0.192248,12.56792,
236,46.44761,39.71989,0.222674,-0.042882,0.102247,0.199252,12.50418,
238,46.12823,39.40461,0.191815,-0.032993,0.138275,0.13731,12.35601,
240,46.64271,39.55699,0.210125,0.073134,0.085474,0.159618,12.22847,
242,46.53294,39.32626,0.183608,0.014627,0.119218,0.235484,12.35028,
244,46.65599,39.64546,0.228087,0.020984,0.11638,0.175935,12.56108,
246,46.589,39.44106,0.220597,0.000639,0.081537,0.197467,12.65451,
248,46.34782,39.59747,0.211966,0.014143,0.061472,0.153628,12.22507,
250,46.58987,39.89208,0.269769,-0.029819,0.145942,0.199273,12.4888,
252,46.4593,39.44111,0.236957,0.021206,0.100262,0.162708,12.49976,
254,46.35124,39.78485,0.226734,0.008943,0.0524,0.12705,12.5579,
256,46.5932,39.71722,0.205551,0.032258,0.065426,0.224529,12.23394,
258,46.45391,39.52847,0.188397,0.031628,0.100983,0.167108,12.51431,
260,46.48407,39.70382,0.191054,-0.050885,0.048499,0.091267,12.4743,
262,46.53058,39.92344,0.211828,-0.022347,0.054183,0.0426,12.3942,
264,46.55962,39.7565,0.220703,0.03383,0.134615,0.174378,12.51053,
266,46.68344,39.78071,0.262181,0.02344,0.106983,0.195677,12.42734,
268,46.67437,39.73688,0.256964,-0.062168,0.092774,0.107633,12.59162,
270,46.55334,39.72478,0.236234,0.014309,0.161542,0.212488,12.62986,
272,46.25056,39.64928,0.222322,0.010379,0.068796,0.188849,12.30394,
274,46.66982,39.76768,0.171481,0.012879,0.023728,0.185425,12.56671,
276,46.48616,39.88876,0.217035,0.060944,0.047569,0.203883,12.41624,
278,46.64521,39.79567,0.211108,-0.052674,0.125755,0.210444,12.55466,
280,46.42455,40.01479,0.184836,0.087355,0.089648,0.207199,12.6603,
282,46.65966,39.49652,0.231835,0.01581,0.050752,0.186224,12.38052,
284,46.52783,39.75808,0.22867,0.029575,0.147993,0.131834,12.59263,
286,46.72093,39.87153,0.241946,-0.019989,0.113009,0.11382,12.44083,
288,46.86808,39.82942,0.169531,-0.002241,0.086004,0.210874,12.45479,
290,46.69029,39.83369,0.164753,0.092363,0.060678,0.154675,12.65294,
292,46.79991,40.05685,0.165863,-0.025206,0.155879,0.193649,12.46556,
294,46.66557,39.72306,0.213719,0.009303,0.087916,0.216766,12.46728,
296,46.89288,40.20967,0.175726,0.015894,0.141858,0.196517,12.34702,
298,46.83877,39.80442,0.218849,-0.008259,0.105315,0.190771,12.54225,
300,46.69286,39.93134,0.225371,-0.065365,0.050095,0.148863,12.51492,
302,46.80428,39.86037,0.182273,0.033536,0.09896,0.147296,12.53997,
304,46.51332,40.17715,0.216597,0.081762,0.038421,0.096057,12.58806,
306,46.45959,39.67527,0.195147,0.059504,0.12834,0.198836,12.59435,
308,46.48305,39.97858,0.212362,-0.042913,0.102402,0.164624,12.91962,
310,46.43985,40.18958,0.182468,0.015468,0.105596,0.227471,12.8341,
312,46.47243,39.92038,0.239329,-0.000384,0.030037,0.182999,12.83869,
314,46.48138,39.99985,0.207085,0.029107,0.04939,0.218141,13.17817,
316,46.05682,39.8972,0.199915,0.010921,0.039708,0.163749,13.32987,
318,46.12374,39.79376,0.233956,0.053119,0.057687,0.218804,13.3525,
320,46.24193,40.07748,0.204036,0.045469,0.033196,0.13871,13.8304,
322,45.62661,39.67003,0.22221,-0.01941,0.127278,0.148011,13.91458,
324,45.71474,39.61312,0.195536,0.03125,0.113008,0.232877,14.14195,
