Distance (µm),Mg Ox%,Al Ox%,Si Ox%,Ca Ox%,Ti Ox%,Cr Ox%,Mn Ox%,Fe Ox%,
0,18.4958,10.05969,50.0895,3.892774,0.960971,0,0.183132,16.31814,
1.99999999999997,14.57768,11.29415,49.88503,5.588166,1.488714,0.059507,0.327666,16.77909,
4,39.468,0.985887,38.95231,0.443611,0.062909,0.010244,0.287521,19.78952,
5.99999999999997,41.24377,0.557125,38.34149,0.284532,0,0.005004,0.288703,19.27937,
8.00000000000001,41.47784,0.475721,38.62051,0.286661,0.076866,0.026425,0.277847,18.75813,
9.99999999999997,41.77871,0.467537,38.7386,0.269372,0.052373,0.1227,0.204683,18.36603,
12,42.10903,0.339632,38.83421,0.281895,0,0.018379,0.190285,18.22657,
14,42.39377,0.379673,38.68655,0.251272,0.092737,0.043501,0.229311,17.92319,
16,42.80586,0.438726,38.79487,0.209176,0,0.038474,0.257197,17.45569,
18,42.79111,0.447478,39.17672,0.215756,0,0.090559,0.235226,17.04316,
20,43.23616,0.428649,38.90773,0.188097,0.038927,0.143051,0.256,16.80138,
22,43.27304,0.388167,39.21407,0.211054,0.001385,0.080984,0.244394,16.58691,
24,43.67377,0.384277,38.8451,0.215748,0.021772,0.096913,0.23556,16.52687,
26,43.62206,0.423545,39.03489,0.223747,0.087987,0.102461,0.1873,16.31802,
28,43.99272,0.403534,39.01083,0.169751,0.000981,0.110349,0.158771,16.15306,
30,44.11694,0.360481,39.26553,0.258258,0,0.046366,0.161136,15.79129,
32,44.17762,0.42269,38.855,0.244391,0.068905,0.096456,0.163596,15.97135,
34,44.15274,0.316505,39.23079,0.224033,0.011964,0.082816,0.208268,15.77288,
36,44.34716,0.337103,39.30862,0.220014,0,0.037959,0.225005,15.52414,
38,44.6151,0.290827,39.10989,0.218583,0.044183,0.073032,0.146532,15.50184,
40,44.51856,0.31962,39.22798,0.268463,0.081051,0.079563,0.250175,15.2546,
42,44.51062,0.387948,39.24036,0.198066,0.008499,0.074192,0.194272,15.38604,
44,44.69046,0.305403,39.12553,0.215301,0.127826,0.028444,0.206356,15.30068,
46,44.69606,0.376664,39.1931,0.192787,0.058399,0.02443,0.199243,15.2593,
48,44.71654,0.3848,39.20082,0.211554,0.016142,0.112948,0.186821,15.17038,
50,44.81308,0.397187,39.38873,0.238006,0.000365,0.084001,0.203516,14.87512,
52,44.9127,0.380277,39.14933,0.192546,0.043695,0.055661,0.198926,15.06687,
54,44.60173,0.349581,39.97687,0.208882,0.027911,0.021223,0.196254,14.61754,
56,44.95226,0.365792,39.27159,0.256619,0.030401,0.06768,0.200009,14.85564,
58,45.08436,0.384257,39.18565,0.236409,0.008562,0.035111,0.223803,14.84184,
60,45.05462,0.331147,39.41174,0.21185,0,0.07526,0.180954,14.73444,
62,45.16995,0.406402,39.35054,0.197636,0,0.095139,0.179679,14.60066,
