Distance (µm),Al Ox%,Mg Ox%,Si Ox%,Ca Ox%,Ti Ox%,Cr Ox%,Mn Ox%,Fe Ox%,
0,1.635612,29.31656,54.86996,2.258748,0.32452,0.334686,0.279854,10.98005,
2.00000000000003,1.668619,29.36327,54.99109,2.222965,0.240101,0.392485,0.195682,10.92579,
3.99999999999999,1.529661,29.56847,54.87474,2.233105,0.315679,0.425212,0.277123,10.77601,
6.00000000000003,1.497618,29.40432,54.94565,2.241191,0.276615,0.278778,0.250566,11.10526,
7.99999999999999,1.46545,29.56223,55.10131,2.196549,0.242956,0.364923,0.196309,10.87026,
10,1.556906,29.58597,54.87725,2.226456,0.200525,0.377302,0.252865,10.92273,
12,1.516445,29.41208,55.00901,2.278786,0.261373,0.402468,0.249455,10.87039,
14,1.610951,29.39962,55.00001,2.260694,0.291173,0.314313,0.201632,10.92161,
16,1.595192,29.54288,54.83441,2.223003,0.182242,0.319706,0.279455,11.02312,
18,1.520769,29.45306,54.92193,2.21159,0.288646,0.343145,0.241556,11.0193,
20,1.610047,29.53433,54.73293,2.275211,0.272307,0.351999,0.255841,10.96733,
22,1.585533,29.67713,54.78589,2.257283,0.234451,0.388557,0.240669,10.83048,
24,1.522711,29.4645,54.87621,2.2888,0.228501,0.376366,0.196188,11.04673,
26,1.620342,29.33222,54.98636,2.22401,0.252729,0.252588,0.251019,11.08073,
28,1.629471,29.46164,55.01292,2.232248,0.254822,0.396687,0.170306,10.8419,
30,1.540311,29.47918,54.92129,2.19262,0.256198,0.362677,0.253662,10.99407,
32,1.551989,29.45566,54.98577,2.262062,0.273336,0.322554,0.178602,10.97003,
34,1.534348,29.38677,54.93359,2.245115,0.223276,0.377559,0.252094,11.04725,
36,1.569418,29.46703,54.76618,2.203249,0.240012,0.33591,0.239033,11.17916,
38,1.495051,29.45998,55.13428,2.230141,0.27125,0.273904,0.25123,10.88415,
40,1.466134,29.55116,55.0648,2.235384,0.223398,0.292699,0.253591,10.91284,
42,1.464261,29.32395,55.30158,2.198917,0.178441,0.333193,0.200923,10.99874,
44,1.425529,29.58398,55.24249,2.196665,0.211951,0.327907,0.186134,10.82535,
46,1.526753,29.53563,55.00569,2.231581,0.243274,0.34701,0.246613,10.86344,
48,1.40654,29.63862,54.90068,2.21734,0.211698,0.390353,0.217983,11.01679,
50,1.481979,29.49614,55.25445,2.143548,0.223512,0.3327,0.308551,10.75911,
52,1.428759,29.51755,55.1309,2.260004,0.239955,0.356249,0.259846,10.80674,
54,1.48956,29.54814,55.11186,2.253678,0.295456,0.218075,0.19154,10.89169,
56,1.47899,29.64317,55.05143,2.233476,0.248929,0.382829,0.214714,10.74646,
58,1.460433,29.61941,55.05139,2.216278,0.191949,0.278615,0.264258,10.91765,
60,1.472182,29.65899,55.00782,2.221965,0.231856,0.305254,0.278518,10.82341,
62,1.430075,29.6159,55.14153,2.215639,0.221049,0.278778,0.257087,10.83994,
64,1.598119,29.42585,55.19691,2.188933,0.236321,0.292024,0.279535,10.78232,
66,1.491525,29.80084,54.93546,2.266142,0.271684,0.319092,0.182697,10.73257,
68,1.513867,29.75746,55.01686,2.155752,0.226693,0.278431,0.213337,10.8376,
70,1.505425,29.61472,55.09822,2.155831,0.205489,0.312993,0.154932,10.9524,
72,1.53467,29.71238,54.98255,2.212094,0.258923,0.327751,0.222802,10.74883,
74,1.6072,29.50897,54.86606,2.219449,0.226109,0.369894,0.310408,10.89192,
76,1.624698,29.51817,54.9047,2.234287,0.272484,0.338263,0.231244,10.87616,
78,1.706961,29.51429,54.92334,2.15338,0.310146,0.409148,0.283111,10.69962,
80,1.755763,29.51632,54.7358,2.187903,0.210603,0.447456,0.287072,10.85907,
82,1.700994,29.48927,54.83976,2.264549,0.289007,0.376573,0.179844,10.86001,
84,1.661664,29.58041,54.78299,2.194296,0.295906,0.369171,0.290452,10.82512,
86,1.586552,29.56716,54.95474,2.189687,0.233286,0.324468,0.274611,10.8695,
88,1.614875,29.4626,54.97512,2.218249,0.255927,0.350965,0.209908,10.91237,
90,1.619224,29.50457,54.82149,2.246991,0.208235,0.391649,0.274477,10.93336,
92,1.615914,29.49253,54.82289,2.207956,0.311585,0.334614,0.339686,10.87482,
94,1.581653,29.61754,54.854,2.235532,0.260656,0.350252,0.243206,10.85715,
96,1.686476,29.47699,55.11231,2.209801,0.261379,0.316923,0.211469,10.72466,
98,1.52454,29.66403,54.98891,2.219597,0.242883,0.3311,0.295587,10.73335,
100,1.530862,29.51963,54.99881,2.206141,0.233747,0.381708,0.252141,10.87696,
102,1.58064,29.4541,55.0088,2.233975,0.278266,0.299527,0.253664,10.89103,
104,1.592677,29.55833,54.88192,2.217959,0.272146,0.415498,0.156025,10.90545,
106,1.612133,29.57091,54.98355,2.327812,0.214945,0.329263,0.222616,10.73876,
108,1.616449,29.38951,55.00128,2.206185,0.27384,0.36406,0.255346,10.89332,
110,1.641574,29.41186,55.04266,2.219502,0.236689,0.342858,0.242187,10.86267,
112,1.756307,29.49935,54.75775,2.287403,0.243076,0.496262,0.22627,10.73358,
114,1.589426,29.60304,54.92912,2.24249,0.244915,0.35704,0.281514,10.75246,
116,1.673339,29.65383,54.67054,2.237077,0.197759,0.349571,0.242731,10.97515,
118,1.728296,29.52568,54.82232,2.179655,0.284751,0.41264,0.289204,10.75746,
120,1.674112,29.44176,55.0177,2.328129,0.237777,0.318077,0.234332,10.74811,
122,1.74806,29.4437,54.70965,2.278783,0.337353,0.41912,0.270288,10.79305,
124,1.587428,29.44632,54.82866,2.30375,0.313366,0.35388,0.304491,10.86211,
126,1.631027,29.43994,54.88388,2.256402,0.341024,0.407106,0.239465,10.80115,
128,1.633773,29.63276,54.72535,2.137588,0.213611,0.428906,0.244231,10.98378,
130,1.664246,29.55943,54.90872,2.288002,0.280764,0.3478,0.217444,10.73359,
