Distance (µm),Mg Ox%,Si Ox%,Ca Ox%,Mn Ox%,Fe Ox%,Ni Ox%,
0,9.075224,62.83743,13.44995,0.317072,14.24339,0.076939,
1.99999999999999,8.925853,63.16468,13.42374,0.265515,14.16509,0.055125,
3.99999999999999,8.945984,63.68906,13.34611,0.155898,13.83921,0.023736,
6.00000000000001,32.17831,48.30369,3.385725,0.166022,15.81038,0.155879,
8.00000000000001,42.30251,39.50128,0.328035,0.294279,17.32435,0.24954,
10,43.00818,39.31086,0.295261,0.259145,17.09429,0.032279,
12,43.08614,39.29485,0.283568,0.179843,16.98748,0.168117,
14,43.4907,39.24567,0.313225,0.240638,16.52829,0.181488,
16,43.61356,39.53459,0.224445,0.214422,16.25828,0.154688,
18,44.00671,39.48601,0.268732,0.295979,15.67876,0.263796,
20,44.34985,39.63221,0.305762,0.225108,15.14217,0.344905,
22,44.78878,39.61003,0.237887,0.178509,14.82303,0.361765,
24,45.10931,39.72691,0.244983,0.170035,14.37742,0.371347,
26,45.04202,39.70773,0.241477,0.278962,14.36091,0.368889,
28,45.24895,39.85397,0.256253,0.274436,13.98242,0.383975,
30,45.50244,39.67507,0.234691,0.138327,14.13022,0.319248,
32,45.46506,39.9236,0.250467,0.194305,13.81549,0.351075,
34,45.42126,39.73079,0.29624,0.243365,14.05933,0.249015,
36,45.38423,39.88281,0.224438,0.192924,13.95809,0.35752,
38,45.54197,39.60508,0.252681,0.225002,13.9839,0.39137,
40,45.40298,39.79293,0.2919,0.245666,14.0358,0.230729,
42,45.41573,39.78139,0.234611,0.200594,14.00772,0.359955,
44,45.47403,39.74811,0.261285,0.175115,14.003,0.338463,
46,45.43352,39.87144,0.308611,0.269346,13.83278,0.284302,
48,45.43142,39.57093,0.278361,0.28671,14.20155,0.231024,
50,45.30732,39.66949,0.280175,0.246441,14.15395,0.342623,
52,45.4864,39.65609,0.286476,0.210881,13.96153,0.398624,
54,45.40691,39.73679,0.255244,0.18417,14.12179,0.295095,
56,45.49891,39.57867,0.233275,0.226565,14.13412,0.328464,
58,45.27835,39.72312,0.285357,0.231251,14.11482,0.367099,
60,45.29698,39.84151,0.258282,0.145242,14.11556,0.342415,
62,45.34716,39.66011,0.200032,0.21575,14.15969,0.417268,
64,45.32467,39.6111,0.266839,0.248198,14.1575,0.391679,
66,45.49139,39.53493,0.254474,0.200581,14.26211,0.256509,
68,45.3013,39.82687,0.240685,0.239158,14.00055,0.39144,
70,45.52184,39.57307,0.252649,0.13895,14.18474,0.32874,
72,45.4048,39.62065,0.295171,0.149519,14.27545,0.254402,
74,45.50561,39.4979,0.230062,0.194698,14.21094,0.360789,
76.0000000000001,45.32901,39.80927,0.258715,0.194953,14.07894,0.329124,
78,45.29898,39.91618,0.242955,0.177736,14.04823,0.315923,
80,45.31194,39.62601,0.248334,0.283682,14.17264,0.357401,
82,45.15396,39.77672,0.229241,0.163812,14.24385,0.432417,
84,45.32355,39.45836,0.27902,0.193947,14.33549,0.409624,
86,45.29994,39.71666,0.260514,0.183363,14.20351,0.336019,
88,45.36886,39.62524,0.254517,0.240857,14.22928,0.281233,
90,45.23034,39.83474,0.267142,0.254916,14.11304,0.299817,
92,45.40205,39.75822,0.238929,0.146285,14.15153,0.302993,
94,45.35175,39.65355,0.276623,0.188621,14.19802,0.331437,
96,45.29261,39.60368,0.259126,0.229074,14.24755,0.367978,
98,45.20339,39.8943,0.26426,0.19549,14.20687,0.235682,
100,45.16954,39.74974,0.263526,0.173109,14.23413,0.409954,
102,45.38783,39.7832,0.239989,0.201994,13.99584,0.391144,
104,45.16381,39.82523,0.247151,0.224723,14.17938,0.359705,
106,45.29638,39.76342,0.265091,0.208061,14.15109,0.315956,
108,45.32493,39.75404,0.263066,0.156998,14.25147,0.249497,
110,45.15697,39.78362,0.241721,0.204878,14.27605,0.336755,
112,45.15588,39.94031,0.279942,0.191589,14.14258,0.289695,
114,45.19117,39.85031,0.238692,0.181676,14.1081,0.430054,
