Distance (µm),Mg Ox%,Si Ox%,Ca Ox%,Mn Ox%,Fe Ox%,Ni Ox%,
0,47.37882,39.85443,0.232883,0.261468,11.63852,0.311072,
1.99999999999999,47.38541,40.19106,0.22402,0.139504,11.73277,0.396482,
4,47.06952,39.73513,0.2141,0.163855,11.58827,0.444767,
6,47.12998,39.90902,0.160074,0.186236,11.49143,0.303174,
8,47.45256,40.11139,0.209328,0.232534,11.65882,0.364066,
9.99999999999999,47.32812,39.88724,0.206331,0.213039,11.57895,0.443484,
12,47.40492,40.23318,0.202259,0.186779,11.6402,0.356983,
14,47.18534,39.88305,0.218924,0.165619,11.30565,0.371566,
16,47.65656,40.0952,0.203941,0.152214,11.64076,0.416922,
18,47.33507,40.15264,0.194596,0.207596,11.53313,0.423222,
20,46.91004,39.85613,0.186898,0.219686,11.57088,0.361396,
22,47.27883,39.98422,0.230771,0.154012,11.45671,0.306558,
24,47.3149,40.16588,0.172816,0.15579,11.37116,0.482824,
26,47.2864,39.98224,0.210137,0.112119,11.60655,0.426028,
28,47.46432,39.98846,0.189544,0.197242,11.5791,0.397253,
30,47.26754,39.96806,0.187874,0.211088,11.5486,0.369397,
32,47.13504,39.98222,0.204575,0.133975,11.45486,0.422035,
34,47.5054,40.07708,0.19475,0.154054,11.43162,0.415282,
36,47.1564,39.85744,0.215986,0.148645,11.50704,0.386699,
38,47.12463,39.88535,0.167505,0.21121,11.66914,0.260188,
40,47.64444,39.91741,0.221753,0.160166,11.49884,0.449655,
42,47.32002,39.9479,0.199604,0.055883,11.61183,0.372612,
44,47.51787,39.90551,0.220171,0.107166,11.66938,0.370645,
46,47.14394,39.86117,0.207415,0.111415,11.56013,0.462531,
48,47.87645,40.15648,0.263465,0.143566,11.59296,0.412464,
50,47.44534,39.87562,0.179324,0.240488,11.40579,0.4097,
52,47.2254,39.76393,0.213481,0.13348,11.52218,0.393913,
54,47.22419,40.01847,0.192099,0.104762,11.60072,0.465388,
56,47.04966,39.70929,0.161271,0.125632,11.62861,0.375414,
58,47.20393,39.61715,0.174539,0.197681,11.35926,0.370777,
60,47.53435,39.9939,0.212199,0.186669,11.61452,0.457734,
62,47.21225,39.96767,0.20894,0.138206,11.48653,0.419386,
64,47.31433,39.92365,0.213869,0.155326,11.64172,0.408463,
66,47.06366,39.8707,0.167802,0.128032,11.48817,0.366652,
68,46.9656,39.82047,0.193958,0.165837,11.45219,0.397291,
70,47.02984,39.75119,0.208499,0.086808,11.37527,0.388835,
72,47.33704,39.87056,0.215648,0.177975,11.47006,0.430099,
74,46.97789,40.07905,0.200046,0.178973,11.55411,0.375273,
76,47.50086,39.95216,0.258746,0.182942,11.40742,0.457242,
78,47.52036,40.30803,0.210956,0.140041,11.47137,0.528599,
80,47.1563,39.7053,0.197751,0.11554,11.65525,0.378245,
82,47.41745,40.25021,0.204504,0.193417,11.37485,0.304973,
84,47.24028,39.73301,0.236284,0.196028,11.64123,0.302918,
86,47.03369,39.75967,0.260364,0.140605,11.40466,0.424936,
88,47.18496,39.93531,0.21505,0.139646,11.66229,0.406409,
90,47.4038,40.0812,0.202894,0.17984,11.40543,0.408084,
92,47.03897,39.58237,0.18123,0.187233,11.42543,0.485076,
94,47.20746,39.78751,0.23906,0.184954,11.63076,0.323338,
96,47.14254,39.6846,0.231778,0.151345,11.43637,0.383358,
98,46.84428,39.79994,0.193965,0.204705,11.57691,0.367368,
100,46.94756,39.92602,0.223238,0.127887,11.43609,0.455214,
102,47.0689,39.35293,0.169063,0.159361,11.42418,0.384741,
104,47.15841,39.73383,0.23345,0.157006,11.49374,0.429674,
106,47.23496,39.63233,0.224137,0.210797,11.60628,0.385838,
108,46.81945,39.86465,0.18805,0.14885,11.40216,0.380525,
110,47.36726,39.89298,0.234594,0.180029,11.57052,0.336905,
112,46.80583,39.4011,0.187151,0.095915,11.41739,0.44836,
114,47.28148,39.90069,0.174811,0.102067,11.65142,0.385278,
116,47.0533,39.86862,0.207842,0.251488,11.48031,0.336388,
118,46.8895,39.65957,0.200709,0.177171,11.4097,0.369987,
120,47.2234,39.86594,0.230131,0.191699,11.44,0.473844,
122,47.31811,39.7346,0.246206,0.122211,11.46622,0.400651,
124,47.13503,39.79071,0.264413,0.182651,11.60293,0.477015,
126,47.32233,39.8559,0.218849,0.161726,11.39541,0.454783,
128,46.97261,39.82735,0.240784,0.158926,11.48614,0.435876,
130,47.54797,39.76206,0.204592,0.209275,11.43397,0.456413,
132,46.94283,39.62376,0.18048,0.121584,11.40732,0.386997,
134,47.05583,39.35939,0.204642,0.126465,11.53624,0.424836,
