Distance (µm),Mg Ox%,Si Ox%,Ca Ox%,Ti Ox%,Cr Ox%,Mn Ox%,Fe Ox%,
0,28.98225,54.34178,2.548678,0.35632,0.405389,0.281948,11.47097,
0.999999999999997,28.66902,53.90298,2.588562,0.376625,0.532876,0.299091,11.3095,
2.00000000000001,28.8152,53.97695,2.633058,0.331647,0.455132,0.310236,11.42644,
3,28.86365,54.06385,2.525044,0.360863,0.518167,0.202735,11.36442,
3.99999999999999,28.91753,54.06059,2.522289,0.298703,0.521674,0.315234,11.45299,
4.99999999999999,29.24856,54.21078,2.5525,0.297248,0.539435,0.169205,11.36235,
5.99999999999999,28.81064,54.08265,2.436009,0.248136,0.504263,0.225215,11.33244,
7,29.06519,54.2548,2.497663,0.319618,0.470579,0.21556,11.36716,
7.99999999999999,29.24617,54.41781,2.501083,0.410298,0.495611,0.205935,11.42102,
9.00000000000002,29.10821,54.28556,2.538478,0.372862,0.531733,0.234641,11.26813,
10,29.19699,54.5268,2.401601,0.33503,0.49767,0.322775,11.31128,
11,29.28896,54.39038,2.444896,0.368791,0.45283,0.18415,11.2538,
12,29.3667,54.64119,2.246436,0.318288,0.433025,0.221048,11.37501,
13,29.48989,54.70276,2.277996,0.282177,0.557959,0.244826,11.14228,
14,29.20798,54.37814,2.416681,0.368778,0.537183,0.166178,11.41192,
15,29.42714,54.37823,2.423759,0.301778,0.550943,0.302651,11.32428,
16,29.14884,54.07798,2.486787,0.285395,0.557944,0.204403,11.16955,
17,29.63795,54.60394,2.395779,0.398051,0.405358,0.210636,11.3302,
18,29.0109,54.43532,2.363757,0.263513,0.42298,0.317415,11.4357,
19,29.28015,54.64717,2.388121,0.314396,0.458312,0.246142,11.49109,
20,29.33126,54.62545,2.343135,0.301639,0.49688,0.179681,11.48338,
21,29.09769,54.29658,2.329344,0.291602,0.467951,0.242257,11.37318,
22,29.28955,54.56273,2.290005,0.322246,0.465177,0.21949,11.49105,
23,29.28798,54.3266,2.358585,0.35313,0.431204,0.272577,11.39853,
24,29.30993,54.6633,2.28389,0.332471,0.441877,0.278371,11.5207,
25,29.27782,54.48737,2.369744,0.342977,0.454741,0.217432,11.39651,
26,29.22509,54.52375,2.292127,0.291338,0.460977,0.242811,11.39585,
27,29.44888,54.5561,2.301927,0.289671,0.465253,0.238197,11.53554,
28,29.31062,54.58873,2.279186,0.264706,0.474365,0.290035,11.47447,
29,29.34908,54.80207,2.241638,0.271071,0.426985,0.241612,11.39944,
30,29.21653,54.36802,2.295535,0.362756,0.462856,0.277961,11.58719,
31,29.47427,54.83912,2.278831,0.296995,0.443692,0.333662,11.52394,
32,29.28661,54.68093,2.290004,0.353398,0.45526,0.263646,11.51408,
33,29.39728,54.69215,2.302094,0.278097,0.417139,0.272445,11.58117,
34,29.46834,54.7389,2.274078,0.305505,0.450009,0.221492,11.55037,
35,29.18789,54.27487,2.318532,0.30148,0.47976,0.221389,11.43118,
36,29.3958,54.66143,2.259602,0.309977,0.552658,0.227404,11.52902,
37,29.54238,54.89154,2.268997,0.263158,0.485259,0.2444,11.53115,
38,29.4322,54.64032,2.34575,0.2863,0.459101,0.24457,11.37629,
39,29.42165,54.97009,2.28642,0.280152,0.52185,0.275454,11.49375,
40,29.49762,55.00027,2.265516,0.276559,0.437722,0.225175,11.49965,
