Distance (µm),Mg Ox%,Si Ox%,Ca Ox%,Mn Ox%,Fe Ox%,Ni Ox%,
0,6.975978,46.18493,9.98287,0.134903,10.26082,0.063341,
0.500000000000008,7.02878,46.10027,9.990227,0.046824,10.16167,-0.003148,
0.999999999999998,6.943727,46.34799,9.96549,0.19915,10.41264,-0.016831,
1.50000000000001,7.002024,46.09065,10.08504,0.199185,10.34688,-0.051872,
2,6.988102,46.44153,9.968733,0.203431,10.49059,-0.063261,
2.5,6.907235,46.32261,10.04882,0.183272,10.37377,0.148452,
2.99999999999999,6.973776,46.43355,10.0247,0.180298,10.49928,-0.027261,
3.5,6.848045,46.06665,10.04352,0.199063,10.45175,-0.075467,
4.00000000000001,6.77117,46.14895,10.11941,0.178707,10.28388,0.017811,
4.5,6.650735,45.70625,10.12389,0.189977,10.35043,-0.019229,
5.00000000000001,6.612574,45.54215,10.14564,0.107926,10.30931,0.110238,
5.5,6.69731,44.54657,10.00131,0.159216,10.28012,-0.139286,
6.00000000000001,6.880831,44.09968,9.686267,0.192508,10.45408,0.066116,
6.5,7.372523,42.67227,9.344545,0.171731,10.40971,0.054704,
7.00000000000001,8.676196,41.05875,8.353363,0.191255,10.42848,0.105442,
7.50000000000001,11.50597,39.51588,6.954422,0.182347,11.38113,0.093369,
8,19.4591,38.43655,4.277488,0.224947,13.50274,0.043528,
8.50000000000001,35.19189,38.74176,1.401971,0.209603,16.32127,0.227925,
9,38.94108,37.88543,0.721478,0.186051,16.51069,0.247051,
9.50000000000001,40.7365,37.77384,0.391585,0.226561,16.10674,0.266734,
10,41.71077,37.54097,0.367396,0.161652,15.87502,0.191043,
10.5,42.06512,37.86127,0.371123,0.207299,15.51562,0.316252,
11,42.52958,37.93068,0.26637,0.260877,15.25582,0.348684,
11.5,42.39648,37.99046,0.335937,0.234502,15.06403,0.242028,
12,42.44869,38.07918,0.319428,0.215282,14.91381,0.21954,
12.5,42.77535,37.75683,0.326294,0.263316,15.17756,0.306966,
13,42.68908,38.1166,0.266189,0.249973,14.79196,0.196467,
13.5,42.74619,38.29467,0.269933,0.182323,14.83824,0.330613,
14,42.84099,38.00005,0.303261,0.1909,14.75837,0.354354,
14.5,43.10377,38.05992,0.342466,0.232265,14.95245,0.293008,
15,43.19381,38.19303,0.306446,0.233885,14.78754,0.357735,
15.5,43.31158,38.22927,0.250779,0.254555,14.6649,0.324365,
16,43.30984,38.246,0.310432,0.257439,14.71475,0.366018,
16.5,43.42202,38.70945,0.319381,0.211603,14.6107,0.333353,
17,43.44275,38.31789,0.337641,0.240467,14.4882,0.331755,
17.5,43.51572,38.47134,0.339571,0.239386,14.34432,0.390536,
18,43.34475,38.80163,0.257574,0.202317,14.47556,0.266276,
18.5,43.46106,38.4851,0.24153,0.144708,14.47623,0.359511,
19,43.74617,38.67782,0.309467,0.253334,14.44942,0.335029,
19.5,43.84518,38.53942,0.261901,0.164086,14.20421,0.264209,
20,43.9655,38.2732,0.247609,0.26628,14.16869,0.374116,
20.5,43.66881,38.72707,0.285151,0.157238,14.23729,0.286045,
21,43.95897,38.57419,0.247235,0.269186,14.25088,0.297262,
21.5,44.06353,38.88619,0.297307,0.166558,14.19874,0.296423,
22,44.20524,38.61713,0.328628,0.22215,14.18138,0.369937,
22.5,44.51326,38.54971,0.267454,0.199746,14.05178,0.345433,
23,44.25287,38.79821,0.286016,0.213588,14.0575,0.206079,
23.5,44.50444,38.71329,0.267344,0.212783,13.98073,0.322472,
24,44.52736,39.22524,0.247206,0.206453,14.06718,0.364992,
24.5,44.53897,38.66385,0.304527,0.170421,14.17506,0.357638,
25,44.41724,38.78366,0.279572,0.1597,13.67509,0.360354,
25.5,44.63382,39.00624,0.236319,0.243222,13.73157,0.327325,
26,44.71229,39.27715,0.224499,0.149124,14.02996,0.335601,
26.5,44.77499,38.80293,0.31623,0.189999,13.72785,0.275534,
27,44.75014,39.09472,0.232106,0.213173,13.60922,0.403849,
27.5,44.82448,38.92279,0.256312,0.240301,13.63684,0.264447,
28,45.08758,38.92586,0.217243,0.228697,13.71568,0.271494,
28.5,44.86269,38.97224,0.247743,0.195949,13.57138,0.363528,
29,44.72149,38.86621,0.21538,0.209429,13.49939,0.317692,
29.5,45.06364,38.92029,0.242835,0.223365,13.74156,0.279959,
30,45.16596,39.17014,0.206696,0.190088,13.58289,0.288722,
30.5,45.14198,39.1138,0.27703,0.122095,13.47128,0.295486,
31,45.10891,38.85442,0.257481,0.180192,13.47487,0.326825,
31.5,45.17602,38.98752,0.207976,0.206327,13.44474,0.334212,
32,45.009,38.83715,0.209554,0.217391,13.47559,0.317273,
32.5,45.47595,39.08649,0.268561,0.144744,13.44097,0.255902,
33,45.42456,39.2406,0.224877,0.215798,13.46542,0.363552,
33.5,45.39581,39.35899,0.215516,0.293231,13.4625,0.434831,
34,45.48268,38.95088,0.224732,0.192445,13.32978,0.380398,
34.5,45.5051,39.32156,0.239088,0.242926,13.35823,0.383609,
35,45.4059,39.1432,0.213687,0.168704,13.37663,0.348468,
35.5,45.59672,39.07413,0.206275,0.223231,13.22513,0.394734,
36,45.66106,39.1369,0.21219,0.27554,13.2669,0.399967,
36.5,45.69735,39.17595,0.244343,0.175263,13.29966,0.293344,
37,45.5921,39.23218,0.186041,0.15356,13.15755,0.347363,
37.5,45.6328,39.32131,0.219994,0.174044,13.25392,0.389327,
38,45.38497,39.35772,0.202386,0.175121,13.2008,0.249468,
38.5,45.60619,39.21211,0.214724,0.164057,13.21062,0.355915,
39,45.55863,39.18553,0.218452,0.20614,13.41813,0.353351,
39.5,45.44608,39.44078,0.23948,0.205913,13.02332,0.327784,
40,45.48606,39.38125,0.220679,0.129258,13.23102,0.37059,
40.5,45.58623,39.253,0.239927,0.171884,13.01676,0.305797,
41,45.60286,39.31206,0.244154,0.194435,13.37809,0.453659,
41.5,45.72553,39.54466,0.185502,0.216129,13.02584,0.319855,
42,45.75662,39.33546,0.183083,0.13663,13.1845,0.355387,
42.5,45.63294,39.26295,0.185816,0.265765,13.12038,0.332613,
43,46.00156,39.31539,0.245668,0.212585,13.22643,0.338488,
43.5,45.64131,39.27892,0.249257,0.144895,12.90718,0.300272,
44,45.81725,39.58445,0.23834,0.228859,13.17315,0.275133,
44.5,45.71799,39.43422,0.234702,0.196151,13.22485,0.344067,
45,45.61825,39.29885,0.244293,0.203009,13.14829,0.287175,
45.5,45.77771,39.34461,0.22597,0.240534,13.25786,0.318801,
46,45.88239,39.19962,0.208067,0.196541,12.94643,0.298409,
46.5,46.06974,39.62962,0.23319,0.230235,13.01231,0.405278,
47,45.83452,39.40761,0.187863,0.169242,13.12955,0.343094,
47.5,45.90447,39.41269,0.222531,0.180248,13.21573,0.34336,
48,45.75669,39.4048,0.244946,0.178673,13.03435,0.321466,
48.5,45.9373,39.37545,0.228737,0.15258,13.14,0.322062,
49,45.80149,39.27587,0.208742,0.20699,13.13658,0.319509,
49.5,45.94985,39.38721,0.234684,0.196613,13.1958,0.315111,
50,45.89431,39.54861,0.20562,0.217121,13.36628,0.369475,
50.5,46.08959,39.47243,0.166364,0.237482,13.20268,0.380776,
51,45.98135,39.45522,0.167632,0.199448,13.39254,0.276058,
51.5,45.98993,39.67683,0.203342,0.184308,13.08115,0.385934,
52,46.02708,39.32751,0.190719,0.247392,13.165,0.224462,
52.5,45.78186,39.41692,0.181105,0.219889,13.01782,0.310398,
53,45.7057,39.56116,0.252014,0.219682,13.07862,0.440487,
53.5,46.07431,39.41975,0.183652,0.257152,13.16551,0.333054,
54,45.64147,39.57864,0.197938,0.177707,12.98832,0.312502,
54.5,46.04778,39.39351,0.211782,0.222424,13.25206,0.311579,
