Distance (µm),Mg Ox%,Al Ox%,Si Ox%,Ca Ox%,Ti Ox%,Cr Ox%,Mn Ox%,Fe Ox%,
0,28.93595,1.880612,54.45472,2.303811,0.32456,0.307125,0.180899,11.61233,
2,28.89396,1.962808,54.42923,2.279191,0.329542,0.320569,0.26427,11.52043,
4,29.05253,1.988795,54.61239,2.179559,0.386675,0.346773,0.26187,11.1714,
5.99999999999999,28.96495,1.927407,54.55011,2.254563,0.321192,0.284054,0.228793,11.46894,
7.99999999999999,28.93068,1.943237,54.40659,2.247613,0.421231,0.308106,0.223994,11.51855,
9.99999999999999,29.0674,1.930725,54.62726,2.230103,0.316892,0.310107,0.224223,11.29329,
12,29.14114,1.849075,54.41398,2.287962,0.366596,0.373031,0.234292,11.33393,
14,28.99249,1.958482,54.56386,2.294508,0.373371,0.34338,0.291295,11.18263,
16,29.19727,1.892461,54.4092,2.341662,0.310427,0.348931,0.170448,11.32959,
18,29.21443,1.908989,54.7151,2.248585,0.351643,0.328216,0.169425,11.06361,
20,29.33786,1.917121,54.61618,2.24423,0.312196,0.333624,0.253824,10.98497,
22,29.26237,1.942725,54.58602,2.291066,0.31585,0.343661,0.220389,11.03791,
24,29.25855,1.895006,54.83987,2.209155,0.381544,0.315249,0.210358,10.89026,
26,29.46544,1.889465,54.81614,2.326071,0.333016,0.29256,0.174417,10.7029,
28,29.4108,1.841047,54.82566,2.204396,0.291343,0.456598,0.277477,10.69268,
30,29.54574,1.841201,54.82523,2.283917,0.269636,0.453942,0.235599,10.54474,
32,29.63426,1.846456,54.88998,2.307071,0.192896,0.40365,0.226634,10.49906,
34,29.73982,1.885043,54.54649,2.315459,0.263517,0.456044,0.241929,10.5517,
36,30.19254,1.795379,55.01119,2.287929,0.215268,0.437766,0.218782,9.84114,
38,29.97032,1.926747,54.76034,2.32159,0.246866,0.556996,0.217177,9.999966,
40,30.18886,2.086731,54.58564,2.314143,0.270572,0.509534,0.219855,9.824678,
42,30.43937,2.062403,54.91681,2.132053,0.272848,0.602857,0.139053,9.434603,
44,30.6869,1.987557,54.78057,1.881855,0.312965,0.67148,0.217029,9.461647,
46,31.0447,1.763138,55.12368,1.75615,0.20815,0.721009,0.233671,9.149514,
48,31.26177,1.536564,55.47237,1.655615,0.193938,0.673056,0.210501,8.99618,
50,31.31449,1.618215,55.44023,1.72853,0.131445,0.749004,0.177257,8.840829,
52,30.92481,2.386471,54.56072,1.709678,0.224292,1.056548,0.168973,8.968501,
54,30.71616,2.443168,54.79769,1.795198,0.201453,1.060798,0.183305,8.802232,
56,30.85865,2.40451,54.64271,1.821163,0.216441,1.02959,0.129912,8.897027,
58,30.6076,2.523037,54.67086,1.849126,0.337671,0.929354,0.181169,8.901182,
60,30.43857,2.649887,54.55886,1.954433,0.263807,0.997861,0.226952,8.909636,
62,30.45367,2.607775,54.47718,2.125956,0.248888,0.920305,0.190567,8.975659,
64,30.6233,2.2474,54.73742,2.073517,0.25015,0.879791,0.173346,9.015085,
66,30.60662,2.145742,55.06856,2.108926,0.189785,0.713287,0.200616,8.966467,
68,30.40253,2.206866,54.90571,2.199757,0.228695,0.701605,0.259572,9.09527,
70,30.22959,2.132928,54.97171,2.241468,0.249194,0.673138,0.294803,9.207161,
72,30.23676,2.101779,54.8793,2.241373,0.24306,0.709898,0.220785,9.367049,
74,30.19474,2.147814,54.93416,2.291872,0.190777,0.704915,0.16019,9.375531,
76,30.18892,2.243295,54.55839,2.360525,0.247102,0.70235,0.204111,9.495299,
78,30.21732,2.184229,54.60158,2.347251,0.301736,0.720424,0.138961,9.488486,
80,30.29095,2.080123,54.77103,2.244289,0.229732,0.675554,0.249522,9.458793,
82,30.38048,2.086661,55.15679,2.124969,0.169101,0.594462,0.19791,9.289627,
84,30.13102,2.240712,54.9132,2.164223,0.201103,0.70831,0.21014,9.431293,
86,29.17307,2.676419,54.56481,2.406563,0.358606,0.574266,0.153036,10.09323,
88,28.85543,1.98438,54.45037,2.236412,0.295276,0.404732,0.241502,11.53189,
90,28.68372,1.838618,54.30664,2.276767,0.331686,0.271136,0.224441,12.06699,
92,28.70759,1.74623,54.41369,2.267885,0.257939,0.241367,0.29946,12.06583,
94,28.47582,1.795235,54.54399,2.292163,0.307466,0.377583,0.197773,12.00996,
96,28.62758,1.80148,54.51715,2.230165,0.336089,0.238512,0.223253,12.02577,
98,28.37964,1.782854,54.45181,2.272405,0.389821,0.225405,0.329281,12.16879,
100,28.48106,1.885692,54.42548,2.273653,0.33649,0.258486,0.211975,12.12716,
102,28.54839,1.79169,54.46076,2.276778,0.40188,0.248208,0.266806,12.00549,
104,28.39383,1.833506,54.43988,2.313962,0.372218,0.339878,0.212627,12.09409,
106,27.90514,2.06033,54.38606,2.395559,0.382887,0.277912,0.284692,12.30742,
108,24.71777,4.220451,54.75398,3.030072,0.601802,0.202287,0.221672,12.25197,
110,6.965686,14.28791,54.19205,10.08291,2.246023,0.099963,0.118232,12.00722,
112,5.901833,14.47568,53.8597,10.75117,2.455952,0,0.193612,12.36205,
114,6.081448,14.27652,54.18548,10.55311,2.417742,0.051659,0.192037,12.24202,
116,6.273871,14.20556,54.02348,10.60973,2.307174,0.019602,0.189805,12.37078,
