Distance (µm),Al Ox%,Mg Ox%,Si Ox%,Ca Ox%,Ti Ox%,Cr Ox%,Mn Ox%,Fe Ox%,
0,6.844819,21.00867,52.71622,6.45345,1.324648,0.245401,0.189448,11.21735,
2.00000000000001,2.21905,28.60166,54.76287,2.585953,0.384035,0.427505,0.253086,10.76586,
4.00000000000003,1.909655,29.15547,54.78475,2.253682,0.386156,0.452188,0.269215,10.78888,
5.99999999999997,1.946441,29.35054,54.86501,2.219044,0.259478,0.438505,0.207179,10.71379,
7.99999999999999,1.814366,29.27364,54.7364,2.247234,0.285366,0.484424,0.277815,10.88075,
10,1.839935,29.33717,54.70489,2.215173,0.326888,0.500728,0.273959,10.80126,
12,1.875613,29.34684,54.68455,2.22709,0.406028,0.4271,0.250418,10.78236,
14,1.889982,29.405,54.81188,2.166236,0.333808,0.452334,0.217788,10.72297,
16,1.930797,29.45547,54.60409,2.125522,0.25466,0.493966,0.225838,10.90964,
18,1.908838,29.42806,54.8562,2.167263,0.272039,0.500326,0.214782,10.6525,
20,1.858083,29.34758,54.79396,2.17247,0.319851,0.499836,0.303099,10.70511,
22,1.94336,29.44323,54.58583,2.173253,0.167326,0.524364,0.286151,10.87647,
24,1.903828,29.3943,54.82906,2.137334,0.328885,0.414754,0.241121,10.75073,
26,1.940659,29.56607,54.57512,2.145236,0.226058,0.446456,0.210553,10.88986,
28,1.90424,29.61588,54.57293,2.129925,0.362303,0.52052,0.25107,10.64314,
30,2.11198,29.10343,54.5631,2.296928,0.275109,0.517879,0.209621,10.92196,
32,2.233912,29.17653,54.41547,2.260619,0.273382,0.490101,0.221154,10.92882,
34,1.664509,29.55126,54.9857,2.19077,0.223884,0.422875,0.162553,10.79845,
36,1.605201,29.53343,54.71473,2.238825,0.291618,0.421918,0.261771,10.9325,
38,1.503221,29.68939,54.92493,2.119761,0.270381,0.424845,0.211802,10.85567,
40,1.575956,29.46943,55.0754,2.096936,0.229008,0.381417,0.260847,10.911,
42,1.58028,29.48085,55.01688,2.158197,0.279535,0.435583,0.214431,10.83424,
44,1.605746,29.60662,54.84421,2.059314,0.251388,0.423447,0.258951,10.95032,
46,1.874382,29.51032,54.47434,2.117388,0.290358,0.433426,0.245684,11.05411,
48,1.957585,29.34128,54.59546,2.114877,0.306955,0.464497,0.212013,11.00733,
50,2.030617,29.13518,54.66748,2.135872,0.269056,0.558785,0.16905,11.03397,
52,1.951343,29.48536,54.46891,2.077977,0.340707,0.538901,0.25574,10.88106,
54,1.777612,29.52312,54.78218,2.072031,0.30212,0.467425,0.193881,10.88162,
56,1.711146,29.5952,54.89296,2.16706,0.238247,0.458531,0.184061,10.75279,
58,1.475468,29.75521,55.12447,2.118167,0.253912,0.337563,0.226739,10.70848,
60,1.404788,29.67881,55.13038,2.170056,0.238897,0.392573,0.222033,10.76245,
