Distance (µm),Mg Ox%,Si Ox%,Ca Ox%,Fe Ox%,Mn Ox%,Ni Ox%,
0,43.32504,39.2945,0.2304,17.73607,0.244796,0.277323,
6.81818181818184,43.79581,39.42299,0.233478,17.83589,0.267962,0.469217,
13.6363636363636,43.72145,39.45665,0.250336,17.61249,0.334252,0.289677,
20.4545454545455,43.60391,39.53031,0.192849,17.55515,0.267361,0.337241,
27.2727272727273,43.73362,39.48198,0.170827,17.48991,0.25607,0.346889,
34.0909090909091,43.83599,39.5323,0.261356,17.80986,0.280221,0.368559,
40.9090909090909,43.52254,39.64769,0.244992,17.59255,0.216752,0.35394,
47.7272727272727,43.91788,39.73224,0.203488,17.40738,0.277003,0.332859,
54.5454545454545,43.77299,39.63348,0.245103,17.64338,0.265713,0.344512,
61.3636363636364,44.01872,39.67246,0.220054,17.63355,0.278393,0.384684,
68.1818181818182,43.45369,39.92209,0.27827,17.4274,0.231046,0.318378,
75,43.42912,39.53743,0.23657,17.36223,0.285221,0.405475,
81.8181818181818,28.08082,25.52037,0.162396,13.95185,0.259861,0.327924,
88.6363636363637,43.63717,39.66228,0.252545,17.51408,0.244388,0.389169,
95.4545454545454,43.68105,39.80619,0.237212,17.47301,0.252306,0.3356,
102.272727272727,43.86557,39.81178,0.220127,17.43299,0.214694,0.435625,
109.090909090909,43.69673,39.83737,0.238263,17.51205,0.185747,0.253162,
115.909090909091,43.62505,39.65308,0.253494,17.6269,0.229788,0.381002,
122.727272727273,43.9631,39.62772,0.266069,17.79362,0.199359,0.346585,
129.545454545455,43.81575,39.62836,0.238489,17.60252,0.335213,0.342079,
136.363636363636,43.86192,39.44418,0.272168,17.68523,0.217493,0.401581,
143.181818181818,44.14632,39.71503,0.237544,17.74204,0.238742,0.305401,
