Distance (µm),Mg Ox%,Al Ox%,Si Ox%,Ca Ox%,Ti Ox%,Cr Ox%,Mn Ox%,Fe Ox%,
0,29.51217,1.828779,54.65381,2.180407,0.310404,0.566219,0.203314,10.74489,
0.999999999999999,29.21653,1.962041,54.76488,2.210067,0.329654,0.505571,0.202493,10.80877,
2,29.23724,2.068734,54.63573,2.180662,0.316606,0.558271,0.246323,10.75642,
3,29.20338,2.046573,54.61468,2.158249,0.351819,0.566174,0.241075,10.81805,
4,29.32803,2.094957,54.45105,2.196949,0.319684,0.546179,0.185262,10.87789,
5,29.19339,1.988986,54.70991,2.187149,0.290995,0.557505,0.290605,10.78145,
6,29.34558,1.996988,54.57435,2.152439,0.303534,0.57471,0.243578,10.80884,
7,29.10374,2.058026,54.62695,2.178896,0.349692,0.573974,0.203214,10.9055,
8.00000000000001,29.26926,2.020087,54.58269,2.268806,0.265054,0.597642,0.188666,10.8078,
9,29.15426,2.105416,54.69202,2.23712,0.248736,0.615036,0.156674,10.79075,
10,29.09437,2.110928,54.54731,2.238029,0.341961,0.548724,0.256191,10.86249,
11,29.30633,2.100518,54.2887,2.326674,0.323642,0.552049,0.326532,10.77556,
12,29.18074,2.038336,54.59383,2.287688,0.313466,0.468924,0.233682,10.88333,
13,29.13402,2.121681,54.55196,2.273878,0.343357,0.548421,0.198674,10.82802,
14,29.14851,2.041152,54.6454,2.181912,0.355836,0.554793,0.212586,10.85982,
15,29.25448,2.109593,54.5312,2.286732,0.295825,0.56068,0.202873,10.75861,
16,29.33418,1.991077,54.56693,2.161418,0.302937,0.560241,0.220424,10.8628,
17,29.24343,2.058001,54.51552,2.178149,0.413552,0.558398,0.263098,10.76986,
18,29.12492,2.063662,54.79543,2.145337,0.318336,0.521747,0.248421,10.78214,
19,29.25977,1.99428,54.61753,2.214683,0.296338,0.47326,0.231653,10.91248,
20,28.7795,2.314397,54.51465,2.529203,0.291512,0.570125,0.244544,10.75606,
21,28.48264,2.364371,54.11413,2.866359,0.342259,0.623402,0.241253,10.96559,
22,28.57121,2.305302,54.08152,2.864507,0.347297,0.622595,0.283464,10.9241,
23,28.5364,2.329223,54.35737,2.780677,0.315151,0.636885,0.202513,10.84178,
24,28.68378,2.300725,54.25755,2.626049,0.337175,0.621002,0.248945,10.92478,
25,29.01414,2.251996,54.32267,2.318969,0.328676,0.54021,0.181036,11.0423,
26,29.09693,2.165051,54.76451,2.243254,0.310873,0.467109,0.248264,10.704,
27,29.26005,1.96414,54.70945,2.218626,0.307443,0.459768,0.29411,10.78642,
28,29.10441,2.106163,54.82286,2.207832,0.292952,0.503894,0.256027,10.70586,
29,29.02453,2.225649,54.67305,2.249132,0.3164,0.545814,0.243127,10.7223,
30,27.58777,3.090352,54.94065,2.676787,0.390025,0.485464,0.240279,10.58868,
31,18.37192,8.599329,52.82315,7.537558,1.452956,0.327301,0.145968,10.74183,
32,8.756213,13.05008,54.01972,10.09196,2.021813,0.144919,0.189748,11.72555,
33,7.230799,13.8798,54.16764,10.56132,2.112166,0.062896,0.249551,11.73582,
