Distance (µm),Mg Ox%,Al Ox%,Si Ox%,Ca Ox%,Ti Ox%,Cr Ox%,Mn Ox%,Fe Ox%,
0,29.60126,2.013931,54.67818,2.252248,0.258378,0.494211,0.235019,10.46677,
2.00000000000001,29.72986,1.956137,54.64725,2.222194,0.349063,0.439498,0.261018,10.39497,
3.99999999999999,29.70333,2.040166,54.7185,2.210599,0.317507,0.478717,0.227587,10.3036,
6,29.78194,1.854163,54.5203,2.293716,0.339519,0.537319,0.212774,10.46027,
8.00000000000001,29.65351,1.910306,54.61649,2.203937,0.380509,0.53467,0.20272,10.49785,
10,29.5275,2.025682,54.68442,2.2467,0.311472,0.477126,0.248874,10.47823,
12,29.68324,1.894191,54.83683,2.228197,0.341645,0.46858,0.239533,10.30778,
14,29.69677,1.8834,54.81001,2.212617,0.318422,0.442071,0.229065,10.40765,
16,29.72317,1.970533,54.72368,2.245201,0.276702,0.398719,0.165094,10.4969,
18,29.79051,1.876946,54.64513,2.219219,0.285152,0.47929,0.20015,10.50361,
20,29.71494,1.930884,54.79992,2.213878,0.329972,0.394466,0.206332,10.40961,
22,29.81435,1.946096,54.56425,2.229175,0.349605,0.508589,0.214561,10.37337,
24,29.69051,1.960984,54.57819,2.250687,0.317956,0.485577,0.220017,10.49608,
26,29.79414,2.002936,54.52311,2.263811,0.34675,0.414351,0.23442,10.42048,
28,29.72783,1.883027,54.77564,2.210123,0.297255,0.434623,0.271041,10.40046,
30,29.71476,2.032037,54.71962,2.191046,0.308873,0.431234,0.241826,10.3606,
32,29.73449,1.892492,54.88416,2.229686,0.28105,0.46602,0.208968,10.30315,
34,29.61402,1.94165,54.74516,2.282427,0.314249,0.470031,0.198152,10.43431,
36,29.70273,1.943433,54.53122,2.283377,0.345516,0.46055,0.282941,10.45025,
38,29.57533,1.975466,54.65915,2.237546,0.322625,0.47518,0.258717,10.49599,
40,29.89607,1.969008,54.54554,2.164783,0.328223,0.432964,0.211358,10.45205,
42,29.74752,1.832145,54.6449,2.194429,0.333706,0.432388,0.287516,10.52739,
44,29.73119,1.961965,54.66285,2.231,0.307845,0.427118,0.248617,10.42941,
46,29.78358,2.017498,54.52555,2.260756,0.357509,0.421126,0.267651,10.36632,
48,29.54951,1.881075,54.78737,2.187428,0.311812,0.582338,0.298472,10.402,
50,29.60304,1.989326,54.66184,2.17505,0.278678,0.532629,0.223813,10.53563,
52,29.73534,1.966045,54.78125,2.224648,0.26913,0.414932,0.307282,10.30137,
54,29.70134,1.89564,54.8105,2.231219,0.325893,0.454034,0.186127,10.39525,
56,29.76597,1.944575,54.83553,2.222573,0.219443,0.534581,0.227816,10.24952,
58,29.89171,1.936467,54.62798,2.26006,0.338312,0.440691,0.17631,10.32846,
60,29.72029,1.978626,54.83828,2.209965,0.259929,0.448681,0.161953,10.38228,
62,29.76176,1.910558,54.79234,2.142196,0.27845,0.521318,0.283299,10.31007,
64,29.76789,1.963102,54.78571,2.203779,0.29813,0.49107,0.212639,10.27768,
66,29.94522,1.878577,54.80448,2.169014,0.298007,0.422994,0.220186,10.26151,
68,29.84541,1.833285,54.89711,2.203201,0.267417,0.433917,0.243688,10.27596,
70,29.88968,1.792358,54.70458,2.239099,0.329117,0.378217,0.205257,10.46169,
72,29.79198,1.897509,54.88094,2.217878,0.268971,0.45023,0.24125,10.25123,
74,29.88564,1.875291,54.79539,2.165017,0.303717,0.479387,0.221412,10.27414,
76,29.69598,1.90426,54.89277,2.221809,0.298478,0.401937,0.218787,10.36598,
78,29.71902,1.828403,54.91936,2.247719,0.37425,0.373717,0.245209,10.29233,
80,29.86642,1.876415,54.64438,2.311566,0.315819,0.482416,0.225883,10.27709,
82,29.83795,1.932659,54.67934,2.26109,0.276287,0.428325,0.239226,10.34512,
84,29.82849,1.953519,54.76409,2.227642,0.33667,0.410071,0.207515,10.272,
86,29.89953,1.839652,54.72446,2.261268,0.232039,0.459469,0.245082,10.3385,
88,29.80713,1.8897,54.84549,2.260658,0.239224,0.503046,0.217925,10.23683,
90,29.87377,1.976841,54.73007,2.282526,0.302607,0.477673,0.273883,10.08262,
92,29.79448,1.919515,54.74815,2.228272,0.275808,0.522154,0.196744,10.31487,
94,29.68093,2.052987,54.59747,2.266672,0.19642,0.524419,0.291189,10.38992,
96,29.80605,1.9788,54.78864,2.218925,0.199913,0.555457,0.156818,10.2954,
98,29.82911,1.939657,54.71288,2.284337,0.261685,0.505281,0.251727,10.21533,
100,29.77758,1.97093,54.65696,2.275465,0.22718,0.531503,0.278194,10.28218,
102,29.83929,1.876552,54.83537,2.314816,0.176801,0.50524,0.293045,10.1589,
104,29.82214,2.022318,54.84429,2.248185,0.162066,0.515403,0.177026,10.20857,
106,29.62088,2.100789,54.52288,2.252018,0.292036,0.591975,0.178506,10.44092,
108,29.69889,2.066164,54.63645,2.225906,0.268312,0.585684,0.205208,10.31339,
110,29.78109,1.942761,54.66171,2.276372,0.284102,0.575522,0.170821,10.30763,
112,29.55134,2.116191,54.65577,2.306739,0.307296,0.621724,0.217673,10.22327,
114,29.7115,2.164068,54.65514,2.321478,0.211199,0.579565,0.17123,10.18582,
116,29.79458,2.087602,54.73585,2.196361,0.237204,0.630974,0.194973,10.12246,
118,30.22394,2.047274,54.64788,2.169146,0.206416,0.490428,0.245356,9.969564,
120,30.16467,1.998473,54.69778,2.117863,0.215209,0.532605,0.214613,10.05878,
122,29.99566,1.993824,54.85396,2.222545,0.258469,0.535456,0.239731,9.900365,
124,30.20495,2.013356,54.79012,2.150038,0.25966,0.516476,0.207959,9.85743,
126,30.12119,2.150543,54.60613,2.215467,0.237453,0.571978,0.293172,9.804079,
128,30.1803,2.182576,54.79526,2.144065,0.172698,0.609057,0.202622,9.71342,
130,30.13816,2.072694,54.67822,2.232828,0.244968,0.662166,0.193295,9.77768,
132,30.16018,2.128037,54.61089,2.263958,0.275567,0.604964,0.235301,9.721107,
134,30.09309,2.198711,54.72017,2.320488,0.233963,0.632553,0.190145,9.610868,
136,30.0415,2.096131,54.89061,2.327052,0.295841,0.698894,0.133217,9.516754,
138,30.32275,2.129572,54.44082,2.332779,0.217416,0.674425,0.221746,9.660494,
140,30.11773,2.132724,54.66927,2.333962,0.250662,0.647587,0.258055,9.590018,
142,30.16813,2.293325,54.41955,2.350188,0.23578,0.646003,0.23812,9.648911,
144,30.09827,2.206617,54.46146,2.422261,0.256128,0.650555,0.26983,9.634881,
146,30.22966,2.176637,54.64719,2.271571,0.267801,0.697797,0.206057,9.503297,
148,30.25141,2.123678,54.76147,2.18298,0.255726,0.566516,0.340844,9.517371,
150,30.31488,2.073336,54.71837,2.270242,0.211432,0.656485,0.202021,9.553234,
152,30.33644,2.135135,54.66762,2.242274,0.239157,0.690535,0.235371,9.453465,
154,30.2976,2.259828,54.87977,2.178619,0.204759,0.674001,0.205575,9.299856,
156,30.23975,2.171292,54.77331,2.194486,0.254405,0.714225,0.207954,9.444582,
158,30.2606,2.082423,54.69753,2.26549,0.299649,0.637585,0.219414,9.537314,
160,30.11795,2.151642,54.81773,2.266387,0.301561,0.61351,0.168173,9.563056,
162,30.25901,2.086923,54.70964,2.250559,0.273759,0.542094,0.248191,9.629827,
164,30.25342,2.074803,54.76656,2.305812,0.253399,0.603012,0.192664,9.550346,
166,30.00253,2.035615,54.76732,2.334846,0.266474,0.590864,0.20448,9.797872,
168,30.09929,2.017617,54.67852,2.189611,0.253688,0.601371,0.237114,9.922784,
170,30.03093,1.874426,54.9683,2.162031,0.285505,0.566774,0.202703,9.909329,
172,30.01985,1.847338,54.80733,2.118378,0.356493,0.482423,0.255604,10.11258,
174,29.9046,1.830831,55.07091,2.162204,0.22555,0.465632,0.177827,10.16245,
176,29.87395,1.765988,54.7894,2.095134,0.368396,0.516437,0.236054,10.35464,
178,29.90066,1.808675,54.85036,2.143132,0.330511,0.450433,0.224426,10.2918,
180,29.76872,1.876571,54.66542,2.217279,0.300944,0.532125,0.239714,10.39922,
182,29.74182,1.816534,54.93621,2.172791,0.336631,0.514606,0.1826,10.29881,
184,29.80445,1.765851,54.71127,2.168046,0.345543,0.550647,0.26051,10.39367,
186,29.66378,1.856541,54.76094,2.153123,0.320186,0.545005,0.188293,10.51214,
188,29.70912,1.893832,54.80996,2.165594,0.32501,0.542072,0.225339,10.32908,
190,29.74275,1.736038,54.53244,2.243884,0.364159,0.471613,0.291269,10.61785,
192,29.70163,1.751009,54.75066,2.24169,0.335968,0.498332,0.190154,10.53056,
194,29.77679,1.821804,54.86364,2.150086,0.192733,0.537932,0.290237,10.36678,
196,29.74516,1.770048,54.81475,2.224803,0.203307,0.496832,0.196297,10.5488,
198,29.602,1.811884,54.89811,2.134715,0.295808,0.438653,0.211727,10.6071,
200,29.62823,1.802699,54.88495,2.190276,0.290572,0.491341,0.223649,10.48828,
202,29.62111,1.786859,54.74525,2.242481,0.323607,0.506647,0.319649,10.4544,
204,29.66822,1.769513,54.97975,2.188069,0.325408,0.360515,0.239764,10.46877,
206,29.62931,1.816622,54.73045,2.171641,0.332785,0.480132,0.227777,10.61128,
208,29.69579,1.75475,54.71598,2.239655,0.362076,0.469055,0.210481,10.55221,
210,29.55542,1.836035,54.91418,2.252472,0.256497,0.498101,0.220852,10.46645,
212,29.70476,1.744747,54.70341,2.171166,0.287571,0.456402,0.235293,10.69665,
214,29.66555,1.828397,54.70885,2.190276,0.32264,0.490472,0.275239,10.51857,
