Distance (µm),Mg Ox%,Si Ox%,Ca Ox%,Mn Ox%,Fe Ox%,Ni Ox%,
0,47.94485,39.96925,0.18466,0.253466,11.2346,0.41317,
1.99999999999999,47.88771,40.17256,0.219223,0.142403,11.1856,0.392509,
4,48.19978,39.79214,0.223569,0.199612,11.18117,0.403728,
6.00000000000001,48.08315,40.03618,0.218126,0.149529,11.06962,0.443393,
8,48.05185,40.29127,0.162378,0.131164,10.94781,0.415539,
9.99999999999999,48.08126,40.23301,0.130862,0.09955,11.09581,0.359505,
12,48.12331,40.16574,0.205243,0.125591,10.94053,0.439586,
14,48.12189,39.93916,0.253972,0.101731,11.15844,0.424799,
16,47.98105,40.18106,0.188135,0.143794,11.03553,0.470422,
18,48.00524,40.05833,0.234779,0.215699,11.11246,0.373495,
20,48.01123,40.25599,0.208549,0.098633,10.97763,0.44795,
22,48.09267,40.22589,0.181514,0.148185,10.96395,0.387786,
24,48.16193,39.9699,0.142766,0.204554,11.19598,0.324876,
26,48.10209,39.96551,0.181185,0.192314,11.14551,0.413389,
28,48.05759,40.10656,0.218766,0.228253,11.02038,0.368459,
30,48.09521,40.09888,0.175995,0.084283,11.18734,0.358299,
32,48.19967,40.24596,0.145184,0.145612,10.95768,0.305876,
34,48.10203,40.09463,0.183876,0.1525,10.97564,0.49134,
36,48.22227,39.82533,0.172276,0.252209,11.08698,0.440915,
38,48.10795,40.11942,0.255809,0.14221,10.93462,0.439987,
40,48.1492,40.12189,0.163642,0.130345,11.04767,0.387253,
42,48.08178,40.01775,0.186547,0.157605,11.11091,0.445408,
44,48.05037,40.19777,0.249715,0.158088,10.95471,0.389346,
46,48.10218,40.26243,0.216151,0.157123,10.88759,0.374516,
48,48.13378,39.99168,0.207267,0.203772,11.05535,0.408153,
50,48.0271,40.02568,0.219501,0.156796,11.15231,0.418605,
52,48.15611,40.10253,0.186871,0.186168,10.9816,0.386712,
54,48.0512,40.15612,0.169352,0.150702,11.14443,0.328198,
56,48.18628,40.05824,0.185514,0.146359,11.04977,0.373839,
58,47.99728,40.05648,0.15702,0.189403,11.17831,0.421506,
60,48.08668,39.93523,0.197697,0.214155,11.1021,0.46414,
62,48.12645,40.04607,0.203134,0.190106,11.01301,0.42124,
64,48.06984,40.19025,0.201162,0.188879,10.90209,0.447772,
66,48.15125,40.12419,0.179843,0.136788,11.06836,0.339568,
68,47.96566,40.02267,0.170146,0.214036,11.12734,0.500146,
70,47.9847,40.0745,0.234927,0.173332,11.15219,0.380361,
72,47.84444,40.29373,0.19404,0.16631,11.11629,0.385185,
74,48.04585,40.06533,0.214473,0.199912,11.13604,0.338402,
76,48.01959,40.14386,0.207782,0.171588,11.10767,0.349502,
78,48.00605,40.07254,0.229235,0.213116,11.01955,0.459508,
80,47.98841,40.15913,0.169736,0.173291,11.09712,0.412329,
82,48.27468,39.7291,0.155497,0.178638,11.2288,0.433305,
84,48.01913,40.24435,0.173413,0.086614,11.02182,0.454664,
86,48.10138,39.90748,0.211561,0.227891,11.10402,0.447678,
88,48.13568,40.18372,0.233871,0.178904,10.93448,0.33334,
90,48.05868,40.0218,0.161608,0.192957,11.07385,0.491102,
92,48.1944,40.02789,0.151679,0.195916,11.04656,0.383559,
94,47.56686,40.25923,0.198351,0.196648,11.33092,0.447979,
96,48.17171,39.90202,0.189539,0.199631,11.02291,0.514192,
98,47.89169,40.36192,0.199689,0.170932,10.98724,0.388539,
100,48.18393,39.88294,0.215577,0.167275,11.06111,0.489166,
102,48.10442,40.01923,0.193917,0.143362,11.09187,0.447205,
104,48.27995,39.861,0.193966,0.206276,11.00001,0.45881,
106,48.0238,40.02471,0.211786,0.171974,11.13733,0.430405,
108,48.0821,40.02607,0.234172,0.143696,11.01971,0.49425,
110,48.06062,40.2204,0.161721,0.09056,11.11205,0.354651,
112,48.03633,39.94738,0.207817,0.208709,11.17024,0.42953,
114,48.0646,40.15226,0.253133,0.166532,10.8719,0.491564,
116,47.98158,40.22171,0.224867,0.184112,11.01835,0.369385,
118,48.09958,39.92891,0.188132,0.18682,11.1,0.496556,
120,48.09546,40.02474,0.181928,0.165967,11.01813,0.513766,
122,48.05848,40.0937,0.236071,0.21373,11.04219,0.355836,
124,48.259,40.1416,0.17604,0.112788,10.92536,0.385216,
126,48.03822,40.22908,0.192471,0.080171,11.03901,0.421047,
128,48.16154,40.12465,0.199719,0.108335,10.97171,0.434035,
130,48.16411,39.93453,0.216819,0.18705,10.98734,0.510149,
132,48.30239,39.8912,0.158339,0.188769,11.0642,0.395112,
134,48.01491,40.14384,0.243902,0.081024,11.1783,0.338019,
136,48.09394,40.08841,0.186881,0.199569,10.99912,0.43209,
138,48.24777,40.00766,0.186637,0.203991,10.94685,0.407087,
140,48.07327,40.2335,0.227214,0.188424,10.85396,0.423621,
142,47.97559,40.24112,0.20311,0.160429,11.05929,0.360458,
144,48.19907,39.81814,0.203956,0.182114,11.2611,0.335621,
146,48.09285,40.23376,0.211962,0.124214,10.98857,0.348653,
148,48.2233,40.03701,0.230773,0.097179,11.02458,0.387151,
150,48.04265,40.13415,0.192092,0.149781,11.05471,0.426618,
152,47.99453,40.23919,0.192474,0.200091,10.9995,0.374217,
154,47.92049,40.1279,0.207016,0.245482,11.03074,0.468373,
156,48.02643,40.32363,0.191768,0.228757,10.92006,0.309353,
158,48.15311,40.26849,0.208464,0.107765,10.90141,0.360776,
160,48.16733,40.24454,0.157366,0.100958,10.88887,0.440935,
162,47.98233,40.36689,0.21066,0.094319,10.92417,0.421638,
164,48.00352,40.23087,0.179972,0.256455,10.93176,0.397438,
166,48.12077,40.06245,0.169094,0.173499,11.15836,0.315831,
168,48.00614,39.93798,0.203277,0.130873,11.18816,0.533581,
170,48.03802,40.05229,0.201514,0.232347,11.10027,0.37555,
172,48.09057,40.14779,0.220303,0.216813,10.88134,0.443196,
174,47.86138,40.28775,0.200406,0.200818,11.03874,0.410918,
176,48.12404,40.12477,0.221705,0.11457,10.99055,0.424367,
178,47.98674,40.38934,0.190527,0.20847,10.94194,0.282984,
180,48.0416,40.17598,0.198898,0.116265,11.02543,0.441845,
182,48.0656,40.11202,0.204753,0.217794,10.9164,0.483427,
184,47.86283,40.38367,0.213159,0.162613,10.98377,0.393955,
186,47.88924,40.30384,0.183551,0.131208,11.06856,0.423591,
188,47.93257,40.26301,0.223919,0.143186,10.90142,0.535897,
