Distance (µm),Mg Ox%,Si Ox%,Ca Ox%,Mn Ox%,Fe Ox%,Ni Ox%,
0,7.976118,64.35566,12.9336,0.269322,14.46529,0,
2.00000000000001,33.22231,45.00633,2.693156,0.235974,18.70733,0.134905,
3.99999999999999,41.17876,38.79367,0.338329,0.237176,19.22447,0.227597,
6,41.68298,38.81613,0.282909,0.219916,18.77774,0.220323,
8.00000000000001,41.60167,39.01264,0.287352,0.208917,18.67252,0.216906,
9.99999999999999,41.72996,38.75515,0.302985,0.336199,18.58207,0.293644,
12,41.76814,38.88632,0.281972,0.261885,18.52541,0.276268,
14,41.85633,39.01456,0.253161,0.317659,18.35706,0.20124,
16,41.96167,38.89123,0.231435,0.297071,18.42205,0.196552,
18,42.0121,38.81609,0.270986,0.295175,18.35383,0.251815,
20,42.25975,38.8996,0.216646,0.300289,18.17047,0.153242,
22,42.21765,38.96848,0.241465,0.259643,18.0831,0.229662,
24,42.21062,39.20051,0.224886,0.248317,17.89675,0.218895,
26,42.48338,39.06059,0.215374,0.247561,17.77872,0.214383,
28,42.46626,38.84417,0.222828,0.240535,17.97324,0.252948,
30,42.68537,38.85186,0.254219,0.275368,17.60571,0.327473,
32,42.78217,38.78765,0.247526,0.208952,17.6802,0.293507,
34,42.54227,38.97403,0.258497,0.219943,17.82192,0.183343,
36,42.77464,38.99109,0.261477,0.204938,17.61918,0.148692,
38,42.62191,39.04067,0.228497,0.273978,17.57012,0.264818,
40,42.9883,38.88646,0.256217,0.22904,17.43726,0.202737,
42,42.93209,39.14984,0.222754,0.188016,17.3636,0.143691,
44,42.95271,39.00807,0.22347,0.288473,17.28529,0.241989,
46,43.07246,39.15571,0.241755,0.237995,17.13314,0.158947,
48,43.01075,39.10902,0.289412,0.290275,17.16773,0.132822,
50,43.08133,39.30209,0.234408,0.228768,16.98596,0.16744,
52,43.30796,39.25691,0.22949,0.24739,16.71797,0.240276,
54,43.28283,39.1658,0.243084,0.235358,16.86502,0.207901,
56,43.37643,39.05213,0.278723,0.202719,16.84325,0.246749,
58,43.56537,39.03106,0.206247,0.246208,16.88188,0.069229,
60,43.48284,39.13611,0.272374,0.180853,16.66579,0.26203,
62,43.48696,39.25357,0.214172,0.205882,16.67601,0.163418,
64,43.53148,39.15566,0.265485,0.174253,16.68952,0.1836,
