Distance (µm),Mg Ox%,Al Ox%,Si Ox%,Ca Ox%,Ti Ox%,Cr Ox%,Mn Ox%,Fe Ox%,
0,29.63376,1.456945,55.28537,2.143546,0.227546,0.327955,0.241339,10.68355,
2.00000000000001,29.73485,1.319343,55.13326,2.113246,0.218227,0.410428,0.229829,10.84083,
3.99999999999999,29.5706,1.377071,55.33943,2.164514,0.19118,0.385807,0.222797,10.74859,
6,29.56591,1.306184,55.31154,2.120915,0.222303,0.347637,0.328927,10.79659,
7.99999999999998,29.59501,1.342743,55.12919,2.172228,0.195168,0.32756,0.247675,10.99042,
10,29.69111,1.317721,55.06533,2.237195,0.234186,0.44227,0.178793,10.83341,
12,29.50208,1.346995,55.48305,2.219622,0.152755,0.325573,0.263886,10.70605,
14,29.69827,1.413667,54.89109,2.169053,0.301509,0.436437,0.309492,10.78049,
16,29.70268,1.319437,55.20676,2.151173,0.233184,0.370202,0.277152,10.7394,
18,29.664,1.272359,55.3125,2.153497,0.250652,0.285585,0.20809,10.85332,
20,29.71426,1.283588,55.24118,2.155555,0.196672,0.340678,0.267263,10.80081,
22,29.5515,1.357437,55.2221,2.166428,0.203914,0.389061,0.26629,10.84327,
24,29.52242,1.342582,55.30419,2.13629,0.217429,0.3803,0.270468,10.82633,
26,29.71134,1.32261,55.24872,2.174196,0.222888,0.389375,0.26881,10.66206,
28,29.52174,1.399745,55.28185,2.15142,0.244678,0.398073,0.242168,10.76032,
30,29.55449,1.362089,55.40932,2.086676,0.210741,0.323883,0.245331,10.80747,
32,29.64707,1.272233,55.42486,2.179658,0.206817,0.344082,0.207055,10.71821,
34,29.56674,1.294141,55.32141,2.104462,0.220446,0.333795,0.249152,10.90985,
36,29.57948,1.378232,55.22062,2.177794,0.157579,0.381457,0.194636,10.9102,
38,29.37466,1.606444,55.33801,2.125411,0.229246,0.413331,0.244767,10.66814,
40,29.46189,1.469256,55.13364,2.17774,0.246958,0.413729,0.179731,10.91704,
42,29.50115,1.381396,55.15002,2.170338,0.296626,0.450293,0.304428,10.74575,
44,29.44327,1.317431,55.40785,2.156386,0.21725,0.385509,0.217435,10.85488,
46,29.71407,1.377072,55.07593,2.127627,0.21952,0.34114,0.270749,10.87389,
48,29.30821,1.570636,54.98543,2.251937,0.264341,0.437486,0.250057,10.93192,
50,29.32045,1.729811,54.9268,2.280099,0.242494,0.451244,0.24454,10.80455,
52,29.22459,1.80803,54.67046,2.28491,0.333132,0.410665,0.269934,10.99827,
54,29.18209,1.781216,54.88667,2.319196,0.307534,0.507887,0.239819,10.77557,
56,29.05019,1.833871,54.70273,2.246242,0.322856,0.489659,0.289025,11.06544,
58,29.21892,1.8197,54.60412,2.409255,0.328434,0.483182,0.167035,10.96937,
60,28.81613,2.176869,54.44984,2.427575,0.272495,0.552026,0.236738,11.06831,
62,28.61583,2.506754,54.02229,2.383432,0.410501,0.655636,0.200268,11.20529,
64,28.69753,2.584486,53.86273,2.340708,0.378967,0.692219,0.193817,11.24955,
66,28.80663,2.449042,54.12306,2.362498,0.344105,0.694349,0.303935,10.91639,
68,29.03103,2.118447,54.22099,2.25541,0.353566,0.510726,0.225153,11.28468,
70,29.21867,1.920269,54.65677,2.237049,0.272253,0.538514,0.216758,10.93972,
72,29.18541,1.884789,54.68964,2.254988,0.288268,0.487827,0.179519,11.02956,
74,29.26894,1.774116,54.62857,2.206631,0.331635,0.472426,0.235228,11.08246,
76,29.16104,1.927794,54.80795,2.220147,0.298052,0.410687,0.178758,10.99557,
78,29.37374,1.997114,54.63818,2.199458,0.291124,0.437924,0.200899,10.86157,
80,29.11683,1.889503,54.67779,2.268838,0.303581,0.514309,0.192543,11.03661,
82,29.14808,1.900651,54.83831,2.25396,0.231707,0.465163,0.243353,10.91878,
84,29.08508,1.915013,54.82127,2.253647,0.264182,0.541887,0.244154,10.87476,
86,29.32437,1.885021,54.70793,2.242796,0.28094,0.423977,0.266503,10.86849,
88,29.06692,2.071281,54.73307,2.22056,0.334976,0.478481,0.270465,10.82425,
90,29.09431,1.95146,54.62782,2.250693,0.298681,0.517798,0.18934,11.0699,
92,29.0023,2.037258,54.4979,2.270742,0.308389,0.504085,0.277058,11.10227,
94,22.3164,6.453608,53.17258,4.974921,1.033802,0.350213,0.220038,11.47844,
96,7.323333,13.40611,53.23923,11.33234,2.236455,0.059506,0.248198,12.15482,
98,7.24806,14.15751,53.51619,10.80568,2.151598,0.075095,0.251714,11.79415,
