Distance (µm),Mg Ox%,Al Ox%,Si Ox%,Ca Ox%,Ti Ox%,Cr Ox%,Mn Ox%,Fe Ox%,
0,6.217894,14.42534,53.93009,10.62524,2.467094,0.005068,0.159322,12.16993,
1.99999999999997,6.109798,14.23127,54.2989,10.63034,2.397864,0,0.179186,12.15265,
4,5.971729,14.40151,54.05319,10.74714,2.512707,0,0.216316,12.09742,
6.00000000000002,5.647409,14.30063,54.11856,10.92881,2.601329,0,0.212919,12.19035,
8,7.867301,13.1778,53.42439,10.44681,2.583546,0,0.219251,12.28089,
9.99999999999997,24.04588,4.59048,52.80606,4.71806,1.048481,0.220137,0.255888,12.31503,
12,28.09715,2.108893,54.28464,2.6133,0.390861,0.253591,0.147463,12.10411,
14,28.39764,1.768694,54.70456,2.344128,0.310943,0.218684,0.268267,11.98707,
16,28.40648,1.764536,54.75448,2.28445,0.326603,0.280732,0.233072,11.94964,
18,28.57929,1.801006,54.60934,2.31197,0.381004,0.22999,0.228817,11.85859,
20,28.8054,1.75024,54.58623,2.202974,0.283403,0.277719,0.276857,11.81718,
22,28.6738,1.822857,54.65063,2.187098,0.374632,0.277065,0.286424,11.72749,
24,28.68629,1.856819,54.52661,2.238147,0.321404,0.265578,0.252354,11.85281,
26,29.29747,1.869549,54.61016,2.145066,0.266928,0.242542,0.311546,11.25675,
28,29.49604,2.199323,54.58365,2.273278,0.254675,0.569224,0.206965,10.41684,
30,30.2159,2.326883,54.75816,2.168386,0.221004,0.58469,0.256603,9.468384,
32,30.66351,2.095087,54.92575,2.147576,0.252433,0.63556,0.204702,9.075371,
34,30.57118,2.046463,55.18539,2.054085,0.209349,0.652864,0.152661,9.127995,
36,30.53242,1.983533,55.04544,2.26221,0.191704,0.671476,0.21327,9.099928,
38,30.57395,2.03326,54.9948,2.24791,0.24583,0.651364,0.220789,9.032096,
40,30.5801,2.001636,55.21821,2.057828,0.189708,0.587231,0.20369,9.161593,
42,30.61052,2.018364,55.22853,2.102941,0.217488,0.681072,0.185269,8.955828,
44,30.64417,2.007624,55.10986,2.076375,0.24279,0.738951,0.202927,8.977308,
46,30.60148,2.04696,55.22631,2.027128,0.293218,0.666572,0.189078,8.949251,
48,30.7887,2.053446,55.14444,2.079051,0.265857,0.682654,0.139643,8.846206,
50,30.89833,1.983153,55.1062,2.016371,0.229765,0.628317,0.164216,8.973648,
52,30.92933,2.078148,55.19188,2.050581,0.182741,0.643589,0.244239,8.679505,
54,30.93765,1.944956,55.21488,1.933182,0.173313,0.774346,0.200738,8.820937,
56,30.99383,1.892433,55.36188,1.828929,0.242941,0.697282,0.251007,8.731688,
58,31.07484,1.87964,55.25613,1.840253,0.216138,0.666013,0.118678,8.948311,
60,31.30774,1.611117,55.71164,1.765233,0.20373,0.592693,0.164042,8.643808,
62,31.1573,1.538293,55.88947,1.813505,0.18484,0.526045,0.114301,8.77625,
64,31.23134,1.498744,55.82608,1.794046,0.174689,0.562599,0.185555,8.726943,
66,31.24044,1.545257,55.42813,1.777676,0.223924,0.646072,0.237507,8.90099,
68,31.0617,1.580503,55.69476,1.714133,0.131343,0.664655,0.202102,8.950796,
70,31.07404,1.634751,55.461,1.697758,0.153354,0.61682,0.157801,9.204478,
72,31.00824,1.619736,55.30761,1.76855,0.199594,0.628113,0.166037,9.302112,
74,30.84235,1.57204,55.51823,1.64491,0.227052,0.617317,0.233275,9.344834,
76,30.79924,1.531105,55.50792,1.765172,0.205748,0.569859,0.236481,9.384473,
78,30.53364,1.694071,55.19818,1.773339,0.197479,0.604053,0.194444,9.804802,
80,30.2498,1.85735,55.16931,1.920355,0.199805,0.509566,0.220329,9.873488,
82,29.99813,1.866154,55.08393,2.1663,0.245492,0.529606,0.223523,9.886853,
84,29.76624,1.961513,55.09637,2.179646,0.345734,0.504335,0.229581,9.916574,
86,29.77901,1.909246,54.89334,2.270851,0.254692,0.518104,0.248723,10.12603,
88,29.70468,1.925929,54.99722,2.265183,0.250292,0.444291,0.218759,10.19364,
90,29.52168,1.948247,55.05467,2.216263,0.345829,0.414177,0.213203,10.28594,
92,29.70272,2.123236,54.6559,2.286898,0.213895,0.448579,0.235501,10.33328,
94,29.56154,2.230806,54.6272,2.274739,0.330003,0.430908,0.231988,10.31281,
96,29.63609,2.071805,54.67146,2.235259,0.332957,0.423562,0.178866,10.45001,
98,29.45372,2.025189,54.80687,2.309512,0.356309,0.360453,0.295163,10.39279,
100,29.62281,2.039131,54.66267,2.296197,0.286047,0.471285,0.224778,10.39708,
102,29.55718,1.937105,54.75154,2.294179,0.284516,0.517343,0.244071,10.41407,
104,29.39159,1.998684,54.90266,2.19701,0.32492,0.537411,0.229038,10.4187,
106,29.51333,2.017378,54.92722,2.254052,0.303914,0.414204,0.190632,10.37927,
108,29.67213,1.959523,54.63305,2.228513,0.292056,0.50348,0.18106,10.5302,
110,29.64594,2.005535,54.69825,2.28615,0.201377,0.394814,0.249155,10.51878,
