Distance (µm),Mg Ox%,Al Ox%,Si Ox%,Ca Ox%,Ti Ox%,Cr Ox%,Mn Ox%,Fe Ox%,
0,31.13416,1.150242,55.90897,1.699782,0.180333,0.424853,0.118009,9.383642,
2,31.08492,1.063243,56.09784,1.573984,0.111625,0.376369,0.270652,9.421353,
4.00000000000001,31.27073,0.973392,55.89172,1.611676,0.137864,0.358776,0.189198,9.566646,
6.00000000000001,31.09447,1.212216,56.01779,1.599636,0.164286,0.40281,0.195281,9.313519,
8.00000000000001,30.82689,1.500892,55.50234,1.701345,0.180527,0.451046,0.262366,9.574603,
10,31.77943,1.515779,55.82665,1.528745,0.154544,0.44922,0.220352,8.525291,
12,28.84538,1.357853,51.28618,2.238033,0.280846,0.876349,0.355093,14.76027,
14,30.64372,1.46472,55.59542,1.675418,0.205193,0.453091,0.18941,9.773024,
16,30.71324,1.424371,55.54932,1.625634,0.182673,0.514402,0.238639,9.751703,
18,30.85126,1.442864,55.32172,1.625643,0.158675,0.621008,0.180827,9.798001,
20,30.76756,1.462291,55.44973,1.593149,0.162186,0.612456,0.190754,9.761875,
22,31.05008,1.14966,55.63255,1.608974,0.189402,0.397481,0.240978,9.730884,
24,31.03071,1.09473,55.901,1.622453,0.186511,0.398562,0.230083,9.535954,
26,31.03146,1.138132,55.53128,1.692331,0.171003,0.444792,0.180085,9.81091,
28,30.66677,1.338027,55.69432,1.76273,0.130572,0.453806,0.300847,9.652916,
30,30.36329,1.999714,54.9203,1.650168,0.344712,0.695192,0.175462,9.851154,
32,29.87786,2.718894,54.49821,1.693704,0.36254,0.609814,0.202434,10.03655,
34,29.65897,3.337012,53.92268,1.812327,0.398373,0.475545,0.165648,10.22944,
36,29.40336,3.640846,53.82842,1.817133,0.420933,0.343437,0.250704,10.29516,
38,29.71713,3.260565,53.88723,1.802309,0.394277,0.355165,0.171943,10.41138,
40,29.99226,2.240927,54.73319,1.898032,0.320266,0.358788,0.210368,10.24617,
42,29.65983,1.935691,54.95838,2.030336,0.34816,0.277985,0.250052,10.53956,
44,29.64083,1.812337,54.77939,2.16804,0.273314,0.480051,0.18707,10.65896,
46,29.5351,1.636401,54.94143,2.136037,0.290679,0.419334,0.184128,10.85689,
48,29.3902,1.797887,54.79549,2.26537,0.294282,0.447985,0.194868,10.8139,
50,29.30472,1.949176,54.79976,2.166062,0.221618,0.493767,0.221889,10.84302,
52,29.29515,1.901857,54.77532,2.228863,0.213114,0.414617,0.237635,10.93345,
54,29.49074,1.921985,54.53424,2.171436,0.266024,0.45529,0.20131,10.95898,
56,29.17655,1.896706,54.56615,2.202502,0.34385,0.43944,0.23406,11.14075,
58,29.14728,1.887511,54.61803,2.208569,0.265933,0.46034,0.224966,11.18737,
60,29.28326,1.870295,54.67467,2.167855,0.252617,0.464711,0.232394,11.05419,
62,29.07399,1.89665,54.5848,2.274788,0.294094,0.487046,0.262936,11.12572,
64,29.20331,1.996327,54.56134,2.26586,0.296334,0.47815,0.259558,10.93913,
66,29.31336,1.984939,54.7724,2.180947,0.289661,0.446275,0.223922,10.78851,
68,29.28656,1.966705,54.38393,2.238785,0.36543,0.526584,0.242902,10.98911,
70,29.17497,1.867775,54.50262,2.203197,0.344136,0.434858,0.274356,11.1981,
72,29.02405,1.900976,54.84543,2.22489,0.338341,0.456695,0.291534,10.9181,
74,29.20263,1.975761,54.57149,2.156412,0.274556,0.470788,0.229329,11.11903,
76,29.25644,2.039742,54.41418,2.238088,0.344102,0.481985,0.159627,11.06582,
78,29.25543,1.884477,54.51921,2.260582,0.307151,0.479755,0.26492,11.02847,
80,29.1473,2.016516,54.35516,2.176081,0.323904,0.453224,0.319177,11.20862,
82,29.2017,1.877924,54.55301,2.237508,0.327102,0.449679,0.17451,11.17856,
84,29.37207,1.839863,54.73906,2.204359,0.305092,0.440128,0.226621,10.8728,
86,29.2454,2.003715,54.39447,2.205729,0.33493,0.466724,0.167273,11.18176,
88,29.24474,1.937223,54.60543,2.221948,0.232811,0.534438,0.230407,10.99302,
90,29.35984,1.859237,54.71914,2.245749,0.293784,0.452287,0.221893,10.84807,
92,29.33151,1.91308,54.57894,2.226359,0.230835,0.410711,0.292089,11.01648,
94,29.19624,1.907964,54.85309,2.24975,0.325298,0.421609,0.24688,10.79917,
96,29.27111,1.852165,54.83639,2.21533,0.259478,0.404025,0.26217,10.89934,
98,29.27748,1.964924,54.62497,2.215279,0.227615,0.438276,0.202064,11.04939,
100,29.30981,1.893612,54.80719,2.173439,0.276137,0.424509,0.259564,10.85574,
102,29.22575,1.875901,54.67462,2.214142,0.348904,0.445863,0.16065,11.05417,
104,29.40859,1.907262,54.50987,2.151245,0.297096,0.455824,0.2619,11.00822,
106,29.23351,1.894807,54.69148,2.145103,0.305645,0.442869,0.208495,11.07809,
108,29.43588,1.868084,54.63235,2.178024,0.288255,0.340649,0.226104,11.03065,
110,29.2648,1.894353,54.65334,2.26539,0.363649,0.417722,0.29797,10.84276,
112,29.35178,1.9384,54.51341,2.229073,0.297191,0.480618,0.155605,11.03392,
114,29.27732,1.923934,54.66388,2.250083,0.329842,0.433158,0.229315,10.89246,
116,29.38938,1.929321,54.72914,2.205083,0.257858,0.446733,0.152928,10.88956,
118,29.55905,1.884889,54.57274,2.249048,0.267699,0.394831,0.173674,10.89807,
120,29.39481,1.891852,54.76143,2.233898,0.240617,0.450466,0.214462,10.81247,
122,29.27864,1.839715,54.77553,2.182671,0.328951,0.382137,0.215433,10.99693,
124,29.45184,1.891823,54.69314,2.18882,0.330983,0.458441,0.25289,10.73206,
126,29.42262,1.8933,54.87836,2.202734,0.301588,0.349763,0.208128,10.7435,
128,28.90785,2.243472,54.93491,2.29371,0.329112,0.396817,0.209409,10.68472,
