Distance (µm),Mg Ox%,Al Ox%,Si Ox%,Ca Ox%,Ti Ox%,Cr Ox%,Mn Ox%,Fe Ox%,
0,30.60213,2.194493,55.29861,2.21577,0.215484,0.771694,0.069692,9.089576,
2.00000000000001,30.77394,2.131192,55.30034,2.21753,0.236815,0.675881,0.191563,9.33119,
3.99999999999999,30.85397,2.181774,55.25064,2.146986,0.237753,0.779414,0.285503,9.307714,
6.00000000000001,30.77832,2.128598,55.48771,2.155306,0.241424,0.813656,0.214037,9.19246,
7.99999999999999,30.69013,2.251116,55.36042,2.125146,0.207996,0.773849,0.227249,9.181069,
10,30.67669,2.102342,55.14616,2.123582,0.189052,0.753511,0.23798,9.075313,
12,30.55488,2.031273,55.36251,2.16012,0.187633,0.706604,0.197957,9.102171,
14,30.941,1.894384,55.22439,2.157421,0.231486,0.573805,0.224972,9.311971,
16,30.80358,1.897645,55.28013,2.293983,0.20469,0.6054,0.199234,9.151065,
18,30.80936,1.904717,55.44621,2.256702,0.252958,0.519331,0.210223,9.187278,
20,31.09415,1.705955,55.99006,2.240012,0.235548,0.48969,0.224346,9.373813,
22,30.92053,1.866302,55.63887,2.214154,0.203518,0.549157,0.18506,9.236917,
24,31.07999,1.76731,55.58989,2.143777,0.27551,0.59395,0.197814,9.363633,
26,30.93297,1.878621,55.66746,2.146568,0.207867,0.553959,0.18325,9.250233,
28,30.8778,2.134267,55.65013,2.203476,0.223775,0.705482,0.223151,9.162023,
30,30.88271,2.172563,55.44379,2.125243,0.137738,0.714352,0.192162,9.159709,
32,31.13608,2.119325,55.40153,2.129022,0.222924,0.661925,0.186435,9.274573,
34,31.03953,2.062368,55.45665,2.093595,0.213917,0.675176,0.174231,9.157186,
36,30.995,2.008962,55.35773,2.203662,0.161798,0.697648,0.185467,9.057658,
38,31.08143,1.919472,56.07138,2.191724,0.252351,0.594316,0.205049,9.188739,
40,31.21569,2.039508,55.6326,2.127759,0.237154,0.581563,0.228881,9.255144,
42,30.69276,2.101496,55.31697,2.210181,0.259783,0.665634,0.252746,9.094318,
44,30.95539,2.035582,55.67297,2.227456,0.22133,0.592252,0.240043,9.194285,
46,30.92433,2.166329,55.61848,2.304698,0.208909,0.602291,0.235769,9.248407,
48,30.85879,2.088791,55.7058,2.243239,0.208516,0.696831,0.162764,9.214377,
50,30.89718,2.063903,55.52802,2.322747,0.206085,0.656673,0.162237,9.29458,
52,31.00716,2.116033,55.73581,2.19663,0.195166,0.579735,0.22633,9.337168,
54,30.81652,2.092649,55.62406,2.239512,0.257379,0.667894,0.200127,9.462433,
56,30.81978,2.139649,55.42834,2.272528,0.224608,0.641187,0.181246,9.292877,
58,30.82833,2.097424,55.51483,2.310436,0.162201,0.599172,0.214937,9.33844,
60,30.71765,2.040179,55.4278,2.300996,0.247952,0.594731,0.174542,9.375085,
62,30.81763,2.120735,55.55824,2.278352,0.269372,0.613142,0.219632,9.317295,
64,30.96455,2.074405,55.48656,2.254118,0.264592,0.689053,0.233874,9.422905,
66,30.69963,2.115578,55.41684,2.297548,0.247135,0.644681,0.240895,9.383475,
68,30.81253,2.054785,55.58073,2.230067,0.243955,0.622275,0.185908,9.008886,
70,30.9173,2.212639,55.54332,2.25674,0.308561,0.805469,0.169509,9.265244,
72,30.53282,2.251952,55.32196,2.410972,0.241412,0.754634,0.137631,9.518432,
74,29.60302,2.43581,54.52076,2.592345,0.295977,0.650955,0.204117,9.736978,
76,29.10508,2.562582,54.20383,2.907055,0.258588,0.583301,0.233988,10.15845,
78,28.75382,2.62595,54.37139,2.819598,0.37522,0.575986,0.182283,10.87465,
80,28.74405,2.346671,54.41665,2.63114,0.352404,0.470417,0.186091,11.25424,
82,28.86213,2.030127,54.78225,2.353983,0.37298,0.353342,0.227333,11.79143,
84,28.96756,1.961123,54.67884,2.261649,0.33573,0.347838,0.225637,12.14542,
86,28.59422,1.985539,54.64629,2.117554,0.37568,0.283159,0.201596,12.08676,
88,28.6303,1.793411,54.25016,2.197237,0.28408,0.229261,0.283459,11.97933,
90,28.50735,1.894504,54.36772,2.189004,0.309974,0.281375,0.229362,11.97749,
92,28.36713,1.958132,54.07835,2.19715,0.398605,0.218892,0.283153,12.14849,
94,28.09762,1.836203,53.82398,2.303987,0.336166,0.258603,0.296363,11.9435,
96,24.32404,2.367736,52.01143,4.822927,0.498249,0.24573,0.283156,11.88686,
97.9999999999999,20.253,3.027604,51.00668,10.3818,0.758042,0.38608,0.272141,10.82679,
100,16.6493,5.482945,49.43728,12.68739,1.207613,0.272378,0.264631,10.57446,
102,7.815774,11.52956,49.86847,10.83069,1.88424,0.049043,0.203031,10.29385,
104,5.6939,13.6541,50.83761,9.906171,2.069697,0.023809,0.188583,10.98926,
