Distance (µm),Al Ox%,Mg Ox%,Si Ox%,Ca Ox%,Ti Ox%,Cr Ox%,Mn Ox%,Fe Ox%,
0,14.72538,7.024776,54.6569,10.40479,2.08044,0.028938,0.234159,11.1873,
2,14.65529,6.84296,54.75947,10.39975,2.146116,0.110916,0.257282,11.05201,
3.99999999999999,14.84295,6.828868,54.1279,10.40788,2.162821,0.043165,0.200242,11.36049,
5.99999999999999,13.94517,8.742924,54.73563,9.862631,1.978808,0.061611,0.207156,11.47458,
8.00000000000001,3.094518,29.95528,59.93941,2.781047,0.408232,0.356038,0.248673,12.08038,
10,1.904198,30.67351,57.91598,2.372668,0.329741,0.41041,0.272633,12.13825,
12,1.83528,30.56625,57.64874,2.300809,0.362187,0.486758,0.228266,11.95751,
14,1.878206,30.23699,57.24368,2.314627,0.342596,0.353508,0.252174,11.83304,
16,1.871912,30.50216,57.74236,2.218654,0.344391,0.422174,0.238829,11.91888,
18,1.878093,29.96187,56.8097,2.367115,0.324096,0.426766,0.261431,11.93794,
20,2.051042,30.41476,57.11705,2.307968,0.368666,0.422226,0.242163,11.96408,
22,2.149564,30.17035,56.66192,2.346575,0.343247,0.547692,0.193672,11.84065,
24,2.298558,29.81631,56.69105,2.453367,0.313918,0.570933,0.244617,11.95812,
26,2.268821,29.98552,56.47571,2.369132,0.392067,0.491576,0.234855,11.96504,
28,2.12576,30.1087,56.60635,2.361811,0.352254,0.560623,0.228924,12.21611,
30,1.908543,30.03384,56.48167,2.350972,0.375557,0.461073,0.323452,11.97935,
32,1.891003,30.26156,57.01615,2.266387,0.304007,0.442097,0.258747,12.02535,
34,1.786093,30.02164,56.86355,2.269637,0.293594,0.431072,0.28684,12.03289,
36,1.911095,29.90234,56.47724,2.193284,0.334744,0.388478,0.213328,12.05176,
38,1.724343,29.72784,56.46768,2.213099,0.353121,0.426385,0.300852,11.89625,
40,1.819967,30.00785,56.65873,2.242581,0.325655,0.287489,0.21857,11.93715,
42,1.927918,30.1067,56.25318,2.322313,0.315998,0.389959,0.271505,12.08844,
44,1.933355,30.02233,56.62423,2.362808,0.325595,0.372832,0.291457,11.9733,
46,1.981872,29.87698,56.27295,2.33347,0.342955,0.402622,0.216225,11.98225,
48,2.066975,29.86449,56.47778,2.347261,0.354612,0.450024,0.258215,11.98909,
50,2.094857,29.76027,56.09872,2.326297,0.372847,0.503378,0.229092,12.16373,
52,1.984107,29.95514,56.621,2.304478,0.299549,0.412421,0.267449,11.79937,
54,1.858658,29.88836,56.58047,2.282645,0.324793,0.387945,0.27663,11.88325,
56,1.872213,30.01861,56.51533,2.318003,0.269092,0.394878,0.257251,11.72301,
58,1.806649,29.98866,56.98203,2.340668,0.289484,0.355848,0.18761,11.82305,
60,1.86108,30.09629,56.40223,2.259174,0.261652,0.443904,0.230706,11.68314,
62,1.934654,29.71388,56.37724,2.26917,0.370391,0.4135,0.267195,11.62402,
64,1.868009,29.98544,56.17803,2.334313,0.254865,0.376876,0.203186,11.55699,
66,1.807856,29.97629,56.05781,2.309533,0.271949,0.38029,0.217551,11.72095,
68,1.889872,29.91902,56.45512,2.354035,0.279169,0.384568,0.26656,11.86205,
70,1.917534,30.1786,56.35628,2.174159,0.289366,0.382471,0.325426,11.6551,
72,1.988536,29.93834,56.26364,2.277759,0.263277,0.395945,0.226876,11.61141,
74,1.951304,29.88794,56.19141,2.38405,0.220714,0.426765,0.212946,11.61226,
76,1.922574,29.91494,56.40634,2.282455,0.313583,0.392043,0.299258,11.72607,
78,1.934673,29.87154,56.15688,2.31144,0.273619,0.442637,0.225348,11.62837,
80,1.95807,29.79422,56.34526,2.270448,0.35445,0.427248,0.24885,11.52027,
82,1.975234,29.90391,56.06102,2.377091,0.298068,0.47751,0.298405,11.46566,
84,2.040905,29.75283,55.96858,2.414277,0.284966,0.550242,0.250219,11.47713,
86,2.180891,29.69083,56.00542,2.337284,0.33444,0.642467,0.242961,11.37533,
88,2.023844,29.91395,55.91635,2.362008,0.351782,0.616014,0.224908,11.55883,
90,2.256817,29.55651,55.83131,2.455126,0.320544,0.621798,0.201523,11.60523,
92,2.058722,29.68823,55.8319,2.312201,0.300052,0.463461,0.303816,11.38184,
94,1.580981,29.9854,56.26944,2.283355,0.300918,0.332385,0.257552,11.34555,
96,1.612485,30.03749,56.38865,2.287117,0.259503,0.368314,0.231963,11.22087,
98,1.565831,30.13489,56.23526,2.261811,0.281267,0.385443,0.252646,11.24616,
100,1.532197,30.22947,56.07473,2.278909,0.244879,0.410315,0.132982,11.30506,
102,1.655282,30.37649,56.27462,2.262433,0.334087,0.341161,0.278999,11.30695,
104,1.675719,30.13682,56.21558,2.252015,0.179414,0.335627,0.248601,11.23788,
106,1.833867,30.1375,56.38229,2.332814,0.277415,0.424735,0.274133,11.24718,
108,1.900066,30.07581,56.3264,2.295746,0.249218,0.440928,0.232977,11.23363,
110,1.851196,29.90881,56.0873,2.349015,0.241585,0.394798,0.183955,11.34521,
112,1.843986,29.93752,56.17785,2.239316,0.357555,0.30626,0.212195,11.13048,
114,1.877346,30.02118,55.91446,2.314341,0.255117,0.466952,0.266529,11.01384,
116,1.796797,30.25697,56.10379,2.215041,0.305738,0.418423,0.225279,11.08764,
118,1.804454,30.1763,56.30363,2.201609,0.284673,0.433538,0.224661,11.02318,
120,1.763986,30.25523,56.2848,2.265123,0.280293,0.383858,0.240734,11.24198,
122,1.750785,30.27147,56.10281,2.252732,0.276328,0.43032,0.284279,11.04206,
124,1.795434,30.30689,56.27552,2.295037,0.244807,0.435316,0.280416,10.9938,
126,1.709796,30.45437,55.96763,2.223118,0.254489,0.417716,0.239055,10.8861,
128,1.74537,30.35596,56.28775,2.172714,0.161143,0.446638,0.215826,11.04563,
130,1.837869,30.30959,56.12325,2.172935,0.317355,0.38499,0.270048,10.83309,
132,1.907398,30.36827,56.2468,2.189924,0.281413,0.389729,0.250571,10.97382,
134,1.909924,30.32266,56.19718,2.108573,0.299723,0.507752,0.196041,10.80134,
136,1.9229,30.44978,55.87228,2.116226,0.282067,0.490295,0.263685,10.99653,
138,1.81433,30.68507,56.03701,2.021174,0.221423,0.511029,0.199191,10.97548,
140,2.010048,30.26386,55.94075,1.982499,0.254349,0.545313,0.19662,10.34776,
142,1.916744,30.42007,55.77209,1.926075,0.231088,0.575264,0.187042,10.66667,
144,1.910829,30.65396,55.87456,1.975084,0.326021,0.581862,0.307193,10.60179,
146,1.926501,30.59819,55.85548,1.948411,0.263168,0.535505,0.227911,10.6751,
148,1.7272,30.77559,56.40413,1.878457,0.22462,0.503228,0.264822,10.43662,
150,1.477151,30.69728,56.55952,1.939502,0.211521,0.476602,0.12887,10.51736,
152,1.406111,31.04155,56.75391,1.890471,0.226624,0.399566,0.204229,10.53924,
154,1.481143,31.04964,56.64013,1.898287,0.22848,0.371731,0.233433,10.5251,
156,1.420528,31.07752,56.65915,1.969827,0.139529,0.374,0.223888,10.47683,
158,1.509284,31.06196,56.50115,1.861153,0.244943,0.350314,0.238073,10.37816,
160,1.429183,31.0893,56.5361,1.861239,0.197267,0.410848,0.205613,10.53629,
