Distance (µm),Al Ox%,Mg Ox%,Si Ox%,Ca Ox%,Ti Ox%,Cr Ox%,Mn Ox%,Fe Ox%,
162,1.420062,30.93855,56.60325,1.948685,0.17166,0.413407,0.247635,10.45221,
164,1.417823,31.00846,56.47356,1.867637,0.212437,0.422096,0.270125,10.29259,
166,1.494719,31.1537,56.53011,1.890411,0.220354,0.438037,0.276625,10.38205,
168,1.410446,31.07707,56.48989,1.900968,0.198654,0.362135,0.275697,10.44841,
170,1.422512,30.91379,56.25071,1.947959,0.236877,0.430837,0.261612,10.39174,
172,1.469649,30.82295,56.2789,1.844258,0.231909,0.395808,0.194292,10.40353,
174,1.43974,31.04224,56.54384,1.840437,0.221809,0.415356,0.258888,10.24603,
176,1.445753,30.95465,55.98186,1.86399,0.256869,0.504923,0.274433,10.32482,
178,1.352744,30.86227,56.64735,1.920371,0.183994,0.437883,0.172335,10.397,
180,1.475841,31.02552,56.46849,1.917413,0.161991,0.42692,0.232061,10.36923,
182,1.468333,30.89156,56.50077,1.871445,0.191863,0.329835,0.242281,10.44204,
184,1.395522,30.92015,56.34399,1.857049,0.225821,0.344389,0.230972,10.1558,
186,1.486179,31.14605,56.63064,1.90263,0.257867,0.419332,0.297678,10.3291,
188,1.45997,30.88403,56.2516,1.862496,0.228662,0.42169,0.22474,10.28944,
190,1.438902,30.92011,56.32766,1.874692,0.198473,0.390481,0.298207,10.47604,
192,1.476378,30.73605,56.30757,1.852279,0.162935,0.399277,0.243492,10.17937,
194,1.506237,30.95662,56.76093,1.889137,0.202217,0.429245,0.213043,10.27275,
196,1.375856,30.84787,56.44302,1.880877,0.180849,0.358955,0.238887,10.42289,
198,1.456938,30.89939,56.08057,1.904429,0.182132,0.333195,0.181845,10.24522,
200,1.354376,31.02693,56.28531,1.839953,0.220874,0.431835,0.217438,10.37746,
202,1.432618,30.95929,56.07602,1.856664,0.209592,0.372624,0.240572,10.44225,
204,1.352929,30.96386,56.30679,1.883466,0.148287,0.56571,0.222572,10.29291,
206,1.477772,30.92867,56.0514,1.916333,0.208258,0.331422,0.16445,10.41403,
208,1.421584,30.97522,56.1968,1.868212,0.313961,0.424894,0.240293,10.45597,
210,1.4797,30.89431,56.31608,1.804021,0.270205,0.350241,0.270976,10.43691,
212,1.406312,30.89986,56.40486,1.930773,0.229066,0.397783,0.289315,10.34762,
214,1.379884,30.83669,56.37025,1.832881,0.168503,0.458779,0.230633,10.41316,
216,1.399022,30.93261,56.18522,1.925688,0.195767,0.412558,0.191103,10.45452,
218,1.451832,30.91056,56.44713,1.861198,0.233738,0.419587,0.170493,10.23338,
220,1.475626,30.74566,56.08147,1.855122,0.217102,0.342855,0.270424,10.34444,
222,1.45396,30.61671,56.24872,1.836546,0.218721,0.423772,0.183431,10.40724,
224,1.50648,30.90415,56.17856,1.849075,0.295334,0.41115,0.206879,10.42699,
226,1.355256,30.89984,56.03849,1.866257,0.259774,0.414179,0.26405,10.5169,
228,1.399654,30.67241,56.47437,1.889662,0.215192,0.469343,0.226525,10.32306,
230,1.400949,30.72546,56.30682,1.913913,0.218211,0.360626,0.191993,10.38314,
232,1.382411,30.77041,56.14668,1.815096,0.137231,0.300494,0.265225,10.49543,
234,1.39931,30.74163,55.92533,1.86334,0.201272,0.396283,0.165639,10.51197,
236,1.390288,30.80853,56.33759,1.818657,0.186596,0.378943,0.190242,10.58626,
238,1.355245,30.78954,56.12553,1.861527,0.243454,0.37694,0.226238,10.42534,
240,1.401578,30.74198,55.81615,1.835805,0.28207,0.441194,0.202923,10.68921,
242,1.414813,30.61096,56.16143,1.866878,0.188184,0.403627,0.220436,10.63772,
244,1.480101,30.58426,56.01142,1.864333,0.17819,0.383775,0.206515,10.5118,
246,1.391478,30.96837,56.29547,1.862952,0.234951,0.426374,0.182763,10.48516,
248,1.537902,30.6698,55.97119,1.896052,0.255231,0.462252,0.273253,10.60929,
250,1.458446,31.02599,56.16476,1.843954,0.229644,0.505217,0.204284,10.49692,
252,1.46496,30.67921,56.13383,1.854115,0.269075,0.374628,0.175026,10.40764,
254,1.507032,30.58363,55.81185,1.851266,0.143759,0.413437,0.265449,10.34482,
256,1.518593,30.60543,56.03952,1.891572,0.197819,0.388977,0.219293,10.50784,
258,1.488091,30.56723,56.03377,1.885962,0.211502,0.370037,0.208692,10.48436,
260,1.396648,30.40452,56.27322,1.927711,0.155738,0.381795,0.20054,10.39748,
262,1.462088,30.49897,55.86885,1.872686,0.198302,0.365751,0.236288,10.58758,
264,1.437049,30.72292,55.70649,1.908692,0.200725,0.426383,0.20439,10.6205,
266,1.458996,30.66208,55.91604,1.840234,0.232863,0.374628,0.269343,10.28882,
268,1.395571,30.80652,55.83031,1.834307,0.191389,0.361142,0.344447,10.51476,
270,1.496562,30.47785,55.93866,1.888861,0.254732,0.427281,0.194888,10.49854,
272,1.510589,30.4994,55.88564,1.919826,0.209875,0.49273,0.234126,10.59936,
274,1.520151,30.50194,56.03637,1.913857,0.325071,0.492416,0.187186,10.59818,
276,1.576084,30.62206,55.87195,1.962909,0.157287,0.365633,0.242365,10.54425,
278,1.526528,30.64048,55.56685,1.905403,0.196203,0.434914,0.216128,10.76979,
280,1.685888,30.47411,55.35553,1.923162,0.2142,0.474376,0.252347,10.73648,
282,1.679522,30.20294,55.48974,1.962742,0.253148,0.56947,0.164276,10.36175,
284,1.726675,30.22061,55.22711,1.96348,0.317033,0.506939,0.181075,10.6614,
286,1.713916,30.50981,55.4651,1.945753,0.229238,0.445064,0.294098,10.57646,
288,1.476995,30.32263,55.35703,1.869723,0.224321,0.466999,0.269304,10.41404,
290,1.472456,30.48161,55.87524,1.933843,0.203167,0.478544,0.226133,10.49631,
292,1.373335,30.50597,55.87909,1.942801,0.23416,0.406389,0.25077,10.63174,
294,1.471037,30.52515,55.60221,1.901854,0.227938,0.397781,0.201936,10.56543,
296,1.381112,30.63199,55.74247,1.873922,0.24301,0.418547,0.226743,10.58586,
