Distance (µm),Mg Ox%,Si Ox%,Ca Ox%,Mn Ox%,Fe Ox%,Ni Ox%,
190,46.31923,39.70447,0.231677,0.145109,12.64382,0.448169,
192,46.45686,39.68812,0.205042,0.227445,12.87869,0.356111,
194,46.37004,39.84249,0.213011,0.201861,12.63644,0.349815,
196,46.34655,39.8487,0.202664,0.191841,12.44885,0.417231,
198,46.16091,39.56505,0.230435,0.174991,12.64287,0.280769,
200,46.46909,39.62965,0.212867,0.129768,12.8441,0.475984,
202,45.99625,39.57501,0.223132,0.186243,12.67983,0.255615,
204,45.96165,39.57253,0.238798,0.210107,12.50235,0.349712,
206,46.0894,39.27312,0.235708,0.119512,12.5777,0.400777,
208,46.01178,39.43166,0.235424,0.193512,12.59892,0.400982,
210,46.42075,39.58941,0.199401,0.170711,12.72695,0.295563,
212,45.90239,39.01657,0.242673,0.136522,12.61871,0.312732,
214,46.10889,39.65151,0.224218,0.22445,12.54003,0.309128,
216,46.58366,39.537,0.224064,0.162978,12.61544,0.449306,
218,46.57436,39.79652,0.240627,0.259491,12.5871,0.303402,
220,46.6091,39.93374,0.216716,0.161293,12.59354,0.452834,
222,46.17111,39.74936,0.2296,0.169808,12.6783,0.362055,
224,45.98611,39.45403,0.196105,0.270292,12.62507,0.402664,
226,46.39847,39.53982,0.258106,0.248196,12.70277,0.416296,
228,46.10902,39.37254,0.247911,0.215749,12.68969,0.316668,
230,46.03283,39.45213,0.158517,0.1985,12.60192,0.455017,
232,46.0735,40.15004,0.210007,0.171711,12.53152,0.2776,
234,46.26715,39.31746,0.218171,0.210186,12.71703,0.364828,
236,46.00483,39.38778,0.163582,0.152065,12.59404,0.320913,
238,45.79004,39.23005,0.259862,0.163404,12.72283,0.377723,
240,45.85159,39.33571,0.232775,0.174164,12.68604,0.386104,
242,45.93546,39.32093,0.230715,0.097888,12.67137,0.250401,
244,46.04497,39.22804,0.202416,0.195674,12.73884,0.288176,
246,45.86736,39.31608,0.235678,0.256718,12.58332,0.352321,
248,46.0137,39.24319,0.235076,0.173261,12.59636,0.397405,
250,45.90902,39.28893,0.239984,0.071516,12.74986,0.366966,
252,45.69127,39.2656,0.226898,0.191924,12.43206,0.25887,
254,45.66521,39.13519,0.226956,0.140014,12.41392,0.456826,
256,45.88782,39.20315,0.204731,0.204029,12.67572,0.305711,
258,45.86703,39.10598,0.246084,0.177194,12.52655,0.381582,
260,45.80661,39.15416,0.199911,0.206441,12.6466,0.322073,
262,45.73452,39.2708,0.309023,0.170115,12.55778,0.358654,
264,45.81938,39.35651,0.230949,0.193995,12.6237,0.448779,
266,45.93325,38.95411,0.246002,0.113954,12.62694,0.355526,
268,45.69001,38.91974,0.227424,0.184511,12.61624,0.381796,
270,45.74584,39.14217,0.172847,0.18335,12.65352,0.43418,
272,45.78115,39.13015,0.239865,0.22512,12.7459,0.415223,
274,45.62705,39.40928,0.182687,0.162592,12.7315,0.446031,
276,45.85255,40.41629,0.226744,0.170103,12.35854,0.311339,
278,45.45676,39.05516,0.243514,0.14116,12.42784,0.403596,
280,45.92418,39.1624,0.233712,0.187241,12.6985,0.367553,
282,45.8778,39.40606,0.231194,0.146326,12.72254,0.349746,
284,45.57356,39.19769,0.226648,0.218342,12.61322,0.420574,
286,45.72784,39.48805,0.252241,0.139255,12.7242,0.334978,
288,45.57593,38.91275,0.232973,0.222007,12.62141,0.242548,
290,45.44505,38.98104,0.194531,0.198896,12.55724,0.353844,
292,45.58067,38.96211,0.196529,0.209827,12.64077,0.409635,
294,45.44664,38.90875,0.187751,0.111208,12.65278,0.422702,
