Distance (µm),Mg Ox%,Al Ox%,Si Ox%,Ca Ox%,Fe Ox%,Ti Ox%,Cr Ox%,Mn Ox%,
144,28.85676,1.852398,55.23635,2.142007,12.10705,0.284358,0.477407,0.254219,
146,29.20918,1.894949,55.27808,2.151897,12.23309,0.281126,0.420982,0.262566,
148,28.92785,1.775234,54.99165,2.144058,12.14135,0.341373,0.424229,0.243555,
150,28.97589,1.803309,55.1218,2.119937,12.13337,0.303534,0.436383,0.255092,
152,28.94193,1.823239,55.27752,2.066857,12.12455,0.314689,0.455937,0.222709,
154,29.08904,1.902723,55.00908,2.167782,12.19561,0.277722,0.387308,0.277737,
156,28.90314,1.772379,55.07187,2.056249,12.24895,0.24905,0.361389,0.234749,
158,28.87154,1.91049,55.09261,2.065024,12.32464,0.262948,0.443753,0.24092,
160,28.87951,1.862704,55.15646,2.122772,12.41245,0.247887,0.393782,0.18403,
162,28.99514,1.852532,55.1065,2.108783,12.4899,0.281113,0.407002,0.200383,
164,28.80997,1.858872,54.93622,2.023679,12.46161,0.251337,0.428686,0.230498,
166,28.86013,1.957268,55.41002,2.058845,12.31224,0.224153,0.416635,0.243871,
168,28.89788,1.801985,55.04741,2.124772,12.42968,0.291441,0.505902,0.210542,
170,28.82617,1.866304,55.04295,2.140113,12.40095,0.259538,0.412641,0.263617,
172,28.91974,1.809013,54.991,2.072005,12.46835,0.197145,0.429742,0.220565,
174,28.89437,1.844788,54.87574,2.063285,12.61891,0.283334,0.482127,0.248343,
176,28.98505,1.797991,54.87965,2.03187,12.47744,0.277755,0.438917,0.288434,
178,28.99623,1.806221,54.88317,2.081693,12.48775,0.377462,0.425893,0.248852,
180,29.07045,1.867529,55.03823,2.070324,12.61234,0.281121,0.419479,0.278149,
182,29.00906,1.808673,54.98502,2.122515,12.43866,0.346508,0.462615,0.202667,
184,28.84572,1.870807,55.11559,2.031514,12.58867,0.315408,0.481758,0.236625,
186,28.89941,1.827972,55.00962,2.139819,12.5,0.282049,0.439417,0.178542,
188,28.84719,1.852983,54.87105,1.980898,12.50109,0.280476,0.336145,0.342117,
190,28.95545,1.898031,55.06731,2.053543,12.50251,0.206708,0.493414,0.258062,
192,28.74903,1.911698,55.17829,2.038575,12.37106,0.299503,0.382301,0.246091,
194,28.83262,1.895008,54.98623,2.0732,12.28611,0.198447,0.457649,0.156381,
196,28.9136,1.93605,55.06351,2.084253,12.34484,0.25926,0.406407,0.196219,
198,28.99867,1.828779,55.12711,2.075305,12.64151,0.275813,0.441954,0.19167,
200,28.92162,1.807302,54.93501,2.014581,12.55608,0.360085,0.416049,0.234493,
202,28.74978,1.796373,55.22352,2.084024,12.58839,0.317,0.401536,0.28475,
204,28.93952,1.971202,54.81383,2.029444,12.31586,0.337422,0.410938,0.196895,
206,28.93895,1.854085,55.10222,2.025835,12.48853,0.304583,0.470958,0.234245,
208,28.80728,1.819873,54.82174,2.056521,12.31681,0.324186,0.40844,0.324722,
210,28.7362,1.857057,54.7557,2.148091,12.46314,0.263397,0.391409,0.272391,
212,28.97556,1.877198,55.01578,2.12221,12.44474,0.345412,0.417685,0.27063,
214,28.83687,1.884878,54.92267,2.070426,12.4751,0.252329,0.40631,0.263009,
216,28.92429,1.806748,54.99096,2.053978,12.36228,0.376017,0.341852,0.316176,
218,28.70367,1.889129,54.99291,2.059252,12.49123,0.32123,0.446704,0.236592,
220,28.80915,1.913688,54.87284,2.067166,12.58696,0.288644,0.378529,0.322794,
222,28.81429,1.834679,54.99478,2.026503,12.43071,0.278525,0.379466,0.186321,
224,28.78437,1.902339,54.99432,2.027058,12.46827,0.335973,0.452064,0.285469,
226,28.89908,1.97714,54.97214,2.044587,12.34749,0.349046,0.363856,0.266702,
228,28.55993,1.83318,54.78159,2.066589,12.47992,0.309414,0.389852,0.221269,
230,28.80011,1.854467,54.96411,1.956479,12.26269,0.297135,0.379346,0.239917,
