Distance (µm),Mg Ox%,Al Ox%,Si Ox%,Ca Ox%,Ti Ox%,Cr Ox%,Mn Ox%,Fe Ox%,
0,6.83457,14.07604,52.12334,9.726296,2.031533,0.065338,0.211495,10.77459,
1.99999999999999,27.23622,4.313237,55.88882,3.570653,0.474023,0.471684,0.172346,9.022188,
4,31.26705,1.914422,55.51895,2.358077,0.326482,0.516576,0.195628,8.734681,
5.99999999999999,30.93761,1.945351,55.67328,2.286215,0.206625,0.490708,0.203766,8.835866,
8,30.91193,1.943592,55.7117,2.242144,0.297584,0.451369,0.205686,8.711009,
9.99999999999999,30.86191,1.983469,55.6217,2.267628,0.25755,0.469266,0.186611,8.790329,
12,30.9602,1.876396,55.52026,2.316354,0.219022,0.518474,0.059544,8.819301,
14,31.07511,1.904088,55.46218,2.280664,0.171377,0.586316,0.190314,8.863897,
16,30.71677,2.027542,55.49347,2.292211,0.200177,0.494099,0.136305,8.822072,
18,30.87201,1.878624,55.47309,2.228246,0.209213,0.514387,0.269021,8.75234,
20,30.748,2.023571,55.46939,2.193152,0.235518,0.56731,0.149246,8.590101,
22,30.72462,1.879429,55.40069,2.20768,0.202719,0.57028,0.160834,8.927888,
24,31.27376,1.875043,55.39622,2.176188,0.223066,0.594465,0.139064,8.652976,
26,30.75795,1.959657,55.2779,2.250373,0.243241,0.50993,0.155406,8.827937,
28,30.97678,1.896844,55.49923,2.295468,0.163241,0.517316,0.197799,8.756202,
30,30.8042,1.96181,55.55885,2.208447,0.213835,0.595896,0.201474,8.815825,
32,30.60405,1.972345,55.35049,2.284379,0.197756,0.503452,0.202287,8.72379,
34,30.71642,1.932448,55.31087,2.238575,0.294468,0.53958,0.193881,8.577456,
36,30.68556,1.938094,55.33264,2.289028,0.18346,0.62281,0.238736,8.793259,
38,30.79907,1.936502,55.52639,2.214754,0.305322,0.565173,0.150902,9.006178,
40,30.84124,1.903277,55.23785,2.184317,0.204479,0.505851,0.226523,8.88984,
42,31.068,2.030328,55.42202,2.198589,0.165761,0.507284,0.218484,8.824757,
44,30.82832,1.977689,55.45329,2.22857,0.293168,0.550538,0.269146,8.831596,
46,30.91341,2.015091,55.62608,2.221451,0.200809,0.538083,0.248527,8.709034,
48,30.71001,1.903887,55.40725,2.192272,0.203166,0.513502,0.157349,8.797301,
50,30.72606,2.007028,55.34048,2.228949,0.275963,0.635441,0.18927,8.807221,
52,30.85837,2.007464,55.28391,2.326548,0.32983,0.640654,0.168379,8.779371,
54,30.85202,2.004997,55.22425,2.300281,0.306196,0.513288,0.171766,8.833727,
56,30.84228,2.024728,55.45666,2.26364,0.230657,0.517596,0.159324,8.88185,
58,30.7356,2.02199,55.56521,2.216093,0.251728,0.539041,0.130274,8.695498,
60,30.79507,2.119557,55.55365,2.215608,0.298049,0.596748,0.222837,8.818926,
62,31.25051,2.124617,55.58762,2.262015,0.327407,0.592384,0.227507,8.866199,
64,30.95007,2.040709,55.40135,2.262008,0.29066,0.583985,0.168374,8.977395,
66,30.7465,2.137495,55.48138,2.265088,0.198133,0.55828,0.202902,8.844282,
68,30.98531,1.971511,55.20237,2.253576,0.301061,0.56202,0.201631,8.966322,
70,31.03151,1.948197,55.09532,2.195571,0.231792,0.621834,0.204508,8.809273,
72,30.91575,2.111864,55.31071,2.236569,0.20902,0.538235,0.148085,8.732733,
74,30.77768,2.023669,55.52474,2.227565,0.24911,0.517599,0.160894,8.965371,
76,30.96072,2.101403,55.44599,2.305182,0.203983,0.535623,0.193255,8.795781,
78,30.9326,2.020512,55.43568,2.253745,0.246664,0.556543,0.106485,8.842909,
80,30.77596,2.011274,55.48794,2.274668,0.278609,0.63826,0.191914,8.675407,
82,30.87199,1.983721,55.60949,2.279874,0.267753,0.585129,0.223906,8.660451,
84,30.68569,2.040512,55.61004,2.303341,0.271957,0.604331,0.189665,8.75472,
86,31.05837,2.05689,55.40356,2.250823,0.26519,0.574329,0.227304,8.771572,
88,31.03329,1.951252,55.46922,2.252927,0.253533,0.506113,0.162716,8.95817,
90,30.82868,2.100433,55.66502,2.198656,0.236409,0.52582,0.199536,8.905126,
92,31.14249,1.965704,55.43389,2.206772,0.234889,0.625186,0.186025,8.800707,
94,30.72565,2.052835,55.44849,2.244139,0.185093,0.626688,0.190185,8.877613,
96,30.79754,1.985665,55.73197,2.264133,0.27262,0.593803,0.227484,8.690862,
97.9999999999999,30.70023,2.047791,55.56768,2.274921,0.209783,0.622004,0.176513,8.82813,
100,30.72757,2.059093,55.49947,2.247917,0.201397,0.613495,0.20093,8.864435,
102,30.87747,2.112865,55.42137,2.166137,0.267627,0.571911,0.177789,8.752264,
104,30.88859,2.03489,55.57259,2.182073,0.265431,0.578442,0.151572,8.913547,
106,30.71113,2.113379,55.457,2.273425,0.241646,0.539674,0.253247,8.913808,
108,30.98212,2.000302,55.55082,2.225214,0.28445,0.591908,0.265273,8.809004,
110,30.95459,2.033427,55.44682,2.290928,0.222891,0.625733,0.159259,8.820799,
112,30.70611,2.090735,55.24201,2.29371,0.22056,0.520366,0.197228,8.846996,
