Distance (µm),Al Ox%,Mg Ox%,Si Ox%,Ca Ox%,Ti Ox%,Cr Ox%,Mn Ox%,Fe Ox%,
0,14.29546,7.410854,53.98604,10.27109,2.141161,0.07647,0.202073,11.61686,
2.00000000000001,3.667716,25.82183,54.31995,3.504736,0.536671,0.284587,0.233199,11.63131,
3.99999999999999,1.891694,28.45524,54.42047,2.474476,0.375442,0.32403,0.245993,11.81265,
6,1.866205,28.35168,54.33347,2.572442,0.410337,0.415698,0.249204,11.80097,
8.00000000000001,2.002332,28.40728,54.16942,2.578068,0.428311,0.397925,0.285186,11.73148,
9.99999999999999,2.037624,28.26065,54.31884,2.566725,0.39121,0.389257,0.203552,11.83214,
12,2.079072,28.07258,54.1847,2.6998,0.408051,0.340707,0.26098,11.95411,
14,1.984315,28.37888,54.13092,2.654595,0.359054,0.521876,0.251703,11.71866,
16,2.046599,28.42533,54.37448,2.535058,0.3785,0.380087,0.227415,11.63253,
18,1.934451,28.44935,54.44146,2.591126,0.352658,0.390452,0.228067,11.61244,
20,1.947469,28.45135,54.15258,2.561727,0.395604,0.446297,0.22119,11.82377,
22,1.944585,28.52429,54.07727,2.50467,0.345705,0.464462,0.230029,11.90899,
24,1.916043,28.64724,54.25477,2.508391,0.385439,0.394452,0.227328,11.66634,
26,1.965422,28.50918,54.46229,2.475828,0.324816,0.459607,0.138606,11.66425,
28,1.945914,28.39455,54.38472,2.510324,0.379586,0.494515,0.361815,11.52859,
30,1.946308,28.63211,54.29791,2.30412,0.312517,0.452813,0.333934,11.72028,
32,1.840916,28.68383,54.41508,2.280597,0.325865,0.454751,0.218608,11.78037,
34,1.904013,28.67785,54.44961,2.40175,0.305852,0.478473,0.214178,11.56829,
36,1.995789,28.47717,54.09871,2.632123,0.338353,0.39926,0.306773,11.75182,
38,2.078106,28.32925,54.13029,2.605552,0.379735,0.481478,0.294173,11.70142,
40,1.981001,28.47765,54.31458,2.590242,0.356106,0.41412,0.271333,11.59496,
42,1.907144,28.70594,54.35706,2.353574,0.336756,0.461369,0.171034,11.70714,
44,2.034459,28.47068,54.16849,2.604732,0.420204,0.501331,0.187494,11.61261,
46,2.123253,28.3983,54.31132,2.644965,0.365755,0.418481,0.269607,11.46833,
48,2.118186,28.30841,54.45194,2.782032,0.342609,0.483583,0.210808,11.30242,
50,2.135257,28.44626,54.26097,2.626586,0.312214,0.446459,0.285977,11.48629,
