Distance (µm),Al Ox%,Mg Ox%,Si Ox%,Ca Ox%,Ti Ox%,Cr Ox%,Mn Ox%,Fe Ox%,
52,2.041128,28.35464,54.25941,2.677417,0.363381,0.505764,0.220229,11.57803,
54,2.110105,28.3304,54.20975,2.7147,0.328101,0.462883,0.284544,11.55951,
56,2.125625,28.39385,54.0431,2.743584,0.289765,0.493286,0.316023,11.59477,
58,2.134793,28.38485,54.07967,2.725689,0.419404,0.468651,0.272617,11.51434,
60,2.141311,28.28992,54.1224,2.72574,0.374939,0.499975,0.309379,11.53632,
62,2.039207,28.46307,54.43507,2.728023,0.377978,0.446059,0.268553,11.24204,
64,1.916521,28.61725,54.32047,2.471525,0.300681,0.586519,0.143329,11.64371,
66,1.2697,29.14065,55.3581,2.251825,0.238636,0.275805,0.235838,11.22944,
68,1.292279,29.34298,55.15863,2.188859,0.214514,0.30296,0.256945,11.24282,
70,1.20587,29.21284,55.27492,2.271657,0.227184,0.274541,0.207942,11.32505,
72,1.305843,29.33097,55.20866,2.230342,0.162404,0.230778,0.233763,11.29723,
74,1.203917,29.16468,55.21806,2.224328,0.210593,0.281709,0.236234,11.46046,
76,1.30061,29.43401,55.0847,2.204019,0.264259,0.244477,0.283634,11.1843,
78,1.302989,29.204,55.39481,2.177634,0.236241,0.237815,0.207446,11.23907,
80,1.227688,29.24949,55.57903,2.158554,0.224753,0.275801,0.24104,11.04364,
82,1.315588,29.35741,55.06717,2.231744,0.280459,0.310214,0.217955,11.21946,
84,1.256903,29.22943,55.52769,2.144052,0.160053,0.32354,0.275188,11.08315,
86,1.195158,29.32435,55.2152,2.190409,0.265341,0.269827,0.2077,11.33202,
88,1.34652,29.35682,55.04676,2.186933,0.272639,0.228955,0.216655,11.34472,
90,1.150922,29.50224,55.07353,2.211442,0.290233,0.23261,0.299564,11.23946,
92,1.150274,29.42278,55.31794,2.182196,0.246134,0.253042,0.228871,11.19875,
94,1.311526,29.32048,55.11102,2.187041,0.181744,0.321617,0.235003,11.33157,
96,1.246766,29.36348,55.25127,2.176065,0.166936,0.262452,0.268613,11.26442,
98,1.233281,29.2298,55.20068,2.176908,0.23246,0.298128,0.237865,11.39088,
100,1.273835,29.37719,55.25975,2.132823,0.278537,0.199642,0.230049,11.24816,
102,1.208971,29.31842,55.16393,2.185905,0.207617,0.300039,0.259166,11.35595,
104,1.302695,29.42653,55.02106,2.171707,0.245836,0.288453,0.222389,11.32133,
106,1.26509,29.48209,55.14708,2.179623,0.165804,0.267861,0.284913,11.20753,
108,1.269523,29.55625,55.1453,2.21377,0.229932,0.280338,0.261851,11.04303,
110,1.292012,29.35826,55.25775,2.26017,0.19641,0.212941,0.240444,11.18202,
112,1.203458,29.43327,55.1914,2.152086,0.201526,0.286065,0.221204,11.31098,
114,1.264522,29.37272,55.04057,2.242853,0.194401,0.262044,0.302084,11.3208,
116,1.308321,29.35373,55.11816,2.191774,0.285197,0.269244,0.244893,11.22869,
118,1.195918,29.38293,55.11259,2.178895,0.244165,0.25271,0.273526,11.35926,
120,1.173958,29.27141,55.4087,2.230554,0.239347,0.284415,0.271022,11.12059,
122,1.318747,29.46238,55.09811,2.220596,0.168994,0.263851,0.18973,11.27761,
124,1.228754,29.20761,55.43876,2.236193,0.193872,0.225536,0.335007,11.13427,
126,1.220902,29.454,55.08841,2.267011,0.265288,0.219676,0.292328,11.19238,
128,1.257924,29.38009,55.37304,2.19095,0.172127,0.302787,0.184879,11.13821,
130,1.273474,29.23081,55.55183,2.166237,0.148862,0.222592,0.190984,11.21523,
132,1.290446,29.08653,55.37296,2.187835,0.20443,0.313711,0.217413,11.32668,
134,1.217267,29.31512,55.02406,2.218595,0.213625,0.317262,0.241937,11.45213,
136,1.230312,29.32759,55.2155,2.172743,0.253966,0.268989,0.209064,11.32185,
138,1.250381,29.38564,55.10049,2.226774,0.231875,0.214423,0.255301,11.33511,
140,1.194827,29.54513,55.10337,2.212819,0.273074,0.175042,0.303165,11.19258,
142,1.238334,29.34908,55.28709,2.165068,0.264301,0.268988,0.268466,11.15868,
144,1.132752,29.34745,55.38338,2.138996,0.216633,0.276185,0.234399,11.27022,
146,1.190941,29.40839,55.24721,2.201871,0.182349,0.26319,0.242235,11.2638,
148,1.22525,29.37046,55.30485,2.210034,0.19705,0.19001,0.250085,11.25227,
150,1.194761,29.35516,55.49831,2.193219,0.202655,0.208465,0.288891,11.05854,
152,1.243661,29.35265,55.04323,2.202774,0.243747,0.287561,0.199892,11.42648,
154,1.149116,29.48951,55.31216,2.266599,0.249401,0.266358,0.234463,11.03239,
156,1.232847,29.35502,55.11815,2.207094,0.20526,0.320799,0.240356,11.32047,
158,1.237651,29.30809,55.06133,2.244826,0.232552,0.234945,0.257775,11.42284,
160,1.308152,29.2944,55.19822,2.206933,0.208347,0.284233,0.185366,11.31435,
162,1.24292,29.18312,55.29426,2.217259,0.228671,0.221192,0.255864,11.3567,
164,1.33042,29.29976,55.27278,2.209279,0.208391,0.222012,0.227536,11.22981,
166,1.177596,29.32273,55.19574,2.175261,0.236951,0.206835,0.228525,11.45637,
168,1.268946,29.33016,55.34557,2.215278,0.19663,0.292271,0.268671,11.08247,
170,1.184333,29.30123,55.27746,2.215262,0.199132,0.229794,0.282695,11.31011,
172,1.389682,29.34291,55.07341,2.225508,0.250585,0.227244,0.290213,11.20045,
174,2.027903,28.45004,54.23808,2.746819,0.368717,0.457634,0.215896,11.49491,
176,2.095434,28.21143,54.28989,2.822353,0.317172,0.548179,0.235818,11.47971,
178,2.208548,28.23294,54.14923,2.78973,0.323486,0.560137,0.215508,11.52043,
180,2.159283,28.18432,54.18343,2.767195,0.394243,0.53514,0.274762,11.50162,
182,2.004029,28.53465,54.1073,2.741918,0.365027,0.502169,0.221547,11.52337,
184,2.005467,28.34839,54.28779,2.78308,0.350984,0.447151,0.184785,11.59235,
186,2.193824,28.26221,54.13638,2.806634,0.392711,0.544484,0.271337,11.39241,
188,2.165207,28.36217,54.12663,2.751825,0.383763,0.55129,0.279878,11.37923,
190,2.118959,28.28166,54.25748,2.766946,0.361248,0.452896,0.213658,11.54716,
192,1.991756,28.56416,54.25737,2.542252,0.34352,0.435287,0.247773,11.61788,
194,2.042812,28.66092,54.4821,2.353198,0.26948,0.425526,0.216932,11.54903,
196,2.018701,28.43501,54.62363,2.516073,0.271805,0.377481,0.21454,11.54275,
198,1.975618,28.51265,54.18789,2.560498,0.364383,0.530311,0.242195,11.62645,
200,1.967646,28.52826,54.38532,2.548223,0.335319,0.37413,0.251319,11.60979,
202,1.848733,28.84816,54.37222,2.309343,0.358877,0.399663,0.274832,11.58818,
204,2.01699,28.66395,54.51148,2.298529,0.362854,0.447298,0.208842,11.49006,
206,1.960064,28.63006,54.28384,2.540209,0.275651,0.388458,0.225315,11.6964,
208,1.974503,28.42998,54.34493,2.490396,0.367423,0.432544,0.223252,11.73697,
210,1.972577,28.60895,54.41817,2.389689,0.310639,0.397233,0.24251,11.66023,
212,1.988932,28.42224,54.432,2.557487,0.411002,0.419016,0.285746,11.48358,
214,1.93153,28.52607,54.35928,2.458577,0.354843,0.468246,0.253002,11.64847,
216,2.140384,28.39195,54.31446,2.605445,0.268886,0.445317,0.269516,11.56404,
218,2.093066,28.26079,54.33515,2.558803,0.296266,0.449373,0.269635,11.73691,
220,2.039837,28.39462,54.34967,2.524589,0.39912,0.421865,0.307817,11.56248,
222,1.92438,28.70065,54.51846,2.388805,0.339877,0.347577,0.174919,11.60534,
224,2.263061,28.15682,54.59832,2.500638,0.328348,0.326742,0.268447,11.55764,
226,13.21276,10.27226,54.67888,9.108975,1.671855,0.032801,0.212001,10.81046,
228,14.65481,6.786395,54.17779,10.38009,2.196973,0.04216,0.224038,11.53775,
