Distance (µm),Al Ox%,Mg Ox%,Si Ox%,Ca Ox%,Ti Ox%,Cr Ox%,Mn Ox%,Fe Ox%,
0,14.61322,6.976057,55.64096,9.843625,2.170413,0.054165,0.214931,10.48663,
2.00000000000001,14.7242,6.797551,55.03406,10.16364,2.186671,0.022053,0.20614,10.86568,
4.00000000000001,14.6377,7.059478,54.74327,10.14463,2.301728,0.069965,0.15641,10.88683,
6.00000000000002,11.45553,13.87902,55.54771,6.747951,1.420512,0.229986,0.196755,10.52253,
7.99999999999998,2.593721,28.62123,54.36988,2.329216,0.305969,0.490475,0.217004,11.0725,
9.99999999999998,2.898727,28.51936,53.99255,2.38361,0.34235,0.580179,0.300384,10.98284,
12,2.023547,29.33119,54.69032,2.181059,0.313726,0.511692,0.218421,10.73003,
14,1.861731,29.36695,54.94059,2.12682,0.298845,0.411116,0.257804,10.73616,
16,1.885243,29.45489,54.75322,2.1777,0.307021,0.452123,0.19593,10.77387,
18,2.059675,29.18048,54.74173,2.169877,0.354451,0.496471,0.20932,10.78799,
20,2.045523,29.27285,54.57373,2.209274,0.359104,0.429664,0.230916,10.87894,
22,1.931801,29.16051,54.7677,2.233693,0.252562,0.47881,0.257805,10.91711,
24,1.885359,29.20531,54.73959,2.193099,0.289248,0.508564,0.220419,10.95841,
26,1.947238,29.12751,54.72025,2.205757,0.275637,0.46514,0.258228,11.00024,
28,1.865159,29.24661,54.64937,2.175547,0.221485,0.466281,0.233622,11.14192,
30,2.07548,29.12438,54.54099,2.226463,0.292878,0.454303,0.261706,11.0238,
32,1.899208,29.29012,54.83036,2.272931,0.327465,0.422931,0.251985,10.705,
34,2.065095,29.2111,54.45929,2.182958,0.286069,0.527038,0.184264,11.08418,
36,1.890225,29.06521,54.64266,2.250342,0.341518,0.435705,0.232158,11.14219,
38,2.012276,29.12198,54.53659,2.179402,0.292637,0.469548,0.276173,11.11138,
40,2.035362,29.20185,54.42695,2.210576,0.336145,0.418987,0.252151,11.11799,
42,1.975252,29.28848,54.37671,2.214477,0.306434,0.47745,0.267916,11.09328,
44,1.945733,29.14816,54.51535,2.214599,0.24456,0.469483,0.272168,11.18995,
46,1.993023,29.13761,54.62995,2.144988,0.365597,0.466015,0.184445,11.07837,
48,1.952131,29.09747,54.56461,2.197666,0.381128,0.504852,0.280586,11.02156,
50,1.910534,29.17875,54.61465,2.233008,0.242929,0.522418,0.202245,11.09546,
52,1.928395,29.07956,54.65522,2.246706,0.291877,0.499859,0.246921,11.05147,
54,2.098556,29.0008,54.41314,2.198039,0.390237,0.501435,0.297255,11.10054,
56,1.980257,29.22317,54.39347,2.229941,0.292893,0.49336,0.226896,11.16001,
58,1.984758,29.07951,54.5073,2.21799,0.327007,0.516237,0.255769,11.11143,
60,1.990952,29.2376,54.22877,2.218186,0.343535,0.484731,0.269129,11.2271,
62,2.000186,29.08657,54.45293,2.213101,0.317658,0.468913,0.253688,11.20695,
64,2.011162,28.94481,54.69894,2.224719,0.391298,0.529244,0.215366,10.98447,
66,1.768235,29.16899,54.74787,2.193341,0.316301,0.446188,0.233526,11.12555,
68,1.910942,29.21754,54.56208,2.202747,0.216869,0.4126,0.30219,11.17503,
70,1.934887,29.16232,54.59522,2.258579,0.317204,0.498003,0.274234,10.95955,
72,1.889347,29.01226,54.69822,2.1371,0.348558,0.386295,0.319035,11.20919,
74,1.868734,29.0818,54.65604,2.243014,0.255478,0.46143,0.245356,11.18815,
75.9999999999999,1.93673,29.18173,54.60491,2.227928,0.282274,0.464922,0.250726,11.05078,
78,1.937491,29.12287,54.74654,2.226088,0.338516,0.446644,0.259557,10.92229,
80,1.908818,29.06938,54.57732,2.222915,0.308539,0.491596,0.256508,11.16492,
82,1.853398,28.98801,54.70068,2.256119,0.335455,0.451044,0.313172,11.10212,
84,1.992197,29.22789,54.39914,2.175905,0.288647,0.534891,0.268553,11.11279,
86,2.020181,29.11749,54.49254,2.202219,0.327548,0.403618,0.268042,11.16837,
