Distance (µm),Mg Ox%,Al Ox%,Si Ox%,Ca Ox%,Fe Ox%,Ti Ox%,Cr Ox%,Mn Ox%,
0,28.78085,2.082007,54.21878,2.419957,11.5342,0.353021,0.3771,0.260062,
2.00000000000003,29.01015,2.097322,54.49377,2.356305,11.39603,0.402866,0.399845,0.272358,
4,29.02865,2.017721,54.43131,2.413965,11.15061,0.405197,0.299111,0.310407,
6.00000000000002,29.14846,1.903556,54.80918,2.316303,11.07131,0.366078,0.32961,0.267019,
7.99999999999999,29.68749,1.769536,55.10677,2.264465,10.81705,0.242782,0.322939,0.292464,
10,29.88426,1.754743,55.23159,2.33093,10.62901,0.34449,0.306622,0.294905,
12,29.91266,1.551232,55.09833,2.314822,10.33726,0.274901,0.283395,0.214754,
14,29.76717,1.772039,55.1782,2.36054,10.51714,0.341227,0.352088,0.185893,
16,29.75176,1.824504,54.85096,2.30068,10.70762,0.29913,0.343332,0.220574,
18,29.70373,1.80862,55.11003,2.319166,10.52985,0.418228,0.28004,0.198474,
20,29.507,1.803229,54.68662,2.249923,10.57815,0.353328,0.329067,0.239592,
22,29.70264,1.721898,55.35191,2.298112,10.51131,0.339389,0.361427,0.195192,
24,29.55958,1.659204,54.93017,2.419564,10.72516,0.380414,0.300406,0.251371,
26,29.43748,1.852636,54.72463,2.379018,10.66597,0.324538,0.271628,0.271578,
28,29.41651,1.835234,55.03304,2.316683,10.73224,0.409435,0.273775,0.26397,
30,29.4513,1.825639,54.88826,2.313384,10.80813,0.354043,0.288588,0.294845,
32,29.59744,1.729536,55.03389,2.362363,10.84087,0.328726,0.335622,0.208565,
34,29.38131,1.666507,54.94424,2.322917,10.86689,0.299948,0.290048,0.224857,
36,29.4044,1.706709,54.94296,2.385915,11.05743,0.337496,0.310493,0.234553,
38,29.46787,1.649905,54.74688,2.316924,11.31644,0.345445,0.235906,0.194887,
40,29.41325,1.6515,55.10402,2.326149,11.13163,0.266094,0.204547,0.268937,
42,29.41251,1.731678,55.11832,2.336789,11.2088,0.297364,0.3062,0.205612,
44,29.06085,1.760182,54.86945,2.433181,11.14817,0.351119,0.302125,0.182959,
46.0000000000001,28.64739,1.883197,54.69048,2.481268,11.24678,0.387095,0.343281,0.256086,
48,28.65434,1.785886,54.33357,2.712306,11.55695,0.333226,0.306804,0.245129,
50,28.62017,1.97575,54.3476,2.7533,11.40237,0.419133,0.373134,0.215835,
52,28.52777,2.000186,54.42886,2.761543,11.42965,0.369612,0.357753,0.178927,
54,28.58684,1.930312,54.44373,2.64683,11.18971,0.319793,0.316435,0.231571,
56,29.15132,1.836858,54.78917,2.245447,11.33943,0.39598,0.342327,0.269907,
58,28.76297,1.732723,54.67987,2.24444,12.01154,0.361146,0.204584,0.269359,
60,28.39999,1.617681,54.3821,2.219013,12.0479,0.29732,0.273769,0.251987,
62,28.55307,1.670405,54.54184,2.220208,12.01968,0.307058,0.245855,0.284199,
64,28.76407,1.621964,54.58825,2.242422,11.98575,0.277272,0.286719,0.236802,
66,28.71417,1.675972,54.68295,2.281815,12.00106,0.299595,0.318254,0.199696,
68,28.66133,1.877559,54.39498,2.26722,11.61327,0.316323,0.271718,0.240238,
70,28.95545,1.906187,54.83051,2.309991,11.46769,0.388514,0.215617,0.256485,
72,28.70409,1.823283,54.50151,2.290516,11.56554,0.304312,0.289917,0.216028,
74,28.96407,1.593099,54.98241,2.369173,12.01825,0.273387,0.230892,0.21662,
76.0000000000001,28.7039,1.604893,54.58948,2.28861,12.10368,0.29828,0.179079,0.287601,
78,28.46111,1.663541,54.70138,2.306623,12.06214,0.336369,0.258433,0.191015,
80,28.72718,1.397282,54.90428,2.255677,11.85041,0.301734,0.1976,0.26064,
82,28.74596,1.365369,54.76581,2.24238,11.76258,0.271123,0.129399,0.18779,
84,28.55307,1.442135,54.92956,2.339139,11.95473,0.239835,0.191622,0.269532,
86,28.37075,1.707152,54.61142,2.306285,12.28191,0.31868,0.314119,0.176031,
88,28.35594,1.632817,54.99192,2.319391,12.33748,0.411433,0.207855,0.319081,
90,27.97914,1.820923,54.43601,2.437589,12.01661,0.313324,0.273562,0.251785,
92,22.67041,5.391805,52.7766,4.041429,12.59448,0.899564,0.264024,0.279755,
94,5.80581,13.10802,50.44401,9.88308,11.55265,2.303611,0.044186,0.176061,
96,5.719129,13.54398,51.05732,9.989028,11.79014,2.252278,0.056345,0.228533,
98.0000000000001,5.831908,13.45961,51.33126,10.03698,11.70742,2.319191,-0.015148,0.209238,
100,5.906693,13.48881,51.26414,9.849339,11.67697,2.306031,-0.004842,0.200792,
