Distance (µm),Mg Ox%,Si Ox%,Ca Ox%,Ti Ox%,Cr Ox%,Mn Ox%,Fe Ox%,
0,5.973455,54.10507,10.34331,2.089601,0.050429,0.181078,10.89035,
2,6.067103,54.12428,10.24667,2.026473,0.173297,0.111362,10.77354,
4,5.952109,54.33123,10.21889,2.149453,0.051961,0.183789,10.99875,
6,5.915123,53.95594,9.834247,2.047589,0.007144,0.18121,10.79061,
8,11.23371,54.2106,8.023683,1.542432,0.238333,0.197418,9.443211,
10,29.52235,55.19917,2.318257,0.198582,0.600161,0.183677,8.891569,
12,29.99482,55.29041,2.209599,0.265637,0.64436,0.206534,8.959103,
14,30.03957,55.43435,2.232382,0.243841,0.639847,0.196048,9.058609,
16,30.25759,55.22915,2.167093,0.284255,0.588612,0.244475,8.845525,
18,29.97695,55.43083,2.261292,0.245061,0.584273,0.218232,8.848633,
20,30.20042,55.22197,2.241045,0.238932,0.597088,0.198652,8.997837,
22,30.2019,55.54755,2.255931,0.235046,0.598464,0.321564,8.923468,
24,30.18908,55.31252,2.296468,0.18056,0.641002,0.208988,8.794811,
26,30.10803,55.4369,2.320041,0.307848,0.681231,0.175158,9.038805,
28,29.99668,55.26267,2.314568,0.334349,0.583488,0.170907,8.819064,
30,30.28857,55.53136,2.313287,0.265472,0.598186,0.207073,9.080157,
32,30.24545,55.38602,2.257643,0.230058,0.617529,0.147931,8.884433,
34,30.25002,55.16785,2.166209,0.343536,0.705511,0.171327,9.027949,
36,30.29395,55.38818,2.251261,0.223493,0.604346,0.217074,9.057343,
38,30.02911,55.4745,2.300357,0.22384,0.603361,0.213446,8.881836,
40,30.15602,55.52576,2.176573,0.244445,0.60021,0.200787,8.994012,
42,30.17535,55.34127,2.239334,0.189079,0.633168,0.204611,8.900981,
44,30.40651,55.40658,2.256845,0.312257,0.643549,0.161445,9.036318,
46,30.24055,55.70159,2.245815,0.217993,0.623019,0.180304,8.991685,
48,29.97766,55.20232,2.193706,0.226212,0.656802,0.232973,8.868928,
50,30.29613,55.55352,2.22989,0.253832,0.627043,0.22488,9.035061,
52,30.26316,55.51287,2.296438,0.278411,0.663706,0.195624,9.009776,
54,30.12491,55.38813,2.245256,0.216606,0.674786,0.184286,8.995245,
56,30.17622,55.44861,2.270278,0.262218,0.648841,0.14461,8.940013,
58,30.09592,55.55384,2.200054,0.191496,0.587143,0.254642,8.859299,
60,30.16535,55.39825,2.286743,0.228264,0.652854,0.234333,8.79184,
62,30.26338,55.71193,2.170691,0.284949,0.601066,0.192186,8.833707,
64,30.20247,55.39142,2.193043,0.246676,0.592293,0.195422,8.806904,
66,30.14448,55.33414,2.258758,0.240025,0.620366,0.233418,8.986216,
68,30.23226,55.56594,2.165261,0.279207,0.669805,0.172876,8.810545,
70,30.32666,55.42603,2.23424,0.221753,0.620603,0.171235,8.840709,
72,30.16591,55.40207,2.243357,0.222393,0.613129,0.252615,8.846454,
