Distance (µm),Mg Ox%,Al Ox%,Si Ox%,Ca Ox%,Ti Ox%,Cr Ox%,Mn Ox%,Fe Ox%,
0,29.58063,1.452426,55.40306,2.138412,0.267397,0.43013,0.158628,10.56932,
1.99999999999999,29.59043,1.527736,55.04868,2.15726,0.299333,0.402919,0.202298,10.77134,
4.00000000000001,29.43248,1.579598,55.29255,2.151909,0.256179,0.35382,0.18025,10.75322,
6,29.45561,1.666681,55.10817,2.194004,0.178986,0.493419,0.186791,10.71634,
7.99999999999999,29.63798,1.57964,54.92834,2.10889,0.33685,0.42003,0.247949,10.74031,
10,29.52298,1.581868,55.08389,2.177656,0.261775,0.419348,0.278814,10.67367,
12,29.63161,1.544261,54.88211,2.167421,0.280259,0.413268,0.284967,10.7961,
14,29.59335,1.581003,55.20878,2.126096,0.26191,0.409547,0.147178,10.67215,
16,29.60512,1.715992,54.94525,2.129665,0.208342,0.374678,0.225881,10.79507,
18,29.61993,1.655932,54.72663,2.18441,0.280786,0.485126,0.233357,10.81381,
20,29.44407,1.508107,55.18578,2.142607,0.191488,0.453284,0.214444,10.86021,
22,29.49618,1.703665,54.86366,2.170402,0.297843,0.454562,0.259073,10.75461,
24,29.56252,1.638166,55.00314,2.177604,0.247137,0.415319,0.306331,10.64979,
26,29.41819,1.802459,54.98787,2.240326,0.243217,0.430429,0.204834,10.67268,
28,29.47774,1.655854,55.18399,2.170345,0.172965,0.440686,0.166012,10.73239,
30,29.49356,1.746266,55.08047,2.209859,0.258995,0.457924,0.211204,10.54171,
32,27.00015,3.596783,55.31895,2.709626,0.421779,0.390337,0.252705,10.30969,
34,7.605714,14.31196,54.35466,10.21239,2.107003,0,0.288876,11.11941,
36,6.687089,14.39704,54.12907,10.90139,2.208365,0.018423,0.202053,11.45658,
38,6.866039,14.39568,53.94117,10.90437,2.106536,0.082588,0.19055,11.51307,
