Distance (µm),Mg Ox%,Al Ox%,Si Ox%,Ca Ox%,Ti Ox%,Cr Ox%,Mn Ox%,Fe Ox%,
0,28.87436,2.034742,54.7007,2.601718,0.357598,0.57111,0.253729,10.60604,
2.2,28.63524,2.292709,54.39112,2.822839,0.32741,0.602464,0.195762,10.73246,
4.4,28.75451,2.203951,54.46886,2.682839,0.351818,0.57254,0.235726,10.72975,
6.59999999999999,29.01048,2.086958,54.73404,2.373885,0.279358,0.589987,0.145181,10.78012,
8.79999999999999,29.24543,1.97707,54.76104,2.217388,0.299931,0.678339,0.24456,10.57624,
11,29.51266,1.851893,54.55374,2.259486,0.303595,0.529698,0.236431,10.75249,
13.2,29.17063,1.9096,54.97615,2.197799,0.302708,0.560773,0.136889,10.74546,
15.4,29.33469,1.812023,54.79604,2.181524,0.327455,0.554749,0.245525,10.74799,
17.6,29.34613,1.893994,54.77794,2.189929,0.275329,0.561405,0.196034,10.75923,
19.8,29.36749,1.699688,55.27657,2.134842,0.29696,0.436593,0.118832,10.66903,
22,29.51984,1.618274,55.10449,2.122205,0.267395,0.510256,0.249443,10.60808,
24.2,29.71526,1.453874,55.33236,2.119883,0.181482,0.436712,0.20944,10.551,
26.4,29.75942,1.472005,55.49459,2.020191,0.29162,0.432276,0.182884,10.34701,
28.6,29.68631,1.637633,55.16141,2.094932,0.286633,0.426209,0.26763,10.43924,
30.8,29.53302,1.733523,55.0965,2.104211,0.261646,0.497238,0.247662,10.52621,
33,29.73388,1.679159,54.97628,2.127974,0.300237,0.454707,0.233097,10.49466,
35.2,29.57331,1.876504,54.89418,2.213087,0.300679,0.531328,0.318184,10.29273,
37.4,29.67695,1.673323,55.40657,2.15719,0.304863,0.45104,0.177312,10.15275,
39.6,29.84116,1.63619,55.11547,2.084861,0.255232,0.523046,0.195053,10.34898,
41.8,29.90815,1.68203,55.15661,2.047897,0.26891,0.461398,0.247334,10.22768,
44,29.88617,1.69978,55.05979,2.086943,0.268311,0.540987,0.224575,10.23344,
46.2,29.77425,1.672462,55.17571,2.118271,0.32975,0.472644,0.23104,10.22586,
48.4,29.82634,1.738246,55.05714,2.088706,0.251469,0.559868,0.257257,10.22098,
50.6,29.89876,1.711979,55.23931,2.003914,0.290466,0.461722,0.23998,10.15385,
52.8,30.02981,1.698281,55.09462,2.052177,0.301272,0.502178,0.210472,10.1112,
55,29.99656,1.755946,55.13469,2.03531,0.263064,0.505658,0.249065,10.05971,
57.2,29.94239,1.668681,55.28306,2.080054,0.26826,0.497389,0.215976,10.04419,
59.4,30.0228,1.61039,55.29132,1.941113,0.269391,0.538514,0.265447,10.06103,
61.6,30.36178,1.543783,55.57147,1.664416,0.150482,0.517812,0.214691,9.975554,
63.8,30.60192,1.264798,55.51216,1.786057,0.217506,0.47167,0.295527,9.850368,
66,30.66154,1.095834,56.07053,1.77951,0.121816,0.34543,0.222006,9.703349,
68.2,30.76611,1.043998,55.64193,1.659418,0.176383,0.426513,0.170262,10.11539,
70.4,30.76328,0.988216,56.08657,1.559081,0.129785,0.347437,0.213194,9.912436,
72.6,30.82602,0.940504,56.15461,1.557372,0.178539,0.328491,0.218354,9.796109,
74.8,30.94381,0.969347,56.06805,1.500545,0.117167,0.315789,0.233371,9.851924,
77,30.80676,0.92903,55.9992,1.519845,0.164227,0.373346,0.218994,9.988599,
