Distance (µm),Mg Ox%,Si Ox%,Ca Ox%,Mn Ox%,Fe Ox%,Al Ox%,Ti Ox%,Cr Ox%,
290,30.58528,55.15842,2.114366,0.207061,8.753054,2.178386,0.182159,0.547518,
292,30.94172,55.26976,2.059547,0.2189,8.683435,2.145033,0.226808,0.673348,
294,30.99674,55.10392,2.16584,0.184706,8.775311,2.110424,0.199889,0.570227,
296,30.96309,55.24947,2.129261,0.209564,8.896958,2.189364,0.242497,0.588223,
298,30.81851,55.27694,2.097131,0.199393,8.72544,2.103574,0.238911,0.550734,
300,30.94195,55.23943,2.116332,0.20816,8.831468,2.078276,0.22645,0.640843,
302,30.91108,55.42895,2.097113,0.131677,8.819181,2.215516,0.192742,0.636392,
304,31.02869,55.69831,2.122898,0.122465,8.82984,2.174177,0.256114,0.628271,
306,30.64691,55.04793,2.105995,0.152761,8.745029,2.213994,0.288139,0.621852,
308,30.68687,55.24128,2.155491,0.183026,8.781148,2.16952,0.175895,0.607135,
310,30.83158,55.17945,2.092486,0.208305,8.834616,2.224758,0.267779,0.632286,
312,30.9181,55.36771,2.134974,0.209435,8.758961,2.209729,0.274943,0.632694,
314,30.61384,54.90633,2.079122,0.19302,8.826605,2.191322,0.240909,0.692562,
316,30.52657,55.09709,2.073235,0.153886,8.806021,2.13178,0.23095,0.566533,
318,30.95555,55.38888,2.138216,0.152625,9.0439,2.111607,0.19158,0.60994,
320,31.10551,55.40479,2.145767,0.20716,8.804926,2.128126,0.302164,0.685961,
322,30.79582,55.41819,2.181821,0.171227,8.924726,2.099681,0.193402,0.597924,
324,30.90972,55.34969,2.171341,0.179714,8.829672,2.096789,0.178858,0.648524,
326,30.92509,55.55422,2.134855,0.1528,9.103842,2.143295,0.245874,0.616746,
328,30.95236,56.66462,2.114292,0.131647,8.776306,2.177164,0.199105,0.652215,
330,30.74235,55.33485,2.204834,0.149173,8.888494,2.25653,0.246717,0.65081,
332,30.77923,55.23703,2.187685,0.197865,8.732686,2.332639,0.238817,0.620334,
334,30.48682,55.18445,2.194747,0.199896,8.968963,2.263203,0.243206,0.626749,
336,30.7373,55.11462,2.23768,0.163763,8.934183,2.268566,0.227913,0.705592,
338,30.66731,55.30066,2.238876,0.241315,9.005638,2.227784,0.21488,0.661784,
340,30.5473,55.11088,2.267362,0.28849,8.926188,2.294863,0.287057,0.615054,
342,30.64512,54.80831,2.278322,0.272701,8.782527,2.350143,0.250287,0.593349,
344,30.57323,54.93921,2.330127,0.177021,8.858813,2.322846,0.2954,0.596255,
346,30.70663,55.05151,2.409957,0.139966,8.983753,2.230967,0.236132,0.607495,
348,30.64062,55.19846,2.275405,0.218174,8.919124,2.286262,0.223729,0.586229,
350,30.52857,55.20561,2.326636,0.198201,8.710567,2.289623,0.245539,0.713054,
352,30.61889,55.21856,2.244405,0.167639,8.834224,2.325104,0.265507,0.706364,
354,30.63129,55.35141,2.260371,0.219186,8.76196,2.231813,0.191038,0.608706,
356,30.66595,55.40298,2.263775,0.243271,8.934836,2.155783,0.320619,0.626985,
358,30.68623,55.27796,2.226726,0.236165,8.924616,2.238388,0.345392,0.623715,
360,30.42292,54.91534,2.264557,0.195723,9.040102,2.293045,0.276447,0.64786,
362,30.50014,54.90097,2.217928,0.220202,8.905664,2.241565,0.245684,0.615523,
364,30.26499,55.04205,2.264099,0.187709,8.821659,2.324295,0.344726,0.559774,
366,30.8631,55.16242,2.225528,0.199443,9.07285,2.228952,0.337649,0.622843,
368,30.51339,55.00753,2.175427,0.135789,8.864997,2.08994,0.243598,0.501635,
370,30.48745,55.05584,2.237968,0.278908,9.095124,2.115414,0.258675,0.572873,
372,30.5409,55.00871,2.238724,0.24967,9.126501,2.18394,0.290101,0.577224,
374,30.27775,54.95588,2.206069,0.169587,9.079943,2.170224,0.233726,0.661526,
376,30.33737,54.75909,2.241801,0.17686,9.190663,2.259231,0.234119,0.682713,
378,30.16332,54.92155,2.177945,0.20508,9.130694,2.233638,0.244496,0.676441,
380,30.25861,54.77827,2.294605,0.227343,9.388272,2.253657,0.320567,0.637192,
382,30.22217,54.78888,2.231945,0.164775,9.35867,2.068688,0.197593,0.546341,
384,30.30109,54.76676,2.115353,0.202835,9.576638,2.151086,0.347886,0.585432,
386,30.22541,54.78453,2.213131,0.245647,9.86236,2.058795,0.304097,0.494217,
388,29.87573,54.66458,2.100368,0.27287,9.603414,2.156886,0.300637,0.454166,
390,29.894,54.89488,2.183364,0.200245,9.922858,2.113884,0.245471,0.479271,
392,29.86405,54.62872,2.220654,0.23346,10.12457,2.220436,0.283716,0.426122,
394,29.80376,54.84679,2.131028,0.218911,10.09069,2.099367,0.305518,0.504792,
396,29.67027,54.82375,2.157089,0.216159,10.08519,1.981965,0.377287,0.432321,
398,29.84615,54.53978,2.204041,0.192935,10.36656,2.0653,0.341764,0.573228,
400,29.77999,54.33247,2.08902,0.225831,10.37044,2.027658,0.321356,0.471458,
402,29.63115,54.55915,2.142371,0.220274,10.37148,2.131977,0.335584,0.380454,
404,29.50758,54.60025,2.217947,0.304291,10.16269,1.982584,0.266583,0.406587,
406,29.57148,54.93406,2.258889,0.224592,10.31614,2.020392,0.343705,0.467228,
408,29.77143,54.50626,2.200784,0.259924,10.36813,2.103941,0.289855,0.514166,
410,29.46196,54.66849,2.200746,0.143423,10.38845,2.132673,0.341681,0.536084,
412,29.64376,54.58087,2.191609,0.227338,10.06254,2.039666,0.359747,0.550904,
414,29.67011,54.8849,2.236737,0.237084,9.934018,2.078741,0.36741,0.447863,
416,29.71485,54.74212,2.176032,0.205062,10.23856,2.073784,0.319482,0.479663,
418,30.0685,54.81802,2.201741,0.198961,10.27954,2.11692,0.303605,0.457831,
420,29.97557,54.92288,2.148177,0.201797,10.08268,2.072902,0.284579,0.441002,
422,29.86304,54.63034,2.21488,0.249405,9.959899,2.064207,0.280318,0.473498,
424,29.98796,55.01579,2.185218,0.169092,9.981926,1.999859,0.238514,0.591005,
426,29.77757,54.96999,2.140347,0.198839,9.880854,2.058461,0.258455,0.550567,
