Distance (µm),Mg Ox%,Si Ox%,Ca Ox%,Mn Ox%,Fe Ox%,Ni Ox%,
0,45.37323,39.75483,0.309891,0.166866,15.00318,0.356347,
1.99999999999999,45.07543,39.90979,0.256187,0.183826,14.79888,0.245341,
4.00000000000001,45.30275,39.83749,0.273947,0.21689,14.90049,0.324204,
6.00000000000001,45.23884,39.86161,0.205455,0.157607,14.81967,0.326345,
8,45.36855,39.9333,0.228004,0.201149,14.81125,0.384214,
9.99999999999999,45.20696,39.63272,0.269194,0.14054,14.70947,0.402795,
12,44.98585,39.78421,0.256087,0.247518,14.88288,0.248934,
14,45.05238,39.80023,0.248233,0.186586,14.56215,0.299766,
16,45.27538,39.88055,0.239711,0.139684,14.73452,0.424762,
18,45.38661,39.79388,0.262277,0.209907,14.87366,0.38778,
20,45.21185,39.88927,0.239293,0.176711,14.76977,0.330864,
22,45.24315,39.91547,0.256316,0.193442,15.00206,0.326524,
24,45.48697,39.82173,0.267021,0.294859,14.9861,0.377342,
26,45.21548,39.98298,0.243182,0.250802,14.77547,0.329725,
28,45.1561,39.93101,0.271551,0.228805,14.86905,0.20091,
30,45.13701,39.7242,0.247779,0.195736,14.91018,0.361353,
32,45.1841,39.98795,0.212547,0.23379,14.82707,0.290725,
34,45.28801,39.70807,0.254642,0.221888,14.9372,0.294222,
36,45.1923,39.86638,0.207617,0.207846,14.97434,0.242926,
38,45.38422,39.97752,0.256967,0.184102,14.95267,0.383012,
40,45.24087,39.70851,0.259074,0.2236,15.00061,0.353672,
42,44.99633,39.86956,0.262549,0.216511,14.59674,0.273024,
44,45.45378,39.8806,0.233043,0.246427,14.9413,0.311676,
46,45.31973,39.73913,0.286216,0.219439,14.87171,0.366932,
48,45.21429,39.66443,0.18614,0.159012,14.87181,0.36331,
50,45.3881,39.98014,0.243288,0.227539,14.93822,0.373262,
52,45.33406,39.68583,0.26148,0.216699,14.8749,0.395143,
54,45.41569,39.78915,0.208837,0.214153,14.85585,0.331419,
56,45.57489,39.99084,0.265837,0.185663,15.00412,0.443015,
58,45.31245,39.91171,0.292455,0.18277,15.05914,0.265692,
60,45.43723,39.89951,0.300136,0.213331,14.6417,0.328961,
62,45.53361,39.76732,0.214408,0.20482,14.63746,0.409671,
64,45.38706,39.98243,0.255665,0.188911,14.87463,0.343487,
66,45.46597,39.98486,0.2173,0.250941,14.73244,0.286486,
68,45.49787,40.00683,0.225063,0.136604,14.75025,0.36249,
70,45.5836,39.98235,0.238924,0.150704,14.66521,0.373892,
72,45.41636,39.98606,0.24642,0.242781,14.6579,0.307867,
74,45.44081,40.03091,0.239788,0.200607,14.57343,0.288626,
76,45.57708,40.08715,0.238946,0.223174,14.64747,0.366784,
78,45.55639,40.11951,0.26627,0.221664,14.61173,0.354024,
80,45.50502,39.99219,0.198129,0.224507,14.57486,0.407819,
82,45.45631,39.93978,0.288426,0.215183,14.60972,0.266033,
84,45.5383,40.17904,0.273178,0.183149,14.72714,0.180036,
86,45.98964,40.09414,0.247568,0.241914,14.62547,0.467832,
88,45.68915,39.88079,0.24816,0.169034,14.64876,0.300942,
90,45.98915,40.13766,0.24757,0.173924,14.7674,0.351655,
92,45.7987,39.79139,0.275106,0.221653,14.62131,0.331822,
94,45.81672,39.85109,0.25827,0.199862,14.53378,0.309404,
96,45.51458,39.87059,0.26554,0.313436,14.27321,0.371943,
98,45.62539,39.9996,0.249733,0.237198,14.49966,0.302924,
100,45.83981,39.78315,0.225134,0.170463,14.48743,0.348684,
102,45.93439,40.01144,0.257081,0.216104,14.48997,0.424539,
104,45.73552,40.06563,0.25983,0.221903,14.5301,0.363539,
106,46.17385,40.08339,0.196595,0.241139,14.44597,0.388146,
108,45.47327,39.96609,0.231011,0.17572,14.48517,0.342428,
110,45.64022,40.13979,0.241857,0.20104,14.42119,0.432085,
112,45.82832,39.83562,0.257898,0.178656,14.70481,0.246543,
114,45.59508,39.78706,0.197927,0.194149,14.36024,0.349222,
116,45.66258,40.19487,0.28824,0.231461,14.43468,0.315942,
118,45.53549,39.86964,0.223382,0.173797,14.38126,0.283415,
120,45.53856,39.96223,0.213183,0.209391,14.5222,0.385232,
122,45.52475,40.10009,0.207892,0.271556,14.36889,0.305856,
124,45.7152,39.85208,0.228541,0.269947,14.53075,0.327253,
126,45.79739,39.57895,0.233442,0.261768,14.56064,0.421751,
128,45.64601,39.53772,0.246443,0.228104,14.36806,0.358297,
130,45.57323,39.88212,0.211301,0.221099,14.39767,0.427901,
132,45.82868,39.97354,0.248537,0.253802,14.45616,0.287692,
134,45.33459,39.77715,0.245024,0.245947,14.38482,0.296885,
136,45.32275,39.72595,0.235486,0.228954,14.4717,0.238595,
138,45.48623,39.99752,0.210815,0.149742,14.38528,0.34497,
140,45.54875,39.8494,0.231662,0.268869,14.40226,0.276992,
142,45.50196,39.74213,0.233816,0.236032,14.4807,0.379769,
144,45.46935,39.5486,0.236726,0.154729,14.41158,0.401499,
146,45.36266,39.98708,0.23682,0.26026,14.43396,0.321781,
148,45.56828,39.83346,0.237242,0.181096,14.68023,0.210017,
150,45.45286,39.96685,0.236449,0.218076,14.63877,0.285007,
152,45.71708,39.93379,0.214775,0.174857,14.5439,0.323513,
154,45.62809,40.00523,0.233282,0.324941,14.5835,0.346815,
156,45.25977,39.72747,0.253264,0.148108,14.6003,0.283044,
158,45.51027,39.77229,0.29857,0.208102,14.67585,0.334316,
160,45.17652,39.66556,0.239652,0.243538,14.65442,0.307373,
162,45.46667,39.75778,0.255897,0.225154,14.65504,0.272402,
164,45.67524,39.70956,0.229274,0.250968,14.59439,0.293154,
166,45.43771,39.96452,0.250138,0.151945,14.65107,0.384409,
168,45.33544,39.75547,0.227563,0.245022,14.6539,0.254571,
170,45.26459,39.80399,0.269588,0.251206,14.50262,0.327834,
172,45.75867,39.8061,0.212538,0.187541,14.80432,0.367127,
174,45.40373,39.78888,0.22708,0.235268,14.7778,0.283511,
176,45.70955,39.81611,0.226847,0.254666,14.63197,0.368532,
178,45.46672,39.5434,0.261373,0.208523,14.68841,0.343052,
180,45.37063,39.73776,0.281341,0.197007,14.78129,0.2502,
182,45.63242,39.70037,0.244463,0.262594,14.68809,0.41264,
184,45.16758,39.71734,0.22574,0.191092,14.58867,0.351177,
186,45.4062,39.85775,0.233256,0.277557,14.66756,0.329125,
188,45.54097,39.57515,0.208248,0.233862,14.75014,0.322933,
190,45.57256,39.88328,0.268097,0.242891,14.56504,0.286111,
192,45.39695,39.37608,0.276332,0.222852,14.66076,0.233479,
194,45.35452,39.68709,0.241897,0.199039,14.57181,0.304977,
196,45.55284,39.67918,0.224014,0.236786,14.68656,0.261292,
198,45.28752,39.64007,0.220977,0.24353,14.73712,0.34885,
200,45.5997,39.8811,0.253764,0.29962,14.66121,0.404841,
202,45.40884,40.04946,0.23545,0.280204,14.82822,0.3648,
204,45.45998,39.92658,0.239375,0.211159,14.85112,0.350887,
206,45.37118,39.90552,0.268987,0.130708,14.76463,0.371433,
208,45.28162,39.88757,0.252913,0.220061,14.62504,0.292513,
210,45.36514,39.71682,0.272701,0.228098,14.55327,0.316542,
