Distance (µm),Mg Ox%,Al Ox%,Si Ox%,Ca Ox%,Ti Ox%,Cr Ox%,Mn Ox%,Fe Ox%,
0,6.381647,14.69495,53.85215,10.88233,2.248737,0.041282,0.28419,11.61471,
1.99999999999999,8.526319,14.131,54.55799,9.648024,2.07333,0.066892,0.157267,10.83918,
4.00000000000001,29.05918,2.685716,55.80251,2.380816,0.296,0.460628,0.136424,9.178733,
5.99999999999999,30.67359,1.985809,55.58756,2.260289,0.306871,0.470179,0.175258,8.540454,
8,30.7365,1.995892,55.32832,2.267583,0.330029,0.592584,0.143507,8.605577,
9.99999999999999,30.76857,1.946549,55.50796,2.262456,0.274378,0.472991,0.176127,8.590972,
12,31.01588,1.8671,55.23402,2.196465,0.330237,0.525501,0.193103,8.637699,
14,30.82076,1.969868,55.35422,2.272921,0.24075,0.52711,0.203197,8.611172,
16,30.91493,1.879809,55.40359,2.269594,0.239316,0.598398,0.200626,8.493744,
18,30.74369,2.007272,55.47914,2.263467,0.305041,0.464325,0.189076,8.547979,
20,30.93279,2.060305,55.23706,2.128946,0.311457,0.484549,0.183302,8.661598,
22,30.86043,1.910636,55.29733,2.186921,0.26364,0.529091,0.187329,8.764608,
24,30.87535,1.905512,55.41595,2.19875,0.344761,0.520064,0.117378,8.62225,
26,30.69557,2.068087,55.47081,2.164439,0.259518,0.506831,0.126814,8.707924,
28,30.85394,1.956315,55.447,2.180756,0.270807,0.578871,0.19036,8.521949,
30,30.68408,1.979254,55.42614,2.225323,0.315281,0.532403,0.184818,8.652706,
32,30.96877,1.992459,55.10566,2.280419,0.25624,0.554015,0.205399,8.637049,
34,30.79661,1.959563,55.20037,2.239072,0.256447,0.528104,0.230777,8.789063,
36,30.93007,1.989627,55.23686,2.191561,0.232695,0.526783,0.229041,8.66336,
38,30.62901,2.084102,55.36653,2.244489,0.286194,0.571898,0.213552,8.604225,
40,30.64692,2.015579,55.43982,2.281427,0.235098,0.538604,0.198424,8.644126,
42,30.70922,1.961322,55.34953,2.223929,0.271235,0.537961,0.221613,8.725182,
