Distance (µm),Mg Ox%,Si Ox%,Ca Ox%,Mn Ox%,Fe Ox%,Ni Ox%,
0,7.751822,49.81256,10.34192,0.143814,10.45423,0.055719,
2,7.467309,49.87775,10.50186,0.227949,10.47275,0.124381,
4,7.128499,50.02009,10.4864,0.173819,10.17702,0.007984,
6,16.09365,51.35786,7.823205,0.161343,10.59004,0.184819,
8,44.68756,43.26612,0.646248,0.301211,15.86675,0.273908,
10,45.37693,40.2425,0.312901,0.238639,15.38384,0.301276,
12,45.44183,40.26616,0.2757,0.249417,15.60523,0.391743,
14,45.29869,40.278,0.289327,0.27013,15.64424,0.283497,
16,45.53524,39.91018,0.26774,0.287601,15.64502,0.359953,
18,45.45339,40.31076,0.22331,0.229515,15.70819,0.308156,
20,45.39566,40.13677,0.27045,0.234879,15.38425,0.26799,
22,45.57108,39.96283,0.206925,0.193801,15.50519,0.354489,
24,45.50338,39.85215,0.240645,0.277277,14.86457,0.317464,
26,45.87774,39.87777,0.200688,0.215268,14.80271,0.268216,
28,45.86636,40.0648,0.233971,0.221191,14.33049,0.273747,
30,46.14207,40.00236,0.252485,0.273925,13.94183,0.412481,
32,46.23667,40.03567,0.215637,0.171681,13.94663,0.408597,
34,46.18193,39.98674,0.228335,0.188724,13.78232,0.335829,
36,46.3658,40.25867,0.196242,0.145448,13.48022,0.364688,
38,46.95,40.16852,0.247597,0.196015,13.17241,0.387562,
40,47.06182,40.22496,0.26638,0.145671,13.07894,0.53766,
42,46.96668,40.22796,0.223906,0.192165,13.05163,0.356713,
44,47.34639,40.0565,0.201458,0.213452,12.96865,0.486363,
46,47.32258,40.09978,0.229026,0.163381,12.78915,0.536814,
48,47.28554,40.0741,0.254874,0.210614,12.74621,0.253482,
50,47.33028,39.91777,0.210563,0.189743,12.53577,0.404127,
52,47.06822,39.85605,0.196207,0.117376,12.50888,0.404836,
54,46.95197,40.11575,0.213384,0.201344,12.26903,0.304414,
56,47.54451,40.06632,0.214743,0.246754,12.36626,0.437435,
58,47.68872,40.1411,0.211951,0.189425,12.35203,0.346708,
60,47.30467,39.9964,0.222715,0.226646,12.25379,0.437403,
62,47.24046,40.29401,0.192123,0.143938,12.34898,0.47022,
64,47.45506,40.09514,0.202142,0.220895,12.19697,0.470725,
66,47.53083,40.08606,0.244503,0.118575,12.46055,0.31885,
68,47.11365,40.07351,0.240171,0.183343,12.18975,0.278298,
70,47.37716,40.05716,0.221428,0.231716,12.08276,0.376381,
72,47.70391,40.11303,0.191345,0.229742,12.2184,0.51598,
74,47.69713,39.87115,0.2144,0.202883,12.16903,0.518921,
76,47.45234,40.09589,0.23445,0.21801,12.1867,0.421973,
78,47.34848,40.21398,0.240864,0.191777,12.14886,0.436355,
80,47.4518,40.03863,0.211572,0.167486,12.09632,0.341532,
82,47.34596,40.14618,0.210087,0.217804,12.11912,0.452926,
84,47.55196,40.20568,0.231005,0.162212,12.09383,0.381287,
86,47.51294,40.01609,0.223969,0.204986,12.0602,0.457837,
88,47.22555,40.09818,0.27245,0.140749,11.98248,0.431543,
90,47.58416,40.39133,0.161508,0.205958,11.95106,0.439206,
92,47.41729,39.92706,0.243506,0.211105,12.0771,0.423933,
